match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_duelWon,stat_interceptionWon,stat_ballRecovery,stat_wasFouled,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_totalShots,player_jerseyNumber,stat_goalAssist,stat_totalCross,stat_accurateCross,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_dispossessed,stat_totalContest,stat_wonContest,stat_bigChanceCreated,stat_totalClearance,stat_fouls,stat_keyPass,captain,stat_onTargetScoringAttempt,stat_outfielderBlock,stat_challengeLost,stat_totalTackle,stat_wonTackle,stat_goals,stat_blockedScoringAttempt,stat_unsuccessfulTouch,stat_shotOffTarget,stat_totalOffside,stat_bigChanceMissed
10886839,home,Burton Albion,Ben Garratt,Ben,Garratt,ben-garratt,B. Garratt,G,185.0,7,M,123774,EUR,767232000.0,G,1,1,False,18.0,8.0,11.0,1.0,7.0,8.0,1.0,10.0,1.0,1.0,6.0,1.0,2.0,3.0,90.0,25.0,6.8,10.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
10886839,home,Burton Albion,Thomas Hamer,,,thomas-hamer,T. Hamer,D,188.0,37,M,897567,EUR,942710400.0,D,37,37,False,53.0,38.0,11.0,5.0,14.0,19.0,27.0,43.0,3.0,4.0,5.0,,,,90.0,94.0,8.9,29.0,0,22,3.0,9.0,3.0,1.0,2.0,3.0,1.0,1.0,1.0,3.0,2.0,1.0,5.0,,,,,,,,,,,,
10886839,home,Burton Albion,John Brayford,,,john-brayford,J. Brayford,D,173.0,8,M,42702,EUR,567734400.0,D,2,2,False,55.0,43.0,10.0,3.0,34.0,34.0,10.0,22.0,3.0,,2.0,,,,90.0,61.0,6.9,12.0,1,,,1.0,1.0,,3.0,,,,,,2.0,,2.0,True,1.0,,,,,,,,,,
10886839,home,Burton Albion,Adrian Mariappa,Adrian,Mariappa,adrian-mariappa,A. Mariappa,D,180.0,90,M,10597,EUR,511574400.0,D,8,8,False,37.0,33.0,5.0,3.0,27.0,28.0,6.0,9.0,,1.0,3.0,,,,66.0,41.0,6.6,4.0,0,25,,,,1.0,,2.0,,,,,2.0,1.0,,,,1.0,,,,,,,,,
10886839,home,Burton Albion,Cameron Borthwick-Jackson,Cameron,Borthwick-Jackson,cameron-borthwick-jackson,C. Borthwick-Jackson,M,190.0,165,M,824457,EUR,854841600.0,D,3,3,False,45.0,34.0,12.0,6.0,15.0,15.0,20.0,33.0,1.0,2.0,4.0,,,,90.0,67.0,7.0,19.0,1,35,,3.0,1.0,,,,,1.0,1.0,,,,1.0,,1.0,,,,,,,,,,
10886839,home,Burton Albion,Terry Taylor,,,terry-taylor,T. Taylor,M,185.0,68,M,988965,EUR,993772800.0,M,23,23,False,62.0,46.0,11.0,7.0,22.0,27.0,25.0,40.0,5.0,2.0,13.0,,,,83.0,75.0,7.1,21.0,0,23,,5.0,1.0,,3.0,4.0,1.0,,,,1.0,2.0,1.0,,,,1.0,2.0,1.0,,,,,,
10886839,home,Burton Albion,Adedeji Oshilaja,,,adedeji-oshilaja,A. Oshilaja,D,181.0,28,M,369034,EUR,742780800.0,M,4,4,False,39.0,28.0,3.0,1.0,9.0,14.0,20.0,26.0,8.0,1.0,6.0,2.0,,,90.0,54.0,9.7,11.0,3,23,1.0,1.0,1.0,,3.0,,,2.0,2.0,1.0,1.0,,2.0,,3.0,1.0,,1.0,1.0,2.0,,,,,
10886839,home,Burton Albion,Jonny Smith,,,jonny-smith,J. Smith,M,178.0,19,M,914889,EUR,870048000.0,M,11,11,False,21.0,17.0,,,4.0,4.0,13.0,17.0,3.0,2.0,3.0,,,,72.0,36.0,7.3,11.0,2,17,,,,1.0,,4.0,1.0,4.0,3.0,,,1.0,,,1.0,,,,,1.0,1.0,4.0,,,
10886839,home,Burton Albion,Davis Keillor-Dunn,,,davis-keillor-dunn,D. Keillor-Dunn,F,180.0,383,M,881396,EUR,855619200.0,M,10,10,False,19.0,14.0,3.0,2.0,4.0,5.0,10.0,15.0,5.0,,3.0,,,,67.0,29.0,6.9,7.0,5,7,,1.0,,2.0,3.0,6.0,1.0,2.0,2.0,,,2.0,,,1.0,,1.0,,,,2.0,,2.0,,
10886839,home,Burton Albion,Bobby Kamwa,,,bobby-kamwa,B. Kamwa,F,183.0,56,M,1020687,EUR,953337600.0,M,39,39,False,14.0,9.0,,,4.0,7.0,6.0,9.0,6.0,,1.0,3.0,,,73.0,26.0,7.9,7.0,2,7,,2.0,1.0,1.0,1.0,2.0,,2.0,2.0,1.0,,1.0,3.0,,1.0,,,,,1.0,1.0,1.0,,1.0,
10886839,home,Burton Albion,Victor Adeboyejo,,,victor-adeboyejo,V. Adeboyejo,F,178.0,123,M,758446,EUR,884563200.0,F,14,14,False,19.0,15.0,3.0,2.0,1.0,1.0,14.0,19.0,3.0,1.0,5.0,,,,90.0,36.0,6.5,14.0,2,19,,1.0,,3.0,,9.0,5.0,2.0,2.0,,,,2.0,,1.0,,1.0,1.0,1.0,,,4.0,1.0,2.0,1.0
10886839,home,Burton Albion,Corrie Ndaba,,,ndaba-corrie,C. Ndaba,D,188.0,183,M,981470,EUR,946080000.0,D,15,15,True,12.0,11.0,4.0,3.0,9.0,10.0,2.0,2.0,1.0,1.0,3.0,1.0,,,24.0,14.0,6.7,1.0,0,3,,,,,,,,,,,,,,,,,,,,,,,,,
