match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_duelWon,stat_ballRecovery,stat_wasFouled,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_totalShots,player_firstName,player_lastName,stat_totalCross,stat_accurateCross,stat_aerialWon,stat_duelLost,stat_challengeLost,stat_totalContest,stat_wonContest,stat_blockedScoringAttempt,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_fouls,captain,stat_shotOffTarget,stat_totalClearance,stat_keyPass,player_sofascoreId,stat_aerialLost,stat_bigChanceMissed,stat_onTargetScoringAttempt,stat_hitWoodwork,stat_totalOffside,stat_dispossessed,stat_outfielderBlock,stat_savedShotsFromInsideTheBox,stat_clearanceOffLine
10406938,home,Royal Antwerp FC,Jean Butez,jean-butez,J. Butez,G,1,188,1350,M,599114,EUR,802569600,G,1,1,False,25.0,17.0,17.0,9.0,14.0,15.0,3.0,10.0,1.0,3.0,1.0,1.0,1.0,1.0,90.0,30.0,7.1,8.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10406938,home,Royal Antwerp FC,Ritchie De Laet,ritchie-de-laet,R. De Laet,D,,186,92,M,30420,EUR,596678400,D,2,2,False,43.0,32.0,4.0,2.0,11.0,14.0,22.0,31.0,9.0,3.0,2.0,,,,90.0,67.0,7.4,20.0,1,,,2.0,1.0,3.0,4.0,1.0,4.0,2.0,1.0,4.0,3.0,2.0,2.0,1.0,,,,,,,,,,,,,,
10406938,home,Royal Antwerp FC,Toby Alderweireld,toby-alderweireld,T. Alderweireld,D,,186,1445,M,44575,EUR,604800000,D,23,23,False,56.0,47.0,11.0,5.0,30.0,32.0,17.0,25.0,1.0,5.0,,,,,90.0,67.0,7.1,11.0,1,,,1.0,,1.0,2.0,1.0,,,,2.0,,,,1.0,True,1.0,3.0,1.0,,,,,,,,,,
10406938,home,Royal Antwerp FC,Willian Pacho,willian-pacho,W. Pacho,D,51,187,25693,M,979480,EUR,1003190400,D,51,51,False,58.0,44.0,11.0,6.0,33.0,40.0,11.0,18.0,6.0,5.0,,,,,90.0,69.0,7.2,14.0,0,,,,,3.0,3.0,1.0,,,,4.0,3.0,3.0,,2.0,,,2.0,,pachowilliam,,,,,,,,,
10406938,home,Royal Antwerp FC,Jelle Bataille,jelle-bataille,J. Bataille,D,25,175,224,M,889387,EUR,927158400,D,34,34,False,58.0,45.0,6.0,3.0,20.0,26.0,25.0,32.0,5.0,6.0,,,,,90.0,84.0,7.1,17.0,2,,,,,1.0,3.0,,3.0,1.0,1.0,,3.0,1.0,2.0,,,,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,,,,
10406938,home,Royal Antwerp FC,Pieter Gerkens,pieter-gerkens,P. Gerkens,M,18,180,179,M,190401,EUR,808272000,M,16,16,False,41.0,35.0,8.0,5.0,16.0,17.0,19.0,24.0,2.0,4.0,,,,,90.0,52.0,6.8,8.0,2,,,,,,3.0,,,,2.0,,2.0,2.0,,2.0,,,2.0,,,,,,,,1.0,1.0,,
10406938,home,Royal Antwerp FC,Alhassan Yusuf,alhassan-yusuf,A. Yusuf,M,80,175,917,M,943114,EUR,963878400,M,8,8,False,64.0,50.0,7.0,4.0,20.0,23.0,31.0,43.0,6.0,10.0,1.0,,,,90.0,83.0,6.8,19.0,1,,,2.0,1.0,1.0,6.0,1.0,1.0,1.0,1.0,2.0,3.0,2.0,1.0,2.0,,,,,,,,,,,3.0,,,
10406938,home,Royal Antwerp FC,Calvin Stengs,calvin-stengs,C. Stengs,M,23,187,1733,M,857480,EUR,913939200,M,14,14,False,24.0,22.0,1.0,,6.0,6.0,18.0,21.0,1.0,4.0,,,,,76.0,41.0,6.2,11.0,1,,,3.0,2.0,1.0,10.0,1.0,2.0,,,2.0,,,2.0,2.0,,1.0,,1.0,,1.0,,,,1.0,4.0,,,
10406938,home,Royal Antwerp FC,Jürgen Ekkelenkamp,jurgen-ekkelenkamp,J. Ekkelenkamp,M,32,188,1195,M,904887,EUR,954892800,M,24,24,False,14.0,12.0,,,5.0,5.0,7.0,9.0,3.0,5.0,1.0,,,,76.0,25.0,6.8,6.0,2,,,,,2.0,2.0,,1.0,,1.0,,1.0,1.0,2.0,1.0,,1.0,,,,,,,,,,,,
10406938,home,Royal Antwerp FC,Michel Ange Balikwisha,michel-ange-balikwisha,M. A. Balikwisha,M,10,177,4201,M,923969,EUR,989452800,M,10,10,False,26.0,20.0,2.0,2.0,7.0,7.0,16.0,26.0,8.0,3.0,3.0,,,,88.0,58.0,7.5,17.0,1,,,7.0,3.0,,5.0,,1.0,1.0,,1.0,4.0,3.0,2.0,1.0,,,,2.0,,,,1.0,,,4.0,,,
