match_id,text,homeScore,awayScore,isLive,time,addedTime,timeSeconds,reversedPeriodTime,reversedPeriodTimeSeconds,periodTimeSeconds,incidentType,length,id,injury,isHome,incidentClass,playerName,reason,rescinded,player_id,player_name
11369371,FT,2.0,2.0,False,90,999.0,5400.0,1,0.0,2700.0,period,,,,,,,,,,
11369371,,,,,90,0.0,,1,,,injuryTime,6.0,,,,,,,,,
11369371,,,,,87,,,4,,,substitution,,122145166.0,False,True,regular,,,,,
11369371,,,,,81,,,10,,,substitution,,122145154.0,False,False,regular,,,,,
11369371,,,,,81,,,10,,,substitution,,122145155.0,False,False,regular,,,,,
11369371,,,,,81,,,10,,,substitution,,122145153.0,False,True,regular,,,,,
11369371,,,,,79,,,12,,,card,,120978601.0,,False,yellow,Marcos Acuña,Argument,False,578560.0,Marcos Acuña
11369371,,,,,77,,,14,,,card,,120978600.0,,True,yellow,Rubén Sobrino,Foul,False,329563.0,Rubén Sobrino
11369371,,,,,74,,,17,,,substitution,,122145132.0,False,True,regular,,,,,
11369371,,,,,73,,,18,,,substitution,,122145133.0,False,False,regular,,,,,
11369371,,,,,71,,,20,,,card,,120978583.0,,False,yellow,Lucas Ocampos,Foul,False,155702.0,Lucas Ocampos
11369371,,2.0,2.0,,60,,,31,,,goal,,173862304.0,,False,regular,,,,7635.0,Ivan Rakitić
11369371,,,,,58,,,33,,,substitution,,122145076.0,False,False,regular,,,,,
11369371,,,,,58,,,33,,,substitution,,122145075.0,False,False,regular,,,,,
11369371,,,,,46,,,45,,,substitution,,122145027.0,False,True,regular,,,,,
11369371,,,,,46,,,45,,,substitution,,122145026.0,False,True,regular,,,,,
11369371,HT,2.0,1.0,False,45,999.0,2700.0,1,0.0,2700.0,period,,,,,,,,,,
11369371,,,,,45,6.0,,1,,,card,,120978520.0,,True,yellow,Lucas Pires,Foul,False,1136896.0,Lucas Pires
11369371,,,,,45,1.0,,1,,,card,,120978515.0,,False,yellow,Boubakary Soumaré,Foul,False,887581.0,Boubakary Soumaré
11369371,,,,,45,0.0,,1,,,injuryTime,7.0,,,,,,,,,
11369371,,2.0,1.0,,37,,,9,,,goal,,173860826.0,,False,regular,,,,155702.0,Lucas Ocampos
11369371,,2.0,0.0,,28,,,18,,,goal,,173860509.0,,True,regular,,,,252863.0,Darwin Machís
11369371,,,,,24,,,22,,,card,,120978433.0,,True,yellow,Rominigue Kouamé,Foul,False,846446.0,Rominigue Kouamé
11369371,,,,,14,,,32,,,card,,120978400.0,,True,yellow,Fali,Foul,False,349794.0,Fali
11369371,,,,,11,,,35,,,card,,120978403.0,,True,yellow,Iván Alejo,Argument,False,352486.0,Iván Alejo
11369371,,1.0,0.0,,8,,,38,,,goal,,173859661.0,,True,regular,,,,914819.0,Chris Ramos
11369371,,,,,3,,,43,,,card,,120978381.0,,False,yellow,Sergio Ramos,Argument,False,10710.0,Sergio Ramos
11369371,,,,,-5,,,6,,,card,,120978380.0,,True,yellow,José Mari,Argument,False,141997.0,José Mari
