match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_topSpeed,stat_kilometersCovered,stat_numberOfSprints,stat_keeperSaveValue,stat_totalShots,stat_goalsPrevented,stat_passValueNormalized,stat_dribbleValueNormalized,stat_defensiveValueNormalized,stat_goalkeeperValueNormalized,stat_metersCoveredWalkingKm,stat_metersCoveredJoggingKm,stat_metersCoveredRunningKm,stat_metersCoveredHighSpeedRunningKm,stat_metersCoveredSprintingKm,stat_aerialWon,stat_duelLost,stat_duelWon,stat_dispossessed,stat_totalContest,stat_wonContest,stat_outfielderBlock,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_wasFouled,stat_keyPass,stat_bigChanceCreated,stat_onTargetScoringAttempt,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_shotValueNormalized,player_sofascoreId,stat_blockedScoringAttempt,stat_goals,stat_totalCross,stat_accurateCross,stat_aerialLost,stat_hitWoodwork,stat_fouls,stat_challengeLost,stat_shotOffTarget,stat_totalOffside,captain,stat_errorLeadToAGoal,stat_bigChanceMissed,stat_crossNotClaimed
14566782,home,Villarreal,Arnau Tenas,,,arnau-tenas,A. Tenas,G,25,185,5082,M,908714,EUR,991180800,G,25,25,False,38.0,21.0,21.0,6.0,0.0,19.0,23.0,2.0,15.0,1.0,5.0,2.0,2.0,1.0,90.0,42.0,5.4,18.0,0.00023256,19.368,5.22361,0.0,0.0195,0,-1.4626,-0.02,0.02,-0.34,-0.86,3.47,1.58,0.15,0.02,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14566782,home,Villarreal,Santiago Mouriño,,,santiago-mourino,S. Mouriño,D,15,186,2618,M,1468046,EUR,1013558400,D,15,15,False,30.0,24.0,3.0,,0.0,11.0,14.0,13.0,16.0,3.0,3.0,,,,90.0,65.0,7.0,12.0,0.0148543,30.42,10.3201,10.0,,0,,0.08,0.06,-0.24,,3.03,5.23,1.35,0.48,0.22,2.0,1.0,9.0,1.0,1.0,1.0,1.0,1.0,5.0,2.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,
14566782,home,Villarreal,Rafa Marín,,,rafa-marin,R. Marín,D,4,190,2323,M,984623,EUR,1021766400,D,4,4,False,54.0,44.0,11.0,3.0,0.0,33.0,37.0,11.0,17.0,9.0,4.0,,,,90.0,72.0,8.1,10.0,0.294306,27.9,10.17402,6.0,,1,,0.57,0.01,0.43,,2.95,5.15,1.48,0.48,0.11,3.0,,7.0,,,,2.0,,4.0,2.0,,,1.0,1.0,1.0,0.013,0.1491,-0.06,,,,,,,,,,,,,,,
14566782,home,Villarreal,Renato Veiga,,,renato-veiga,R. Veiga,D,12,190,11674,M,1087359,EUR,1059436800,D,12,12,False,50.0,45.0,3.0,2.0,0.0,35.0,37.0,10.0,13.0,3.0,3.0,,,,90.0,58.0,7.7,5.0,0.0057801,28.332,10.43738,8.0,,2,,0.03,0.14,-0.17,,2.86,5.39,1.52,0.5,0.16,,,3.0,,1.0,1.0,,,2.0,1.0,,,,,1.0,0.2076,0.3597,0.51,renatoveiga95,1.0,1.0,,,,,,,,,,,,
14566782,home,Villarreal,Alfonso Pedraza,,,alfonso-pedraza,A. Pedraza,D,24,184,604,M,797290,EUR,829008000,D,24,24,False,24.0,17.0,3.0,,0.0,9.0,14.0,8.0,10.0,1.0,,,,,76.0,44.0,6.2,13.0,0.0624257,32.04,8.92013,15.0,,1,,0.18,0.17,-0.31,,2.32,4.39,1.25,0.6,0.35,,4.0,3.0,1.0,1.0,,,,3.0,1.0,1.0,,2.0,,1.0,0.0868,0.1332,-0.1,,,,2.0,1.0,1.0,1.0,1.0,,,,,,,
14566782,home,Villarreal,Santi Comesaña,,,santi-comesana,S. Comesaña,M,14,187,1063,M,843678,EUR,844473600,M,14,14,False,23.0,20.0,,,0.0,9.0,9.0,11.0,14.0,3.0,4.0,,,,90.0,38.0,6.9,4.0,0.0364211,28.584,11.61486,11.0,,2,,0.1,0.2,-0.08,,2.83,5.54,2.12,0.87,0.25,2.0,8.0,8.0,,1.0,,,1.0,1.0,1.0,,5.0,1.0,,,0.0927,,-0.03,,1.0,,,,4.0,,1.0,3.0,1.0,1.0,,,,
14566782,home,Villarreal,Dani Parejo,,,dani-parejo,D. Parejo,M,10,180,2000,M,39182,EUR,608688000,M,10,10,False,29.0,26.0,1.0,1.0,0.0,14.0,17.0,12.0,12.0,1.0,4.0,,,,64.0,39.0,6.2,4.0,0.205037,26.82,8.09898,3.0,,2,,-0.03,0.06,-0.31,,1.81,4.34,1.46,0.43,0.06,,2.0,3.0,,1.0,,1.0,,2.0,1.0,,1.0,,,,0.1266,,-0.41,,1.0,,,,1.0,,,,1.0,,True,1.0,,
14566782,home,Villarreal,Pape Gueye,,,pape-gueye,P. Gueye,M,18,187,36251,M,879694,EUR,917136000,M,18,18,False,39.0,32.0,6.0,3.0,0.0,10.0,10.0,22.0,29.0,,1.0,,,,90.0,57.0,7.1,10.0,0.215155,26.604,11.18535,4.0,,3,,0.23,0.23,-0.07,,2.92,5.6,1.98,0.6,0.08,3.0,6.0,10.0,2.0,1.0,1.0,,,3.0,1.0,1.0,3.0,2.0,1.0,1.0,0.0935,0.1439,-0.25,p.gueye24,,,1.0,1.0,1.0,,3.0,,2.0,,,,,
14566782,home,Villarreal,Nicolas Pépé,,,nicolas-pepe,N. Pépé,F,19,183,12626,M,593526,EUR,801705600,F,19,19,False,36.0,29.0,,,1.0,8.0,10.0,21.0,26.0,,9.0,,,,90.0,65.0,8.3,19.0,0.309181,30.42,9.36616,15.0,,1,,0.37,0.9,-0.02,,3.5,3.78,1.14,0.65,0.3,,8.0,10.0,4.0,5.0,3.0,,3.0,3.0,2.0,2.0,4.0,5.0,1.0,,0.09,,-0.41,nicolas_pepe19,1.0,,3.0,,1.0,,,1.0,,,,,,
14566782,home,Villarreal,Georges Mikautadze,,,mikautadze-georges,G. Mikautadze,F,9,176,13228,M,1009372,EUR,972950400,F,9,9,False,11.0,11.0,,,0.0,2.0,2.0,9.0,9.0,,3.0,,,,76.0,23.0,7.5,5.0,0.028264,30.816,8.56399,15.0,,2,,0.12,0.03,-0.03,,2.3,4.37,1.02,0.55,0.33,,5.0,2.0,1.0,2.0,,,1.0,,,2.0,2.0,,,1.0,0.3409,0.3962,0.51,georgesmkd,,1.0,,,1.0,,,1.0,1.0,,,,,
