match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_aerialWon,stat_duelWon,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,player_firstName,player_lastName,stat_totalCross,stat_accurateCross,stat_aerialLost,stat_duelLost,stat_totalContest,stat_wonContest,stat_outfielderBlock,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_wasFouled,stat_keyPass,stat_shotOffTarget,stat_blockedScoringAttempt,stat_totalClearance,stat_errorLeadToAGoal,stat_fouls,stat_expectedGoals,captain,stat_challengeLost,stat_dispossessed,stat_bigChanceCreated,stat_bigChanceMissed,stat_onTargetScoringAttempt,stat_goalAssist,stat_goals,stat_totalOffside
11399501,home,Heracles Almelo,Michael Brouwer,michael-brouwer,M. Brouwer,G,25,187.0,75,M,252027,EUR,727574400,G,1,1,False,34.0,18.0,24.0,8.0,12.0,16.0,6.0,18.0,1.0,1.0,12.0,4.0,1.0,3.0,90.0,50.0,7.2,16.0,0.00610998,0,0.5753,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11399501,home,Heracles Almelo,Jannes Wieckhoff,jannes-wieckhoff,J. Wieckhoff,D,3,188.0,36,M,984880,EUR,965174400,D,3,3,False,45.0,33.0,9.0,1.0,14.0,22.0,21.0,28.0,,4.0,2.0,,,,90.0,72.0,6.7,21.0,0.142666,0,,,,5.0,2.0,2.0,3.0,2.0,1.0,1.0,1.0,2.0,2.0,4.0,1.0,2.0,,,,,,,,,,,,,,,
11399501,home,Heracles Almelo,Sven Sonnenberg,sven-sonnenberg,S. Sonnenberg,D,4,194.0,16,M,836713,EUR,916704000,D,4,4,False,55.0,48.0,3.0,2.0,28.0,32.0,20.0,23.0,4.0,4.0,4.0,,,,90.0,70.0,6.8,8.0,0.0500153,2,,,,,,3.0,4.0,,,1.0,1.0,,,1.0,,1.0,1.0,1.0,10.0,1.0,1.0,0.0298,,,,,,,,,
11399501,home,Heracles Almelo,Justin Hoogma,justin-hoogma,J. Hoogma,D,4,190.0,87,M,833246,EUR,897523200,D,21,21,False,54.0,46.0,9.0,4.0,23.0,26.0,23.0,29.0,2.0,4.0,8.0,,,,90.0,63.0,6.8,9.0,0.0499441,0,,,,1.0,,5.0,6.0,,,1.0,,2.0,1.0,,,,,,3.0,,,,True,1.0,,,,,,,
11399501,home,Heracles Almelo,Ruben Roosken,ruben-roosken,R. Roosken,D,12,183.0,99,M,988990,EUR,951955200,D,12,12,False,36.0,30.0,6.0,3.0,6.0,8.0,24.0,31.0,1.0,4.0,5.0,,,,90.0,63.0,6.8,16.0,0.0126037,1,,,,3.0,,,4.0,4.0,1.0,1.0,2.0,1.0,1.0,3.0,1.0,1.0,1.0,,,,,0.0183,,1.0,,,,,,,
11399501,home,Heracles Almelo,Brian De Keersmaecker,brian-de-keersmaecker,B. D. Keersmaeker,M,14,182.0,235,M,981222,EUR,957571200,M,14,14,False,57.0,48.0,5.0,3.0,20.0,24.0,28.0,33.0,1.0,3.0,5.0,,,,90.0,70.0,7.0,11.0,0.359319,1,,,,,,1.0,8.0,1.0,1.0,,1.0,1.0,1.0,,,2.0,,1.0,3.0,,3.0,0.0191,,2.0,2.0,1.0,,,,,
11399501,home,Heracles Almelo,Mario Engels,mario-engels,M. Engels,M,8,183.0,72,M,132674,EUR,751248000,M,8,8,False,18.0,15.0,1.0,1.0,5.0,5.0,12.0,23.0,,3.0,4.0,,,,71.0,40.0,7.0,14.0,0.0904177,0,,,,10.0,2.0,2.0,5.0,,,,,1.0,1.0,2.0,2.0,1.0,,,,,3.0,,,,1.0,,,,,,
11399501,home,Heracles Almelo,Anas Ouahim,anas-ouahim,A. Ouahim,M,10,175.0,200,M,845102,EUR,874972800,M,10,10,False,47.0,45.0,6.0,4.0,17.0,17.0,28.0,31.0,,5.0,6.0,,,,70.0,61.0,6.9,5.0,0.0389815,2,,,,1.0,,2.0,10.0,1.0,,1.0,2.0,4.0,3.0,1.0,1.0,1.0,1.0,1.0,,,3.0,0.0941,,4.0,,,,,,,
11399501,home,Heracles Almelo,Bryan Limbombe,bryan-limbombe,B. Limbombe,M,7,172.0,160,M,996988,EUR,989798400,F,7,7,False,26.0,17.0,2.0,1.0,5.0,8.0,12.0,20.0,,1.0,5.0,,,,71.0,40.0,6.1,15.0,0.0401853,4,,,,2.0,,,3.0,1.0,,,,,,3.0,1.0,,,1.0,,,,0.6769,,2.0,,,2.0,3.0,,,
11399501,home,Heracles Almelo,Mohamed Sankoh,mohamed-sankoh,M. Sankoh,F,44,180.0,334,M,982779,EUR,1066262400,F,44,44,False,12.0,9.0,,,4.0,6.0,5.0,6.0,,1.0,,,,,83.0,27.0,6.4,8.0,0.00354645,2,,Mohamed,Sankoh,,,4.0,7.0,1.0,1.0,,,,,3.0,,,1.0,1.0,,,1.0,0.1383,,,2.0,,,,,,
11399501,home,Heracles Almelo,Emil Hansson,emil-hansson,E. Hansson,M,7,172.0,243,M,794362,EUR,897868800,F,29,29,False,42.0,39.0,1.0,1.0,7.0,9.0,33.0,37.0,,2.0,10.0,,,,90.0,56.0,6.7,11.0,0.110178,0,,,,4.0,1.0,,4.0,3.0,1.0,,,1.0,,,,1.0,,,,,,,,1.0,1.0,,,,,,
11399501,home,Heracles Almelo,Thomas Bruns,thomas-bruns,T. Bruns,M,10,177.0,36,M,146401,EUR,694742400,M,17,17,True,15.0,8.0,3.0,2.0,3.0,4.0,5.0,13.0,,1.0,,,,,19.0,22.0,6.6,11.0,0.00836799,0,,,,2.0,,,1.0,2.0,1.0,,,,,1.0,,,,,,,1.0,,,,,,,,,,
11399501,home,Heracles Almelo,Sem Scheperman,scheperman-sem,S. Scheperman,M,32,188.0,82,M,1189738,EUR,1024790400,M,32,32,True,10.0,8.0,,,4.0,5.0,4.0,5.0,5.0,6.0,,,,,20.0,14.0,6.8,3.0,0.00340284,1,,,,,,1.0,2.0,,,,,,,1.0,1.0,,1.0,,1.0,,1.0,0.1404,,,,,,,,,
