match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_keeperSaveValue,stat_totalShots,stat_goalsPrevented,stat_passValueNormalized,stat_dribbleValueNormalized,stat_defensiveValueNormalized,stat_goalkeeperValueNormalized,stat_totalCross,stat_aerialLost,stat_duelLost,stat_duelWon,stat_challengeLost,stat_totalContest,stat_outfielderBlock,stat_interceptionWon,stat_totalTackle,stat_fouls,stat_aerialWon,stat_shotOffTarget,stat_totalClearance,stat_expectedGoals,stat_keyPass,stat_shotValueNormalized,stat_dispossessed,stat_wonTackle,stat_unsuccessfulTouch,stat_wasFouled,stat_wonContest,stat_onTargetScoringAttempt,stat_blockedScoringAttempt,stat_expectedGoalsOnTarget,captain,stat_accurateCross,stat_totalOffside,player_sofascoreId,stat_goals,stat_errorLeadToAShot,stat_bigChanceMissed,stat_bigChanceCreated
14131949,home,Vitória SC,Juan Castillo,Juan Castillo,,juan-castillo,J. Castillo,G,25,191,379,M,1175004,EUR,1042416000,G,25,25,False,24.0,17.0,14.0,8.0,0.0,13.0,16.0,4.0,8.0,6.0,3.0,7.0,90.0,35.0,7.3,7.0,0.00042367,0.6641,0,-0.4836,0.01,0.01,-0.24,0.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14131949,home,Vitória SC,Miguel Maga,Miguel Maga,,miguel-maga,M. Maga,D,2,175,180,M,1131047,EUR,1037404800,D,2,2,False,11.0,7.0,3.0,1.0,0.0,5.0,7.0,2.0,4.0,3.0,,,61.0,21.0,6.3,7.0,0.0010841,,0,,0.0,0.03,-0.12,,1.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,
14131949,home,Vitória SC,Óscar Rivas,Óscar Rivas,,oscar-rivas,Ó. Rivas,D,4,190,113,M,1168093,EUR,954115200,D,4,4,False,43.0,38.0,6.0,3.0,0.0,29.0,31.0,9.0,12.0,2.0,,,90.0,55.0,6.4,5.0,0.0350657,,1,,0.21,-0.05,-0.36,,,,,3.0,,,3.0,3.0,,,3.0,1.0,3.0,0.1002,2.0,-0.2,,,,,,,,,,,,,,,,
14131949,home,Vitória SC,Rodrigo Abascal,,,rodrigo-abascal,R. Abascal,D,26,190,156,M,846416,EUR,758505600,D,26,26,False,35.0,27.0,14.0,8.0,0.0,20.0,22.0,7.0,13.0,2.0,,,90.0,47.0,6.8,10.0,0.00571943,,0,,0.09,0.01,0.13,,1.0,,2.0,4.0,,,,,3.0,1.0,1.0,,3.0,,,,1.0,1.0,,,,,,,,,,,,,,
14131949,home,Vitória SC,João Mendes,,,joao-mendes,J. Mendes,D,13,179,180,M,1133568,EUR,955584000,D,13,13,False,25.0,21.0,6.0,3.0,0.0,13.0,14.0,8.0,11.0,3.0,,,90.0,41.0,6.3,7.0,0.00538638,,1,,0.06,0.04,-0.46,,1.0,,1.0,3.0,1.0,,,1.0,2.0,,,1.0,4.0,0.0294,1.0,-0.07,,2.0,1.0,1.0,,,,,,,,,,,,
14131949,home,Vitória SC,Beni Mukendi,,,beni-mukendi,B. Mukendi,M,16,180,646,M,1002367,EUR,1021939200,M,16,16,False,30.0,26.0,2.0,2.0,0.0,17.0,20.0,9.0,10.0,5.0,,,90.0,42.0,6.6,6.0,0.00377168,,0,,-0.03,0.08,-0.19,,,,4.0,7.0,1.0,3.0,,1.0,2.0,1.0,1.0,,1.0,,,,1.0,,,2.0,2.0,,,,,,,,,,,
14131949,home,Vitória SC,Diogo Sousa,,,diogo-lobao,D. Lobao,M,23,176,105,M,1434543,EUR,1137715200,M,23,23,False,13.0,11.0,,,0.0,5.0,6.0,6.0,7.0,2.0,,,61.0,20.0,6.3,3.0,0.0107396,,2,,-0.01,0.16,-0.18,,,,5.0,2.0,3.0,1.0,,,1.0,2.0,,,1.0,0.0713,2.0,-0.2,,,1.0,,1.0,1.0,1.0,0.0109,,,,,,,,
14131949,home,Vitória SC,Telmo Arcanjo,,,telmo-arcanjo,T. Arcanjo,M,18,180,559,M,1035280,EUR,993081600,M,18,18,False,16.0,10.0,5.0,2.0,0.0,2.0,4.0,8.0,12.0,7.0,,,62.0,36.0,7.2,13.0,0.00614478,,1,,0.05,0.25,0.19,,1.0,,4.0,7.0,1.0,3.0,,2.0,3.0,1.0,1.0,,,0.0086,,-0.06,,3.0,2.0,2.0,1.0,1.0,,0.0477,,,,,,,,
14131949,home,Vitória SC,Samu,,,samu,Samu,M,20,170,212,M,785808,EUR,830044800,M,20,20,False,23.0,19.0,2.0,1.0,0.0,12.0,14.0,7.0,9.0,3.0,,,73.0,38.0,6.7,6.0,0.0447294,,3,,0.06,0.26,0.13,,3.0,3.0,5.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,,2.0,,0.1586,2.0,-0.54,,1.0,,3.0,1.0,,1.0,,True,1.0,,,,,,
14131949,home,Vitória SC,Fabio Blanco,,,blanco-fabio,F. Blanco,M,22,179,419,M,1130363,EUR,1077062400,M,22,22,False,11.0,7.0,1.0,1.0,0.0,1.0,3.0,6.0,8.0,,,,56.0,16.0,5.5,5.0,0.0139604,,1,,-0.01,0.06,-0.18,,,1.0,5.0,1.0,3.0,,,,,1.0,,,1.0,0.0262,2.0,-0.06,,,1.0,1.0,,1.0,,0.0101,,,,,,,,
