match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_totalCross,stat_accurateCross,stat_aerialWon,stat_duelLost,stat_duelWon,stat_bigChanceCreated,stat_shotOffTarget,stat_onTargetScoringAttempt,stat_totalClearance,stat_unsuccessfulTouch,stat_wasFouled,stat_fouls,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_keyPass,stat_totalContest,stat_wonContest,stat_totalTackle,stat_aerialLost,stat_interceptionWon,stat_wonTackle,stat_challengeLost,stat_dispossessed,stat_bigChanceMissed,captain,stat_blockedScoringAttempt,stat_outfielderBlock,player_sofascoreId,stat_goalAssist,stat_hitWoodwork,stat_goals,stat_errorLeadToAShot,stat_savedShotsFromInsideTheBox,stat_ownGoals
11450055,home,Trabzonspor,Muhammet Taha Tepe,,,muhammet-taha-tepe,M. T. Tepe,G,54,184,104,M,910094,EUR,978307200,G,54,54,False,26.0,20.0,11.0,5.0,19.0,20.0,1.0,6.0,4.0,1.0,90.0,27.0,6.5,6.0,0.00064106,0,-0.264,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11450055,home,Trabzonspor,Thomas Meunier,,,thomas-meunier,T. Meunier,D,12,190,2758,M,128587,EUR,684633600,D,12,12,False,52.0,49.0,3.0,2.0,27.0,27.0,24.0,31.0,2.0,,86.0,74.0,7.6,9.0,0.423846,3,,6.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0,4.0,2.0,1.0,1.0,0.1193,0.2196,1.0,,,,,,,,,,,,,,,,,,,
11450055,home,Trabzonspor,Batista Mendy,,,batista-mendy,B. Mendy,M,19,191,1292,M,859021,EUR,947635200,D,6,6,False,88.0,82.0,9.0,8.0,53.0,55.0,30.0,35.0,9.0,,90.0,98.0,7.2,9.0,0.0359151,1,,2.0,1.0,,1.0,5.0,,,1.0,,1.0,2.0,,0.0206,0.0209,1.0,3.0,2.0,1.0,,,,,,,,,,,,,,,,
11450055,home,Trabzonspor,Stefano Denswil,,,stefano-denswil,S. Denswil,D,4,188,263,M,97404,EUR,736732800,D,24,24,False,95.0,86.0,9.0,4.0,52.0,52.0,34.0,43.0,6.0,,90.0,101.0,6.9,9.0,0.0194205,0,,,,3.0,8.0,4.0,,,,2.0,,,3.0,,,,,,1.0,5.0,2.0,1.0,,,,,,,,,,,,,
11450055,home,Trabzonspor,Eren Elmalı,,,eren-elmali,E. Elmalı,D,17,180,4102,M,981483,EUR,962928000,D,18,18,False,54.0,47.0,5.0,5.0,21.0,22.0,26.0,32.0,6.0,,90.0,74.0,7.2,11.0,0.140581,3,,,,3.0,4.0,5.0,,2.0,1.0,,1.0,1.0,1.0,0.2206,0.1726,2.0,1.0,,1.0,,2.0,1.0,1.0,1.0,1.0,,,,,,,,,,
11450055,home,Trabzonspor,Berat Ayberk Özdemir,,,berat-ayberk-ozdemir,B. A. Özdemir,M,2,187,216,M,876857,EUR,895881600,M,5,5,False,74.0,67.0,11.0,7.0,32.0,32.0,36.0,43.0,3.0,,90.0,86.0,7.7,7.0,0.0855182,0,,1.0,1.0,,,6.0,,,,,,3.0,,,,2.0,,,3.0,,5.0,3.0,,,,,,,,,,,,,
11450055,home,Trabzonspor,Umut Güneş,,,umut-gunes,U. Güneş,M,20,177,131,M,876782,EUR,953164800,M,23,23,False,38.0,33.0,1.0,1.0,17.0,18.0,17.0,21.0,1.0,,65.0,43.0,6.2,5.0,0.0207713,1,,1.0,1.0,,6.0,,,,1.0,,,,2.0,0.3171,0.1911,,,,,1.0,1.0,,3.0,,1.0,,,,,,,,,,
11450055,home,Trabzonspor,Edin Višća,,,edin-visca,E. Višća,M,7,172,1000,M,109779,EUR,635212800,M,7,7,False,44.0,33.0,3.0,,11.0,13.0,25.0,40.0,5.0,,86.0,69.0,7.7,20.0,0.345061,5,,9.0,3.0,,2.0,,,1.0,2.0,,2.0,,,0.1399,0.1991,3.0,,,,,,,1.0,1.0,,True,2.0,1.0,,,,,,,
11450055,home,Trabzonspor,Enis Bardhi,,,enis-bardhi,E. Bardhi,M,10,172,1009,M,355024,EUR,804643200,M,8,8,False,32.0,29.0,1.0,1.0,12.0,12.0,20.0,26.0,5.0,,79.0,45.0,8.0,7.0,0.0893731,1,,6.0,3.0,,,3.0,,1.0,,,1.0,2.0,,0.016,,4.0,,,1.0,,1.0,1.0,,,,,,,,,,,,,
11450055,home,Trabzonspor,Mahmoud Trézéguet,,,mahmoud-trezeguet,M. Trézéguet,M,7,179,38551,M,295361,EUR,780969600,M,10,10,False,50.0,42.0,1.0,,11.0,11.0,31.0,39.0,5.0,,90.0,72.0,9.8,13.0,0.334413,5,,,,,1.0,6.0,2.0,2.0,1.0,,2.0,1.0,,0.4438,0.417,3.0,2.0,2.0,3.0,,,2.0,,1.0,,,2.0,,mahmoudtrezeguet,2.0,1.0,1.0,,,
