match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_totalShots,stat_aerialWon,stat_duelLost,stat_duelWon,stat_totalClearance,stat_unsuccessfulTouch,stat_fouls,player_sofascoreId,captain,stat_blockedScoringAttempt,stat_lastManTackle,stat_totalTackle,stat_wonTackle,stat_aerialLost,stat_totalContest,stat_interceptionWon,stat_wasFouled,player_firstName,stat_totalCross,stat_accurateCross,stat_challengeLost,stat_wonContest,stat_keyPass,stat_dispossessed,stat_bigChanceCreated,player_lastName,stat_shotOffTarget,stat_onTargetScoringAttempt,stat_bigChanceMissed,stat_goals,stat_outfielderBlock,stat_errorLeadToAShot,stat_totalOffside
12624895,home,Al-Qadsiah,Koen Casteels,koen-casteels,K. Casteels,G,1,197.0,1420,M,70987,EUR,709430400,G,1,1,False,15.0,11.0,9.0,5.0,0.0,9.0,10.0,2.0,5.0,9.0,1.0,1.0,1.0,1.0,1.0,90.0,23.0,7.2,4.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12624895,home,Al-Qadsiah,Jehad Thakri,thakri-jehad,J. Thakri,D,4,184.0,259,M,1845169,EUR,995673600,D,4,4,False,48.0,48.0,,,0.0,28.0,28.0,20.0,20.0,5.0,,,,,,90.0,58.0,7.1,2.0,0,2.0,1.0,2.0,4.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
12624895,home,Al-Qadsiah,Nacho Fernández,nacho-fernandez,N. Fernández,D,6,180.0,14931,M,69404,EUR,632620800,D,6,6,False,71.0,68.0,10.0,10.0,0.0,39.0,41.0,29.0,30.0,8.0,,,,,,90.0,76.0,7.6,3.0,1,,,1.0,2.0,,,nachofdez90,True,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,
12624895,home,Al-Qadsiah,Gastón Álvarez,gaston-alvarez,G. Álvarez,D,17,184.0,492,M,980578,EUR,953856000,D,17,17,False,69.0,63.0,2.0,2.0,0.0,36.0,38.0,27.0,31.0,2.0,,,,,,90.0,83.0,7.1,7.0,0,2.0,4.0,4.0,4.0,,2.0,,,,,1.0,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,
12624895,home,Al-Qadsiah,Mohammed Abu Al-Shamat,mohammed-waheeb-abu-al-shamat,M. A. Al-Shamat,M,2,170.0,199,M,1804369,EUR,1029024000,M,2,2,False,36.0,30.0,5.0,3.0,0.0,16.0,17.0,15.0,25.0,5.0,,,,,,65.0,64.0,6.8,17.0,1,,8.0,3.0,1.0,2.0,2.0,,,1.0,,2.0,2.0,2.0,4.0,1.0,,Mohammed Waheeb Abu Al-Shamat,6.0,1.0,2.0,1.0,2.0,,,,,,,,,,
12624895,home,Al-Qadsiah,Nahitan Nández,nahitan-nandez,N. Nandez,M,8,175.0,1910,M,589620,EUR,820108800,M,8,8,False,46.0,39.0,4.0,2.0,1.0,12.0,13.0,30.0,38.0,7.0,,,,,,89.0,64.0,7.8,13.0,0,,3.0,4.0,2.0,,,,,,,2.0,2.0,,4.0,1.0,,,5.0,3.0,,2.0,2.0,1.0,2.0,,,,,,,,
12624895,home,Al-Qadsiah,Ezequiel Fernández,ezequiel-fernandez,E. Fernández,M,6,178.0,5873,M,1003012,EUR,1027555200,M,5,5,False,76.0,70.0,10.0,7.0,0.0,32.0,32.0,38.0,44.0,3.0,,,,,,90.0,91.0,7.4,7.0,1,,4.0,3.0,1.0,1.0,4.0,equifernandez,,,,2.0,2.0,,1.0,,,,,,,1.0,1.0,,,,1.0,,,,,,
12624895,home,Al-Qadsiah,Turki Al-Ammar,turki-al-ammar,T. Al-Ammar,M,7,170.0,151,M,965177,EUR,938044800,M,7,7,False,30.0,26.0,3.0,3.0,0.0,13.0,14.0,13.0,20.0,5.0,,,,,,65.0,44.0,7.1,9.0,2,,1.0,3.0,1.0,1.0,,,,1.0,,1.0,,,2.0,,,,4.0,,1.0,2.0,,,,,,1.0,,,,,
12624895,home,Al-Qadsiah,Pierre-Emerick Aubameyang,pierre-emerick-aubameyang,P. Aubameyang,F,17,187.0,49593,M,51498,EUR,614131200,F,10,10,False,28.0,22.0,,,1.0,4.0,4.0,18.0,25.0,2.0,,,,,,90.0,44.0,8.5,12.0,4,,4.0,4.0,,1.0,,Auba,,1.0,,,,,5.0,,1.0,,1.0,,,3.0,3.0,2.0,1.0,,,3.0,1.0,1.0,,,
12624895,home,Al-Qadsiah,Julián Quiñones,julian-quinones,J. Quiñones,F,33,180.0,6539,M,843114,EUR,859161600,F,33,33,False,19.0,14.0,2.0,1.0,0.0,3.0,3.0,12.0,18.0,1.0,,,,,,89.0,48.0,7.9,14.0,7,1.0,6.0,5.0,3.0,5.0,1.0,julianquinones33,,1.0,,,,2.0,5.0,,2.0,,2.0,1.0,,2.0,2.0,,,,3.0,3.0,1.0,1.0,,,
12624895,home,Al-Qadsiah,Cameron Puertas,cameron-puertas,C. Puertas,M,18,178.0,1147,M,916176,EUR,903398400,F,88,88,False,50.0,46.0,1.0,1.0,0.0,22.0,24.0,26.0,33.0,5.0,,,,,,79.0,84.0,7.5,18.0,5,1.0,7.0,8.0,1.0,2.0,,,,3.0,,3.0,1.0,1.0,4.0,1.0,4.0,,7.0,2.0,,,3.0,2.0,,,2.0,,,,,,
12624895,home,Al-Qadsiah,Mohammed Qassem,mohammed-qassem,M. Qassem,D,24,176.0,146,M,540426,EUR,790473600,D,24,24,True,14.0,12.0,,,0.0,5.0,6.0,9.0,11.0,,,,,,,25.0,27.0,6.7,7.0,0,,4.0,2.0,,2.0,1.0,,,,,2.0,1.0,,1.0,,,,3.0,2.0,1.0,,2.0,1.0,,,,,,,,,
