match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_sofascoreId,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_aerialWon,stat_duelWon,stat_totalClearance,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,player_firstName,player_lastName,stat_aerialLost,stat_duelLost,stat_totalContest,stat_outfielderBlock,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_fouls,stat_keyPass,stat_wasFouled,captain,stat_onTargetScoringAttempt,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_totalCross,stat_wonContest,stat_blockedScoringAttempt,stat_unsuccessfulTouch,stat_accurateCross,stat_dispossessed,stat_totalOffside,stat_shotOffTarget,stat_bigChanceMissed,stat_hitWoodwork,stat_penaltyWon,stat_goalAssist,stat_bigChanceCreated,stat_goals,stat_penaltyFaced,stat_challengeLost,stat_errorLeadToAShot,stat_penaltyConceded
11391420,home,Nice,Marcin Bułka,marcin-bulka,M. Bułka,G,99,198,4805,M,marcinbulka1,889590,EUR,938995200,G,1,1,False,20.0,15.0,9.0,4.0,14.0,18.0,1.0,2.0,1.0,1.0,1.0,5.0,2.0,2.0,3.0,1.0,90.0,31.0,7.4,5.0,0.00084647,0,0.4658,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11391420,home,Nice,Jordan Lotomba,jordan-lotomba,J. Lotomba,D,30,177,509,M,,796279,EUR,907027200,D,23,23,False,33.0,27.0,4.0,1.0,13.0,15.0,14.0,18.0,3.0,4.0,1.0,2.0,,,,,90.0,50.0,7.3,8.0,0.0399483,0,,,,2.0,4.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
11391420,home,Nice,Antoine Mendy,mendy-antoine,A. Mendy,D,5,186,6281,M,,1120615,EUR,1085529600,D,33,33,False,43.0,41.0,4.0,3.0,36.0,37.0,5.0,6.0,,3.0,1.0,3.0,,,,,85.0,51.0,6.9,2.0,0.00481288,0,,,,,1.0,,,2.0,2.0,1.0,2.0,,1.0,,,,,,,,,,,,,,,,,,,,,,
11391420,home,Nice,Dante,dante,Dante,D,4,188,1257,M,,3577,EUR,435283200,D,4,4,False,78.0,71.0,10.0,5.0,50.0,53.0,21.0,25.0,1.0,2.0,1.0,8.0,,,,,90.0,85.0,7.2,7.0,0.0117901,1,,,,1.0,3.0,,,2.0,,,2.0,,1.0,True,1.0,0.064,0.0316,,,,,,,,,,,,,,,,,,
11391420,home,Nice,Melvin Bard,melvin-bard,M. Bard,D,26,173,502,M,,906075,EUR,973468800,D,26,26,False,33.0,29.0,1.0,,15.0,16.0,14.0,18.0,1.0,5.0,1.0,5.0,,,,,90.0,55.0,7.2,7.0,0.00905836,1,,,,1.0,3.0,3.0,,4.0,,,1.0,,2.0,,,0.1274,,1.0,2.0,1.0,1.0,,,,,,,,,,,,,,
11391420,home,Nice,Morgan Sanson,morgan-sanson,M. Sanson,M,8,182,499,M,,250133,EUR,777168000,M,11,11,False,27.0,20.0,,,9.0,9.0,13.0,25.0,1.0,3.0,1.0,4.0,,,,,90.0,44.0,6.9,18.0,0.297469,0,,,,,5.0,,,1.0,1.0,1.0,1.0,3.0,1.0,,,,,7.0,,,2.0,2.0,4.0,,,,,,,,,,,,
11391420,home,Nice,Hicham Boudaoui,hicham-boudaoui,H. Boudaoui,M,6,176,11417,M,hicham_boudaoui,985923,EUR,938044800,M,28,28,False,33.0,25.0,3.0,1.0,19.0,22.0,6.0,15.0,,3.0,,4.0,,,,,89.0,47.0,6.8,15.0,0.032116,3,,,,3.0,4.0,3.0,,,,,,1.0,1.0,,,0.2252,,4.0,2.0,3.0,2.0,,,1.0,,,,,,,,,,,
11391420,home,Nice,Pablo Rosario,pablo-rosario,P. Rosario,M,13,188,1208,M,,804472,EUR,852595200,M,8,8,False,28.0,27.0,1.0,1.0,17.0,17.0,10.0,11.0,3.0,4.0,6.0,1.0,,,,,90.0,42.0,7.4,2.0,0.0329617,1,,,,2.0,2.0,,1.0,2.0,,,,1.0,1.0,,,0.102,,,,,1.0,,,,1.0,,,,,,,,,,
11391420,home,Nice,Gaëtan Laborde,gaetan-laborde,G. Laborde,F,9,181,848,M,,149730,EUR,767923200,F,24,24,False,15.0,12.0,1.0,,6.0,7.0,8.0,12.0,1.0,6.0,,3.0,,,,,73.0,33.0,7.3,9.0,0.120584,3,,,,,4.0,6.0,,,2.0,1.0,1.0,2.0,,,1.0,0.1731,0.2379,4.0,3.0,,1.0,2.0,,,2.0,,,,,,,,,,
11391420,home,Nice,Evann Guessand,evann-guessand,E. Guessand,F,29,185,5228,M,,930245,EUR,993945600,F,29,29,False,15.0,10.0,1.0,1.0,3.0,6.0,7.0,9.0,,5.0,2.0,1.0,,,,,90.0,35.0,7.1,12.0,0.0887524,3,,,,,8.0,1.0,,,,,5.0,,4.0,,1.0,0.3904,0.0394,,1.0,,4.0,,3.0,,2.0,1.0,1.0,1.0,,,,,,,
