match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_challengeLost,stat_totalContest,stat_wonContest,stat_shotOffTarget,stat_blockedScoringAttempt,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_wasFouled,stat_keyPass,stat_totalClearance,player_firstName,player_lastName,player_sofascoreId,stat_fouls,stat_totalCross,stat_dispossessed,captain,stat_accurateCross,stat_onTargetScoringAttempt,stat_goals,stat_totalOffside,stat_goodHighClaim,stat_outfielderBlock,stat_goalAssist,stat_bigChanceCreated
10388226,home,Eintracht Frankfurt,Kevin Trapp,kevin-trapp,K. Trapp,G,35,189,1775,M,38440,EUR,647395200,G,1,1,False,21.0,11.0,14.0,4.0,9.0,11.0,2.0,10.0,10.0,2.0,3.0,90.0,27.0,6.7,10.0,0.0,0.0,0.0031103,0,0.1342,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10388226,home,Eintracht Frankfurt,Tuta,tuta,Tuta,D,3,184,1088,M,964191,EUR,931046400,D,35,35,False,64.0,55.0,9.0,8.0,28.0,31.0,27.0,33.0,11.0,,,90.0,77.0,7.1,11.0,0.0595,0.0,0.152009,2,,1.0,3.0,4.0,8.0,2.0,2.0,1.0,1.0,1.0,3.0,2.0,1.0,1.0,2.0,1.0,,,,,,,,,,,,,,,,
10388226,home,Eintracht Frankfurt,Makoto Hasebe,makoto-hasebe,M. Hasebe,D,,180,533,M,24397,EUR,443232000,D,20,20,False,50.0,42.0,9.0,7.0,27.0,29.0,15.0,21.0,6.0,,,90.0,63.0,6.8,9.0,0.0,0.0,0.00891328,0,,2.0,1.0,3.0,3.0,1.0,,,,,,1.0,1.0,,1.0,,5.0,,,,,,,,,,,,,,,
10388226,home,Eintracht Frankfurt,Evan Ndicka,evan-ndicka,E. Ndicka,D,5,190,9201,M,848287,EUR,935107200,D,2,2,False,51.0,40.0,7.0,1.0,23.0,23.0,17.0,28.0,5.0,,,90.0,63.0,6.8,11.0,0.1623,0.0,0.0100157,1,,1.0,5.0,3.0,8.0,1.0,,,1.0,,3.0,2.0,,,1.0,,2.0,,,evanndicka,1.0,,,,,,,,,,,
10388226,home,Eintracht Frankfurt,Aurélio Buta,aurelio-buta,A. Buta,D,17,169,495,M,357752,EUR,855532800,M,24,24,False,40.0,27.0,,,9.0,11.0,18.0,35.0,5.0,,,90.0,75.0,6.3,25.0,0.0,0.0,0.0254115,0,,2.0,1.0,8.0,4.0,1.0,2.0,1.0,,,1.0,2.0,,1.0,,,,,,,3.0,6.0,1.0,,,,,,,,,
10388226,home,Eintracht Frankfurt,Sebastian Rode,sebastian-rode,S. Rode,M,,179,171,M,35194,EUR,655603200,M,17,17,False,44.0,39.0,,,18.0,20.0,22.0,25.0,5.0,,,71.0,57.0,7.4,7.0,0.0959,0.1998,0.0570054,1,,1.0,,5.0,4.0,3.0,,,,,1.0,3.0,2.0,2.0,1.0,1.0,1.0,,,,1.0,1.0,,True,1.0,1.0,1.0,,,,,
10388226,home,Eintracht Frankfurt,Djibril Sow,djibril-sow,D. Sow,M,20,184,1940,M,799054,EUR,855187200,M,8,8,False,52.0,44.0,3.0,2.0,17.0,20.0,27.0,34.0,9.0,,,86.0,66.0,6.7,12.0,0.0436,0.0,0.0555132,1,,2.0,,7.0,5.0,2.0,3.0,2.0,,1.0,1.0,1.0,1.0,,2.0,,,,,,3.0,2.0,,,,,,,,,,
10388226,home,Eintracht Frankfurt,Philipp Max,philipp-max,P. Max,D,,178,608,M,142672,EUR,749347200,M,32,32,False,33.0,25.0,5.0,1.0,5.0,8.0,21.0,32.0,2.0,,,89.0,63.0,6.6,18.0,0.0613,0.0,0.176569,2,,3.0,,6.0,2.0,1.0,1.0,,2.0,,,2.0,1.0,1.0,,1.0,2.0,,,,,7.0,1.0,,1.0,,,,,,,
10388226,home,Eintracht Frankfurt,Rafael Borré,rafael-borre,R. Borré,F,19,174,5880,M,560116,EUR,811123200,F,19,19,False,39.0,29.0,1.0,,9.0,9.0,21.0,35.0,4.0,,,71.0,55.0,6.6,19.0,0.0,0.0,0.0348485,0,,1.0,3.0,6.0,6.0,1.0,3.0,2.0,,,,1.0,1.0,2.0,,,,,,rafaelsantosborre,1.0,5.0,2.0,,1.0,,,2.0,,,,
10388226,home,Eintracht Frankfurt,Mario Götze,mario-gotze,M. Götze,M,27,176,5881,M,66518,EUR,707529600,F,27,27,False,43.0,34.0,2.0,1.0,11.0,11.0,24.0,39.0,8.0,,,90.0,75.0,6.8,26.0,0.1083,0.0,0.0892162,1,,2.0,,12.0,8.0,3.0,6.0,2.0,,1.0,1.0,4.0,2.0,4.0,2.0,2.0,,,,MarioGotze,2.0,7.0,1.0,,1.0,,,,,,,
