match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_sofascoreId,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_totalOppositionHalfPasses,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_passValueNormalized,stat_defensiveValueNormalized,stat_accurateLongBalls,stat_accurateOppositionHalfPasses,stat_totalCross,stat_accurateCross,stat_aerialWon,stat_duelLost,stat_duelWon,stat_bigChanceCreated,stat_interceptionWon,stat_ballRecovery,stat_totalTackle,stat_wonTackle,stat_wasFouled,stat_fouls,stat_keyPass,stat_dribbleValueNormalized,stat_totalClearance,stat_unsuccessfulTouch,stat_aerialLost,stat_shotOffTarget,stat_onTargetScoringAttempt,stat_goals,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_shotValueNormalized,stat_totalContest,stat_blockedScoringAttempt,captain,stat_outfielderBlock,stat_challengeLost,stat_wonContest,stat_dispossessed,player_firstName,player_lastName,stat_bigChanceMissed,stat_goodHighClaim,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_keeperSaveValue,stat_goalsPrevented,stat_goalkeeperValueNormalized,stat_savedShotsFromInsideTheBox,stat_hitWoodwork
13981519,home,Bologna,Łukasz Skorupski,lukasz-skorupski,Ł. Skorupski,G,1,187.0,4421,M,lukaszskorupski28,44906,EUR,673401600,G,1,1,False,3.0,1.0,2.0,0.0,1.0,1.0,2.0,8.0,3.0,6.4,2.0,1.44e-06,0,0.0,-0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13981519,home,Bologna,Emil Holm,emil-holm,E. Holm,D,2,191.0,1648,M,,965264,EUR,958176000,D,2,2,False,32.0,24.0,4.0,1.0,14.0,17.0,15.0,90.0,54.0,7.9,14.0,0.309355,0,0.47,0.2,1.0,10.0,2.0,2.0,1.0,1.0,6.0,1.0,2.0,8.0,3.0,2.0,2.0,1.0,2.0,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13981519,home,Bologna,Torbjørn Heggem,torbjorn-heggem,T. Heggem,D,14,192.0,759,M,,933264,EUR,916099200,D,14,14,False,31.0,27.0,2.0,0.0,23.0,25.0,6.0,90.0,38.0,6.9,5.0,0.00176284,0,0.0,0.27,1.0,4.0,,,1.0,3.0,3.0,,,2.0,1.0,1.0,1.0,3.0,,0.02,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
13981519,home,Bologna,Jhon Lucumí,jhon-lucumi,J. Lucumí,D,26,185.0,4571,M,,818481,EUR,898819200,D,26,26,False,43.0,39.0,4.0,0.0,24.0,24.0,19.0,90.0,58.0,8.6,5.0,0.00932858,2,0.22,0.4,1.0,15.0,,,3.0,2.0,8.0,,1.0,4.0,3.0,2.0,2.0,,,0.05,6.0,1.0,2.0,1.0,1.0,1.0,0.552,0.7995,0.47,,,,,,,,,,,,,,,,,,,
13981519,home,Bologna,Juan Miranda,juan-miranda,J. Miranda,D,33,185.0,2208,M,,855829,EUR,948240000,D,33,33,False,38.0,32.0,3.0,0.0,14.0,16.0,22.0,90.0,63.0,7.3,15.0,0.0173706,1,0.04,0.19,1.0,18.0,7.0,,4.0,2.0,8.0,1.0,,6.0,2.0,,2.0,1.0,3.0,0.12,1.0,,,,,,0.0339,,-0.07,1.0,1.0,,,,,,,,,,,,,,,,,
13981519,home,Bologna,Lewis Ferguson,lewis-ferguson,L. Ferguson,M,19,181.0,1972,M,,907152,EUR,935452800,M,19,19,False,65.0,53.0,10.0,0.0,25.0,26.0,39.0,90.0,70.0,6.9,12.0,0.16458,0,0.35,-0.01,5.0,28.0,1.0,1.0,1.0,5.0,2.0,,,3.0,,,1.0,4.0,1.0,0.04,2.0,,1.0,,,,,,,,,True,1.0,,,,,,,,,,,,,,,
13981519,home,Bologna,Tommaso Pobega,tommaso-pobega,T. Pobega,M,4,188.0,1344,M,,928796,EUR,931996800,M,4,4,False,19.0,16.0,3.0,0.0,7.0,7.0,12.0,81.0,25.0,6.6,4.0,0.0101654,0,0.05,-0.09,3.0,9.0,,,,2.0,,,1.0,3.0,,,,1.0,1.0,0.01,1.0,1.0,,,,,,,,,,,,2.0,,,,,,,,,,,,,,
13981519,home,Bologna,Riccardo Orsolini,riccardo-orsolini,R. Orsolini,M,7,183.0,5740,M,,793645,EUR,854064000,M,7,7,False,23.0,16.0,3.0,0.0,3.0,7.0,16.0,81.0,30.0,6.2,8.0,0.0196997,1,-0.13,-0.18,,13.0,1.0,,1.0,3.0,3.0,,,2.0,,,1.0,1.0,,0.15,,,2.0,,1.0,,0.007,0.092,-0.1,1.0,,,,,1.0,,,,,,,,,,,,,
13981519,home,Bologna,Jens Odgaard,jens-odgaard,J. Odgaard,M,21,188.0,1820,M,,826064,EUR,922838400,M,21,21,False,9.0,6.0,,0.0,1.0,3.0,6.0,61.0,15.0,6.5,6.0,0.00443127,0,-0.12,0.0,,5.0,1.0,,1.0,3.0,2.0,,,,1.0,,,1.0,,0.04,1.0,1.0,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,
13981519,home,Bologna,Jonathan Rowe,jonathan-rowe,J. Rowe,F,11,173.0,2307,M,,1065261,EUR,1051660800,M,11,11,False,15.0,14.0,1.0,0.0,6.0,6.0,9.0,45.0,24.0,6.9,2.0,0.00977093,2,0.07,0.13,,8.0,,,,1.0,3.0,,,3.0,1.0,,1.0,,,0.12,1.0,1.0,1.0,,1.0,,0.056,0.045,0.0,1.0,1.0,,,,1.0,,Jon Rowe,,,,,,,,,,,
