match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,captain,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_dispossessed,stat_totalContest,stat_outfielderBlock,stat_interceptionWon,stat_totalTackle,stat_unsuccessfulTouch,stat_wasFouled,stat_totalCross,stat_challengeLost,stat_wonContest,stat_blockedScoringAttempt,stat_wonTackle,stat_fouls,stat_expectedGoals,stat_errorLeadToAShot,stat_keyPass,stat_bigChanceCreated,stat_accurateCross,stat_bigChanceMissed,stat_onTargetScoringAttempt,stat_expectedGoalsOnTarget,stat_totalOffside,stat_punches,stat_goalAssist,stat_shotOffTarget,stat_goals
11401953,home,FC Volendam,Mio Backhaus,Mio Backhaus,,mio-backhaus,M. Backhaus,G,30,194.0,1073,M,1083390,EUR,1082073600,G,1,1,False,47.0,36.0,14.0,3.0,35.0,39.0,1.0,8.0,1.0,9.0,1.0,1.0,1.0,90.0,56.0,6.5,11.0,0.00055577,0,-0.3419,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11401953,home,FC Volendam,Xavier Mbuyamba,,,xavier-mbuyamba,X. Mbuyamba,D,3,195.0,632,M,974020,EUR,1009756800,D,31,31,False,109.0,96.0,10.0,7.0,58.0,64.0,38.0,45.0,2.0,3.0,,,,90.0,126.0,7.2,18.0,0.0250881,0,,True,3.0,3.0,5.0,6.0,1.0,1.0,2.0,3.0,1.0,2.0,2.0,,,,,,,,,,,,,,,,,,,
11401953,home,FC Volendam,Benaissa Benamar,,,benaissa-benamar,B. Benamar,D,5,191.0,226,M,970791,EUR,860457600,D,6,6,False,108.0,96.0,8.0,4.0,58.0,60.0,38.0,49.0,1.0,6.0,,,,90.0,122.0,7.3,15.0,0.0140917,2,,,,4.0,4.0,11.0,2.0,4.0,1.0,,3.0,,,1.0,1.0,4.0,2.0,2.0,1.0,0.0847,,,,,,,,,,,,
11401953,home,FC Volendam,Damon Mirani,,,damon-mirani,D. Mirani,D,4,182.0,56,M,318575,EUR,831945600,D,4,4,False,88.0,69.0,8.0,3.0,42.0,49.0,27.0,39.0,1.0,2.0,,,,80.0,95.0,6.6,20.0,0.021441,1,,,3.0,5.0,4.0,7.0,,,,,2.0,1.0,,,,,1.0,2.0,1.0,0.0907,1.0,1.0,,,,,,,,,,
11401953,home,FC Volendam,Oskar Buur,,,oskar-buur,O. Buur,D,2,178.0,84,M,797688,EUR,891302400,M,2,2,False,20.0,16.0,2.0,1.0,9.0,10.0,7.0,10.0,2.0,4.0,,,,63.0,33.0,7.0,6.0,0.285386,0,,,,,4.0,3.0,,1.0,,,3.0,,,,2.0,,,3.0,1.0,,,1.0,1.0,,,,,,,,,
11401953,home,FC Volendam,Milan de Haan,Milan de Haan,,milan-de-haan,M. d. Haan,M,8,,32,M,1120949,EUR,1069286400,M,36,36,False,26.0,20.0,,,13.0,15.0,7.0,11.0,1.0,7.0,,,,90.0,41.0,6.3,11.0,0.00416255,0,,,1.0,2.0,7.0,7.0,3.0,2.0,,,2.0,1.0,2.0,,1.0,1.0,,2.0,1.0,,1.0,,,,,,,,,,,
11401953,home,FC Volendam,Calvin Twigt,Calvin Twigt,,calvin-twigt,C. Twigt,M,8,183.0,95,M,1084944,EUR,1043884800,M,17,17,False,43.0,33.0,3.0,2.0,19.0,21.0,15.0,25.0,,5.0,,,,90.0,65.0,7.1,14.0,0.196045,0,,,4.0,2.0,8.0,9.0,1.0,1.0,,1.0,3.0,,3.0,3.0,,1.0,,1.0,3.0,,,1.0,,1.0,,,,,,,,
11401953,home,FC Volendam,Zach Booth,Zach Booth,,booth-zach,Z. Booth,M,21,184.0,134,M,1138450,EUR,1076976000,M,7,7,False,11.0,8.0,,,3.0,4.0,5.0,7.0,,1.0,,,,63.0,19.0,6.2,7.0,0.00345959,1,,,,,2.0,1.0,1.0,1.0,,,,1.0,1.0,,,,,,,0.5324,,,,,1.0,1.0,0.5153,,,,,
11401953,home,FC Volendam,George Cox,George,Cox,george-cox,G. Cox,M,,171.0,91,M,920556,EUR,884736000,M,5,5,False,49.0,36.0,8.0,2.0,25.0,27.0,12.0,24.0,1.0,4.0,,,,90.0,80.0,6.5,18.0,0.0341229,0,,,1.0,,6.0,6.0,2.0,2.0,1.0,1.0,1.0,,4.0,2.0,2.0,1.0,,,,,,,,1.0,,,,,,,,
11401953,home,FC Volendam,Bilal Ould-Chikh,,,bilal-ould-chikh,B. Ould-Chikh,M,77,170.0,1226,M,544532,EUR,870048000,F,11,11,False,14.0,12.0,1.0,1.0,6.0,7.0,8.0,11.0,,4.0,,,,90.0,42.0,6.7,15.0,0.0829347,1,,,1.0,,8.0,6.0,2.0,9.0,,,1.0,3.0,1.0,4.0,,4.0,,1.0,,0.0968,,1.0,,2.0,,1.0,0.0786,,,,,
