match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_duelLost,stat_totalClearance,stat_ballRecovery,stat_penaltyConceded,stat_fouls,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_penaltyFaced,stat_saves,stat_punches,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,player_firstName,player_lastName,stat_totalCross,stat_aerialLost,stat_aerialWon,stat_duelWon,stat_challengeLost,stat_dispossessed,stat_totalContest,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_wasFouled,captain,stat_wonContest,stat_bigChanceCreated,stat_keyPass,stat_onTargetScoringAttempt,stat_goals,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_interceptionWon,stat_blockedScoringAttempt,stat_bigChanceMissed,stat_outfielderBlock,stat_shotOffTarget,stat_totalOffside,stat_accurateCross,stat_clearanceOffLine,stat_penaltyWon
12530770,home,Adana Demirspor,Deniz Eren Dönmezer,donmezer-deniz-eren,D. E. Donmezer,G,27,190.0,590,M,1550760,EUR,1221955200,G,27,27,False,27.0,12.0,19.0,4.0,0.0,10.0,13.0,2.0,14.0,1.0,2.0,5.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,90.0,35.0,5.7,15.0,0.00070399,0,-1.6996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12530770,home,Adana Demirspor,Arda Kurtulan,arda-kurtulan,A. Kurtulan,D,2,183.0,386,M,1063395,EUR,1037664000,D,99,99,False,28.0,20.0,5.0,3.0,0.0,12.0,15.0,8.0,16.0,6.0,5.0,3.0,,,,,,,,,,90.0,61.0,6.0,22.0,0.0115871,0,,Arda Kurtulan,,3.0,2.0,1.0,5.0,2.0,1.0,1.0,3.0,3.0,3.0,1.0,,,,,,,,,,,,,,,,,
12530770,home,Adana Demirspor,Semih Güler,semih-guler,S. Güler,D,6,184.0,112,M,325155,EUR,786153600,D,4,4,False,37.0,30.0,11.0,5.0,0.0,25.0,27.0,5.0,10.0,3.0,5.0,5.0,,2.0,,,,,,,,90.0,48.0,6.2,8.0,0.0632155,0,,,,,1.0,1.0,4.0,,,1.0,2.0,,1.0,,True,1.0,1.0,2.0,,,,,,,,,,,,,
12530770,home,Adana Demirspor,Tolga Kalender,tolga-kalender,T. Kalender,D,5,191.0,42,M,903851,EUR,998006400,D,55,55,False,10.0,8.0,2.0,,0.0,7.0,8.0,1.0,2.0,1.0,2.0,1.0,,,,,,,,,,26.0,15.0,7.1,3.0,0.00013221,1,,,,,,1.0,2.0,,1.0,,1.0,1.0,,,,,,,1.0,1.0,0.089,0.8753,,,,,,,,,
12530770,home,Adana Demirspor,Abdulsamet Burak,abdulsamet-burak,A. Burak,D,3,182.0,40,M,900798,EUR,831945600,D,23,23,False,43.0,33.0,8.0,4.0,0.0,18.0,23.0,15.0,21.0,1.0,5.0,6.0,,1.0,,,,,,,,90.0,64.0,6.2,12.0,0.0086708,0,,,,1.0,,2.0,5.0,,,1.0,1.0,1.0,,1.0,,1.0,,,,,,,1.0,,,,,,,,
12530770,home,Adana Demirspor,İzzet Çelik,celik-izzet,İ. Çelik,M,6,166.0,68,M,826836,EUR,1087689600,M,16,16,False,31.0,25.0,3.0,,0.0,12.0,13.0,13.0,18.0,6.0,,8.0,,1.0,,,,,,,,90.0,48.0,6.7,10.0,0.0201918,0,,,,,1.0,,9.0,1.0,2.0,4.0,3.0,2.0,1.0,3.0,,3.0,,1.0,,,,,2.0,,,,,,,,
12530770,home,Adana Demirspor,Tayfun Aydoğan,tayfun-aydogan,T. Aydoğan,M,8,175.0,43,M,816435,EUR,833328000,M,8,8,False,17.0,15.0,1.0,1.0,0.0,9.0,9.0,6.0,9.0,2.0,1.0,1.0,,1.0,,,,,,,,73.0,29.0,6.9,5.0,0.0393557,1,,,,1.0,1.0,,3.0,1.0,,,3.0,2.0,2.0,,,,,1.0,,,0.0608,,1.0,1.0,,,,,,,
12530770,home,Adana Demirspor,Ali Yavuz Kol,ali-yavuz-kol,A. Y. Kol,M,11,175.0,109,M,910091,EUR,980726400,M,80,80,False,18.0,8.0,,,1.0,2.0,3.0,6.0,16.0,4.0,3.0,3.0,,,,,,,,,,74.0,31.0,6.5,14.0,0.0252301,2,,,,1.0,2.0,,,,1.0,1.0,,,1.0,,,,,1.0,1.0,,0.0963,0.3281,,1.0,1.0,1.0,,,,,
12530770,home,Adana Demirspor,Bunyamin Balat,bunyamin-balat,B. Balat,M,,172.0,28,M,996317,EUR,852422400,M,21,21,False,13.0,11.0,1.0,1.0,0.0,2.0,2.0,9.0,13.0,4.0,,1.0,,,,,,,,,,61.0,19.0,6.5,6.0,0.00743085,0,,,,2.0,1.0,,1.0,1.0,2.0,,,,,1.0,,,,1.0,,,,,,,,,,,,,
12530770,home,Adana Demirspor,Nabil Alioui,alioui-nabil,N. Alioui,F,10,175.0,374,M,873049,EUR,919296000,M,10,10,False,30.0,24.0,3.0,2.0,1.0,10.0,11.0,14.0,25.0,5.0,,6.0,,1.0,,,,,,,,90.0,57.0,8.1,19.0,0.0952013,4,,,,6.0,,1.0,6.0,1.0,3.0,2.0,,,2.0,3.0,,2.0,,1.0,2.0,1.0,0.1983,0.2564,1.0,1.0,,,1.0,,,,
