match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_aerialWon,stat_duelWon,stat_totalClearance,stat_ballRecovery,stat_wasFouled,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,player_sofascoreId,stat_duelLost,stat_challengeLost,stat_dispossessed,stat_blockedScoringAttempt,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_fouls,stat_expectedGoals,stat_aerialLost,player_firstName,player_lastName,stat_totalContest,stat_wonContest,stat_goalAssist,stat_bigChanceCreated,stat_outfielderBlock,stat_totalOffside,stat_keyPass,captain,stat_totalCross,stat_accurateCross,stat_errorLeadToAShot,stat_onTargetScoringAttempt,stat_goals,stat_expectedGoalsOnTarget,stat_bigChanceMissed,stat_shotOffTarget,stat_savedShotsFromInsideTheBox
11368719,home,Girona FC,Paulo Gazzaniga,paulo-gazzaniga,P. Gazzaniga,G,13,196,1913,M,164343,EUR,694310400,G,13,13,False,32.0,25.0,12.0,5.0,22.0,22.0,3.0,10.0,1.0,1.0,1.0,3.0,1.0,1.0,2.0,2.0,90.0,38.0,7.1,8.0,0.00091067,0,0.2057,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11368719,home,Girona FC,Eric García,eric-garcia,E. García,D,24,182,56393,M,876214,EUR,978998400,D,25,25,False,79.0,76.0,7.0,6.0,41.0,43.0,35.0,36.0,,2.0,,5.0,1.0,,,,90.0,101.0,7.3,12.0,0.0587649,1,,ericgm3,4.0,1.0,2.0,1.0,2.0,1.0,1.0,2.0,1.0,0.084,,,,,,,,,,,,,,,,,,,,
11368719,home,Girona FC,David López,david-lopez,D. López,D,5,185,551,M,135116,EUR,623894400,D,5,5,False,77.0,75.0,6.0,4.0,62.0,62.0,13.0,15.0,,1.0,3.0,3.0,,,,,90.0,89.0,7.2,3.0,0.00344987,0,,,2.0,,,,1.0,1.0,1.0,1.0,,,2.0,,,,,,,,,,,,,,,,,,,
11368719,home,Girona FC,Daley Blind,daley-blind,D. Blind,D,17,180,2785,M,44864,EUR,636940800,D,17,17,False,88.0,81.0,5.0,1.0,52.0,54.0,29.0,34.0,1.0,3.0,6.0,3.0,,,,,90.0,105.0,7.4,11.0,0.0160537,1,,,1.0,,,1.0,1.0,,,1.0,,0.1034,1.0,,,2.0,2.0,,,,,,,,,,,,,,,
11368719,home,Girona FC,Viktor Tsygankov,viktor-tsygankov,V. Tsygankov,M,15,178,5432,M,319735,EUR,879552000,M,8,8,False,30.0,28.0,5.0,4.0,13.0,14.0,15.0,16.0,,6.0,1.0,3.0,1.0,,,,63.0,45.0,8.1,5.0,0.270142,1,,viktortsygankov,1.0,,1.0,1.0,1.0,4.0,2.0,2.0,,0.0249,,,,1.0,1.0,1.0,1.0,1.0,1.0,2.0,,,,,,,,,,
11368719,home,Girona FC,Aleix García,aleix-garcia,A. García,M,24,173,4524,M,796047,EUR,867456000,M,14,14,False,62.0,56.0,3.0,1.0,25.0,27.0,33.0,42.0,2.0,5.0,5.0,7.0,2.0,,,,90.0,81.0,7.9,11.0,0.339866,0,,AlexGarcia97,2.0,,,,,2.0,1.0,,,,2.0,,,,,1.0,2.0,,,2.0,True,7.0,2.0,,,,,,,
11368719,home,Girona FC,Iván Martín,ivan-martin,I. Martín,M,23,178,895,M,973699,EUR,918950400,M,23,23,False,58.0,55.0,1.0,1.0,35.0,35.0,20.0,23.0,,2.0,1.0,9.0,,,,,89.0,73.0,6.4,11.0,0.0164785,0,,,7.0,,4.0,,3.0,,,3.0,1.0,,1.0,,,3.0,2.0,,,,,1.0,,,,,,,,,,
11368719,home,Girona FC,Miguel Gutiérrez,miguel-gutierrez,M. Gutiérrez,D,3,180,4281,M,908716,EUR,996192000,M,3,3,False,48.0,39.0,3.0,1.0,19.0,21.0,21.0,31.0,1.0,5.0,2.0,5.0,2.0,,,,90.0,70.0,7.3,14.0,0.361992,0,,MGutiérrez,5.0,1.0,,,1.0,2.0,2.0,,1.0,,2.0,,,1.0,,,1.0,,,2.0,,4.0,1.0,1.0,,,,,,
11368719,home,Girona FC,Portu,portu,Portu,F,8,167,868,M,218616,EUR,706406400,F,24,24,False,15.0,13.0,1.0,,6.0,6.0,7.0,10.0,,2.0,,,1.0,,,,80.0,25.0,7.2,6.0,0.0340966,1,,,3.0,,1.0,,,1.0,1.0,,,0.3505,1.0,,,1.0,,,,,1.0,1.0,,1.0,,,1.0,1.0,0.8241,,,
11368719,home,Girona FC,Savinho,savio,Savinho,M,26,176,52457,M,1046795,EUR,1081555200,F,16,16,False,30.0,26.0,1.0,1.0,12.0,12.0,14.0,19.0,,9.0,,8.0,4.0,,,,89.0,50.0,7.7,13.0,0.025555,1,,Savinho,6.0,1.0,3.0,,1.0,2.0,1.0,2.0,1.0,0.4123,,,,5.0,3.0,,,,,1.0,,1.0,,,1.0,1.0,0.7293,,,
