match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_aerialWon,stat_duelWon,stat_totalClearance,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,player_firstName,player_lastName,stat_totalCross,stat_duelLost,stat_challengeLost,stat_dispossessed,stat_totalContest,stat_bigChanceCreated,stat_outfielderBlock,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_errorLeadToAShot,stat_unsuccessfulTouch,stat_fouls,stat_keyPass,stat_onTargetScoringAttempt,stat_goals,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_accurateCross,stat_aerialLost,stat_wonContest,stat_blockedScoringAttempt,stat_wasFouled,stat_shotOffTarget,captain,stat_bigChanceMissed,stat_totalOffside,stat_hitWoodwork,player_sofascoreId
12450254,home,Stade Rennais,Brice Samba,brice-samba,B. Samba,G,30,186,2098,M,164055,EUR,767232000,G,1,1,False,38.0,32.0,14.0,8.0,0.0,31.0,33.0,1.0,5.0,1.0,1.0,1.0,9.0,2.0,3.0,5.0,90.0,49.0,7.1,7.0,0.0004358,0,-0.9214,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12450254,home,Stade Rennais,Jérémy Jacquet,jeremy-jacquet,J. Jacquet,D,97,191,9015,M,1445625,EUR,1121212800,D,97,97,False,34.0,27.0,2.0,2.0,1.0,17.0,20.0,10.0,15.0,,2.0,4.0,4.0,,,,90.0,52.0,6.5,12.0,0.516499,0,,,,1.0,7.0,3.0,1.0,1.0,1.0,1.0,5.0,2.0,1.0,1.0,2.0,2.0,1.0,,,,,,,,,,,,,,,
12450254,home,Stade Rennais,Anthony Rouault,anthony-rouault,A. Rouault,D,24,186,600,M,991479,EUR,991094400,D,24,24,False,37.0,33.0,5.0,3.0,0.0,24.0,27.0,9.0,10.0,2.0,3.0,3.0,6.0,,,,90.0,44.0,6.3,4.0,0.0164188,0,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,
12450254,home,Stade Rennais,Lilian Brassier,lilian-brassier,L. Brassier,D,3,184,576,M,988907,EUR,941500800,D,5,5,False,33.0,28.0,6.0,3.0,0.0,22.0,23.0,6.0,11.0,1.0,2.0,4.0,5.0,,,,90.0,51.0,7.9,8.0,0.11621,1,,,,1.0,1.0,,,,1.0,1.0,6.0,1.0,1.0,,2.0,1.0,2.0,1.0,1.0,0.7287,0.9205,,,,,,,,,,,
12450254,home,Stade Rennais,Lorenz Assignon,lorenz-assignon,L. Assignon,M,22,179,641,M,1009334,EUR,961632000,M,22,22,False,26.0,17.0,2.0,,0.0,9.0,11.0,9.0,17.0,1.0,6.0,1.0,3.0,,,,90.0,57.0,6.9,20.0,0.135645,1,,,,2.0,3.0,,,2.0,1.0,,1.0,3.0,2.0,,3.0,1.0,1.0,,,0.04,,1.0,1.0,1.0,1.0,1.0,,,,,,
12450254,home,Stade Rennais,Jordan James,jordan-james,J. James,M,6,190,940,M,1136409,EUR,1083024000,M,17,17,False,17.0,17.0,1.0,1.0,0.0,12.0,12.0,5.0,5.0,1.0,4.0,1.0,3.0,,,,72.0,26.0,6.5,3.0,0.00278212,0,,,,,5.0,2.0,,1.0,,,1.0,3.0,2.0,,2.0,1.0,,,,,,,1.0,,,,,,,,,
12450254,home,Stade Rennais,Ismael Koné,ismael-kone,I. Koné,M,90,188,2687,M,1134351,EUR,1023321600,M,90,90,False,10.0,4.0,,,0.0,2.0,5.0,2.0,5.0,,5.0,,5.0,,,,72.0,19.0,6.5,7.0,0.0127986,1,,Ismael Koné,,,4.0,1.0,,3.0,,,,3.0,1.0,,,2.0,,,,0.0333,,,,2.0,,,1.0,,,,,
12450254,home,Stade Rennais,Adrien Truffert,truffert-adrien,A. Truffert,M,3,176,1506,M,999028,EUR,1006214400,M,3,3,False,27.0,18.0,4.0,4.0,0.0,10.0,11.0,11.0,20.0,1.0,6.0,3.0,1.0,,,,90.0,58.0,7.4,14.0,0.321263,0,,,,4.0,1.0,,1.0,,1.0,,2.0,4.0,3.0,,2.0,,2.0,,,,,3.0,,,,1.0,,True,,,,
12450254,home,Stade Rennais,Ludovic Blas,ludovic-blas,L. Blas,F,10,180,1176,M,806076,EUR,883526400,F,10,10,False,26.0,21.0,3.0,2.0,0.0,11.0,13.0,11.0,17.0,1.0,7.0,,5.0,,,,83.0,49.0,6.6,17.0,0.10301,2,,,,4.0,10.0,,2.0,8.0,,,2.0,3.0,2.0,,1.0,2.0,2.0,1.0,,0.1629,0.1242,1.0,,2.0,,1.0,1.0,,1.0,,,
12450254,home,Stade Rennais,Arnaud Kalimuendo,arnaud-kalimuendo,A. Kalimuendo,F,25,175,3552,M,954061,EUR,1011484800,F,9,9,False,25.0,19.0,1.0,1.0,0.0,10.0,11.0,9.0,14.0,,,,5.0,,,,90.0,36.0,6.0,12.0,0.0355616,3,,,,,6.0,1.0,3.0,2.0,,,1.0,,,,1.0,1.0,1.0,1.0,,0.261,0.8225,,,,2.0,,,,1.0,1.0,,
12450254,home,Stade Rennais,Mohamed Kader Meite,mohamed-kader-meite,M. K. Meite,F,75,191,2028,M,1606642,EUR,1192060800,F,62,62,False,8.0,7.0,,,0.0,2.0,2.0,5.0,6.0,2.0,2.0,,1.0,,,,81.0,19.0,5.8,8.0,0.0443608,4,,,,,5.0,,1.0,4.0,,,,,,,2.0,,1.0,,,0.4742,,,,,2.0,,2.0,,2.0,,1.0,
12450254,home,Stade Rennais,Seko Fofana,seko-fofana,S. Fofana,M,42,184,11416,M,191188,EUR,799804800,M,8,8,True,11.0,10.0,1.0,1.0,0.0,5.0,5.0,5.0,6.0,,,,1.0,,,,18.0,12.0,6.4,2.0,0.0160385,0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,sekofofana
