match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_sofascoreId,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_aerialWon,stat_duelWon,stat_ballRecovery,stat_unsuccessfulTouch,stat_goodHighClaim,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_totalCross,stat_duelLost,stat_challengeLost,stat_dispossessed,stat_totalContest,stat_wonContest,stat_blockedScoringAttempt,stat_totalClearance,stat_wasFouled,stat_expectedGoals,stat_aerialLost,stat_outfielderBlock,stat_fouls,stat_keyPass,stat_interceptionWon,stat_totalTackle,stat_wonTackle,captain,stat_accurateCross,stat_onTargetScoringAttempt,stat_expectedGoalsOnTarget,stat_bigChanceCreated,stat_shotOffTarget,stat_goals,stat_totalOffside,stat_bigChanceMissed,stat_savedShotsFromInsideTheBox,stat_saves,stat_goalsPrevented,stat_errorLeadToAShot
11406819,away,Cagliari,Gabriele Zappa,,,gabriele-zappa,G. Zappa,D,28,183,617,M,,927304,EUR,945820800,D,28,28,False,33.0,27.0,3.0,1.0,14.0,16.0,13.0,22.0,2.0,5.0,3.0,1.0,,90.0,60.0,6.6,15.0,0.0127349,0,5.0,6.0,,,3.0,1.0,,1.0,1.0,,3.0,1.0,1.0,,,2.0,1.0,,,,,,,,,,,,,1.0
11406819,away,Cagliari,Mateusz Wieteska,,,mateusz-wieteska,M. Wieteska,D,4,187,1515,M,,286087,EUR,855619200,D,23,23,False,55.0,45.0,8.0,3.0,29.0,31.0,16.0,25.0,4.0,9.0,2.0,1.0,,90.0,70.0,7.1,13.0,0.067619,1,1.0,5.0,,1.0,,,1.0,4.0,1.0,0.0518,4.0,1.0,,,,4.0,3.0,,,,,,,,,,,,,
11406819,away,Cagliari,Alberto Dossena,,,dossena-alberto,A. Dossena,D,4,195,511,M,,870211,EUR,908236800,D,4,4,False,55.0,44.0,12.0,5.0,31.0,33.0,13.0,22.0,6.0,8.0,3.0,2.0,,90.0,68.0,7.1,14.0,0.00498407,1,,5.0,,1.0,1.0,1.0,,1.0,1.0,0.0343,3.0,2.0,1.0,,1.0,,,,,,,,1.0,,,,,,,
11406819,away,Cagliari,Tommaso Augello,,,tommaso-augello,T. Augello,M,3,181,354,M,,596736,EUR,778204800,D,27,27,False,28.0,22.0,4.0,2.0,16.0,17.0,8.0,16.0,2.0,5.0,3.0,1.0,,84.0,55.0,6.9,14.0,0.049403,0,5.0,2.0,,,3.0,1.0,,4.0,,,,1.0,,1.0,,2.0,1.0,,2.0,,,,,,,,,,,
11406819,away,Cagliari,Nahitan Nández,,,nahitan-nandez,N. Nandez,M,8,175,1922,M,,589620,EUR,820108800,M,8,8,False,13.0,6.0,5.0,2.0,1.0,4.0,6.0,15.0,1.0,2.0,2.0,,,90.0,26.0,6.5,14.0,0.0375536,2,6.0,4.0,,1.0,1.0,,,,1.0,0.1041,,,2.0,1.0,,,,,1.0,,,,2.0,,1.0,,,,,
11406819,away,Cagliari,Antoine Makoumbou,,,antoine-makoumbou,A. Makoumbou,M,29,186,535,M,,920391,EUR,900720000,M,29,29,False,20.0,17.0,,,13.0,15.0,4.0,5.0,,1.0,1.0,,,45.0,25.0,6.4,5.0,0.0006491,0,,1.0,,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,
11406819,away,Cagliari,Alessandro Deiola,,,alessandro-deiola,A. Deiola,M,14,189,280,M,,328109,EUR,807235200,M,14,14,False,27.0,21.0,7.0,5.0,8.0,9.0,13.0,18.0,4.0,8.0,5.0,2.0,,88.0,45.0,6.8,9.0,0.00718626,1,,5.0,,1.0,,,1.0,2.0,2.0,0.0373,2.0,,2.0,,2.0,2.0,,True,,,,,,,,,,,,
11406819,away,Cagliari,Jakub Jankto,,,jakub-jankto,J. Jankto,M,,180,320,M,,569556,EUR,822009600,M,21,21,False,11.0,10.0,1.0,1.0,7.0,7.0,3.0,5.0,,1.0,2.0,,,45.0,15.0,6.7,2.0,0.00298284,1,1.0,1.0,1.0,,,,,,,0.0141,,,,,1.0,1.0,1.0,,,,,,1.0,,,,,,,
11406819,away,Cagliari,Eldor Shomurodov,,,shomurodov-eldor,E. Shomurodov,F,14,190,31540,M,,791355,EUR,804384000,F,61,61,False,15.0,8.0,,,,3.0,8.0,12.0,1.0,5.0,6.0,2.0,,84.0,23.0,7.0,9.0,0.0105453,0,,,,,1.0,1.0,,,1.0,,,,1.0,,,2.0,2.0,,,,,,,,1.0,,,,,
11406819,away,Cagliari,Gianluca Lapadula,,,gianluca-lapadula,G. Lapadula,F,10,178,4596,M,gianlucalapadula,147368,EUR,634348800,F,9,9,False,10.0,8.0,,,,1.0,8.0,9.0,1.0,2.0,2.0,2.0,,90.0,18.0,6.8,6.0,0.0614657,3,,5.0,2.0,1.0,,,1.0,,1.0,0.1555,2.0,,,2.0,,,,,,,,,2.0,,1.0,,,,,
