match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,player_firstName,player_lastName,stat_totalCross,stat_accurateCross,stat_aerialWon,stat_duelLost,stat_duelWon,stat_challengeLost,stat_totalContest,stat_wonContest,stat_onTargetScoringAttempt,stat_totalClearance,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_keyPass,stat_aerialLost,stat_bigChanceCreated,stat_blockedScoringAttempt,stat_outfielderBlock,stat_wasFouled,stat_fouls,captain,stat_shotOffTarget,stat_goals,stat_dispossessed,stat_bigChanceMissed,player_sofascoreId,stat_totalOffside,stat_goodHighClaim,stat_totalKeeperSweeper,stat_accurateKeeperSweeper
11369815,home,RSC Anderlecht,Maxime Dupé,maxime-dupe,M. Dupé,G,31,186,174,M,96542,EUR,731203200,G,1,1,False,39.0,31.0,11.0,3.0,0.0,30.0,35.0,1.0,4.0,4.0,1.0,2.0,90.0,43.0,6.5,8.0,0.00226823,0,-0.7683,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11369815,home,RSC Anderlecht,Killian Sardella,killian-sardella,K. Sardella,D,54,177,482,M,909964,EUR,1020297600,D,54,54,False,32.0,23.0,2.0,1.0,0.0,11.0,14.0,14.0,22.0,2.0,,,90.0,52.0,7.2,13.0,0.0938841,1,,,,4.0,2.0,1.0,1.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,2.0,1.0,0.0152,0.2744,2.0,,,,,,,,,,,,,,,,
11369815,home,RSC Anderlecht,Zeno Debast,zeno-debast,Z. Debast,D,6,191,3329,M,1126512,EUR,1066867200,D,56,56,False,59.0,51.0,11.0,7.0,0.0,39.0,42.0,12.0,17.0,5.0,,,90.0,74.0,7.4,10.0,0.0145805,1,,,,,,1.0,2.0,4.0,,,,,6.0,1.0,2.0,1.0,,0.0704,,1.0,1.0,1.0,1.0,2.0,1.0,1.0,,,,,,,,,,
11369815,home,RSC Anderlecht,Jan Vertonghen,jan-vertonghen,J. Vertonghen,D,,189,1673,M,16921,EUR,546220800,D,14,14,False,69.0,60.0,21.0,15.0,0.0,46.0,47.0,14.0,22.0,4.0,,,90.0,82.0,8.3,10.0,0.0111922,3,,,,,,,1.0,2.0,,1.0,1.0,2.0,4.0,1.0,1.0,,1.0,0.1331,0.6596,,1.0,,,2.0,,,True,1.0,1.0,,,,,,,
11369815,home,RSC Anderlecht,Moussa Ndiaye,moussa-ndiaye,M. Ndiaye,D,16,181,1546,M,982315,EUR,1024358400,D,5,5,False,49.0,46.0,6.0,4.0,0.0,27.0,28.0,19.0,22.0,8.0,,,90.0,80.0,7.9,11.0,0.0335962,3,,,,1.0,,4.0,4.0,13.0,1.0,2.0,2.0,,3.0,1.0,4.0,4.0,1.0,0.304,,2.0,1.0,,1.0,,3.0,,,2.0,,2.0,1.0,,,,,
11369815,home,RSC Anderlecht,Mats Rits,mats-rits,M. Rits,M,23,180,216,M,70961,EUR,742953600,M,23,23,False,39.0,29.0,8.0,4.0,0.0,16.0,20.0,14.0,21.0,5.0,,,83.0,48.0,6.9,11.0,0.146061,0,,,,2.0,1.0,1.0,4.0,1.0,,,,,,2.0,,,,,,2.0,1.0,,,1.0,,3.0,,,,,,,,,,
11369815,home,RSC Anderlecht,Amadou Diawara,amadou-diawara,A. Diawara,M,24,183,1862,M,788895,EUR,869097600,M,21,21,False,42.0,35.0,4.0,1.0,0.0,19.0,23.0,16.0,19.0,10.0,,,90.0,49.0,6.8,8.0,0.0218261,0,,,,,,,2.0,1.0,,,,,1.0,2.0,1.0,,1.0,,,,1.0,,,,,1.0,,,,,,,,,,
11369815,home,RSC Anderlecht,Theo Leoni,theo-leoni,T. Leoni,M,6,174,569,M,867251,EUR,956275200,M,17,17,False,57.0,50.0,4.0,2.0,2.0,25.0,27.0,27.0,33.0,11.0,,,90.0,75.0,8.1,10.0,0.371923,0,,,,3.0,2.0,,2.0,6.0,,2.0,2.0,,,1.0,3.0,2.0,1.0,,,2.0,1.0,1.0,,,1.0,,,,,1.0,,,,,,
11369815,home,RSC Anderlecht,Alexis Flips,flips-alexis,A. Flips,M,70,173,227,M,879672,EUR,948153600,F,8,8,False,25.0,18.0,4.0,1.0,0.0,2.0,3.0,21.0,28.0,4.0,,,71.0,44.0,7.6,12.0,0.597115,3,,,,6.0,5.0,,4.0,4.0,1.0,1.0,,,,,1.0,1.0,3.0,0.1783,,5.0,1.0,2.0,,,3.0,1.0,,3.0,,,,,,,,
11369815,home,RSC Anderlecht,Kasper Dolberg,kasper-dolberg,K. Dolberg,F,9,187,4191,M,795761,EUR,876096000,F,12,12,False,17.0,16.0,2.0,1.0,0.0,5.0,6.0,11.0,12.0,3.0,,,83.0,33.0,7.8,6.0,0.0366321,3,,,,1.0,,1.0,5.0,6.0,1.0,3.0,2.0,2.0,,,,,3.0,0.3458,0.9114,4.0,2.0,,,,3.0,1.0,,1.0,1.0,,1.0,KDolberg,,,,
