match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_penaltyFaced,stat_saves,stat_punches,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_keeperSaveValue,stat_totalShots,stat_goalsPrevented,stat_passValueNormalized,stat_defensiveValueNormalized,stat_goalkeeperValueNormalized,stat_totalCross,stat_accurateCross,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_challengeLost,stat_dispossessed,stat_totalContest,stat_wonContest,stat_totalTackle,stat_wonTackle,stat_fouls,stat_keyPass,stat_dribbleValueNormalized,player_firstName,player_lastName,stat_outfielderBlock,stat_interceptionWon,stat_shotOffTarget,stat_wasFouled,stat_expectedGoals,stat_shotValueNormalized,stat_onTargetScoringAttempt,stat_penaltyConceded,stat_expectedGoalsOnTarget,stat_blockedScoringAttempt,stat_unsuccessfulTouch,captain,stat_hitWoodwork,stat_errorLeadToAShot,stat_totalOffside,stat_bigChanceCreated,stat_bigChanceMissed,stat_goals,stat_penaltyWon
14131884,home,Estoril Praia,Joel Robles,joel-robles,J. Robles,G,1,195,157,M,93796,EUR,645580800,G,1,1,False,18.0,13.0,9.0,4.0,0.0,10.0,10.0,3.0,8.0,3.0,3.0,3.0,1.0,3.0,1.0,2.0,2.0,90.0,27.0,7.3,5.0,0.0004512,0.9922,0,1.1939,0.03,-0.07,0.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14131884,home,Estoril Praia,Pedro Carvalho,carvalho-pedro,P. Carvalho,D,22,169,64,M,1511977,EUR,1045180800,D,22,22,False,42.0,33.0,6.0,2.0,0.0,15.0,17.0,18.0,25.0,2.0,5.0,,,,,,,90.0,72.0,6.3,23.0,0.0699154,,0,,0.15,-0.17,,3.0,1.0,2.0,1.0,8.0,4.0,1.0,2.0,4.0,2.0,1.0,1.0,1.0,1.0,-0.21,,,,,,,,,,,,,,,,,,,,,
14131884,home,Estoril Praia,Ferro,ferro,Ferro,D,4,193,693,M,357734,EUR,859334400,D,4,4,False,41.0,36.0,4.0,1.0,0.0,28.0,30.0,8.0,11.0,5.0,3.0,,,,,,,73.0,51.0,6.4,5.0,0.0256512,,0,,0.13,-0.02,,1.0,1.0,4.0,,5.0,1.0,,,,,1.0,1.0,1.0,2.0,0.05,,,1.0,1.0,,,,,,,,,,,,,,,,,
14131884,home,Estoril Praia,Felix Bacher,felix-bacher,F. Bacher,D,25,190,92,M,943525,EUR,972432000,D,25,25,False,55.0,52.0,5.0,4.0,0.0,41.0,42.0,11.0,13.0,7.0,4.0,,,,,,,90.0,70.0,6.7,4.0,0.00576133,,1,,0.09,-0.05,,,,1.0,1.0,4.0,3.0,1.0,1.0,,,,,1.0,,0.1,,,1.0,1.0,1.0,2.0,0.1366,-0.33,,,,,,,,,,,,,
14131884,home,Estoril Praia,Pedro Amaral,amaral-pedro,P. Amaral,D,24,178,86,M,834247,EUR,872467200,D,24,24,False,40.0,34.0,5.0,3.0,0.0,19.0,20.0,15.0,20.0,2.0,4.0,,,,,,,90.0,54.0,6.7,7.0,0.0114036,,1,,0.08,-0.07,,2.0,1.0,,,,2.0,,,,,2.0,2.0,,,0.05,,,,,1.0,,0.0296,-0.05,,,,,,,,,,,,,
14131884,home,Estoril Praia,Ricard Sánchez,ricard-sanchez,R. Sánchez,D,2,175,157,M,986726,EUR,951177600,D,2,2,False,14.0,12.0,,,0.0,4.0,4.0,8.0,10.0,,1.0,,,,,,,73.0,31.0,6.6,4.0,0.069253,,1,,0.02,-0.22,,1.0,,,,1.0,6.0,,,1.0,1.0,3.0,1.0,1.0,2.0,0.07,,,1.0,2.0,1.0,2.0,0.0278,-0.16,,,,,,,,,,,,,
14131884,home,Estoril Praia,Patrick de Paula,patrick-de-paula,P. de Paula,M,12,180,1234,M,1015291,EUR,936748800,M,45,45,False,19.0,14.0,1.0,1.0,0.0,7.0,8.0,7.0,11.0,,2.0,,,,,,,55.0,24.0,6.2,5.0,0.00555513,,1,,0.06,-0.38,,,,,1.0,1.0,3.0,,,,,1.0,1.0,2.0,,0.15,,,1.0,,,1.0,0.0279,-0.06,1.0,1.0,0.0321,,,,,,,,,,
14131884,home,Estoril Praia,Jordan Holsgrove,jordan-holsgrove,J. Holsgrove,M,10,180,223,M,920684,EUR,936921600,M,10,10,False,90.0,80.0,11.0,7.0,0.0,26.0,27.0,54.0,63.0,1.0,4.0,,,,,,,90.0,109.0,7.9,13.0,0.213031,,3,,0.54,-0.16,,4.0,2.0,,4.0,4.0,8.0,4.0,,,,4.0,2.0,,2.0,0.28,,,,,1.0,,0.0501,-0.04,1.0,,0.02,1.0,,,,,,,,,
14131884,home,Estoril Praia,Pizzi,pizzi,Pizzi,M,21,179,1284,M,77725,EUR,623635200,M,21,21,False,44.0,39.0,4.0,1.0,0.0,22.0,23.0,17.0,21.0,1.0,5.0,,,,,,,65.0,53.0,6.6,9.0,0.0277243,,1,,0.05,0.13,,2.0,,1.0,1.0,3.0,2.0,,,1.0,,,,1.0,,0.1,,,1.0,,1.0,1.0,0.0362,-0.19,,,,,1.0,,,,,,,,
14131884,home,Estoril Praia,André Lacximicant,andre-lacximicant,A. Lacximicant,F,19,190,159,M,1120679,EUR,990230400,F,19,19,False,10.0,10.0,,,0.0,3.0,3.0,7.0,7.0,1.0,1.0,,,,,,,65.0,22.0,6.5,4.0,0.0400609,,3,,0.13,0.15,,,,3.0,1.0,5.0,2.0,,,2.0,1.0,,,2.0,2.0,0.04,,,,,2.0,,0.131,-0.29,1.0,,0.1285,,3.0,,,,,,,,
