match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_duelWon,stat_totalContest,stat_wonContest,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_totalShots,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_dispossessed,stat_bigChanceMissed,stat_shotOffTarget,stat_onTargetScoringAttempt,stat_totalClearance,stat_outfielderBlock,stat_totalTackle,stat_unsuccessfulTouch,stat_wasFouled,captain,stat_totalCross,stat_wonTackle,stat_keyPass,stat_blockedScoringAttempt,stat_accurateCross,stat_bigChanceCreated,stat_fouls,stat_challengeLost,stat_totalOffside,stat_interceptionWon,stat_goodHighClaim,stat_goals,stat_goalAssist
11761771,home,Bromley,Grant Smith,,,grant-smith,G. Smith,G,1,185.0,14,M,860445,EUR,753753600,G,1,1,False,53.0,23.0,46.0,16.0,8.0,10.0,15.0,43.0,1.0,1.0,1.0,6.0,2.0,3.0,90.0,58.0,6.6,30.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
11761771,home,Bromley,Chinwike Okoli,Chinwike Okoli,,chinwike-okoli,C. Okoli,D,4,190.0,85,M,1423964,EUR,1066780800,D,16,16,False,54.0,42.0,13.0,8.0,28.0,33.0,14.0,21.0,8.0,,,5.0,,,90.0,70.0,6.9,15.0,2,3.0,6.0,5.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,,,,,,,,,,,,,,
11761771,home,Bromley,Byron Webster,,,byron-webster,B. Webster,D,17,194.0,13,M,28375,EUR,544147200,D,17,17,False,75.0,57.0,17.0,9.0,36.0,42.0,21.0,34.0,11.0,,,15.0,,,90.0,92.0,7.4,22.0,1,,6.0,,,,1.0,,2.0,,4.0,1.0,2.0,True,1.0,4.0,1.0,,,,,,,,,,
11761771,home,Bromley,Deji Elerewe,,,deji-elerewe,D. Elerewe,D,25,191.0,40,M,1128626,EUR,1063497600,D,3,3,False,41.0,33.0,6.0,2.0,14.0,15.0,19.0,26.0,3.0,1.0,,3.0,,,90.0,50.0,6.5,10.0,3,1.0,2.0,3.0,1.0,,1.0,1.0,1.0,,,,1.0,,,,1.0,1.0,,,,,,,,,
11761771,home,Bromley,Joshua Passley,,,joshua-passley,J. Passley,D,7,184.0,5,M,381566,EUR,785376000,M,7,7,False,13.0,11.0,,,6.0,6.0,6.0,11.0,,,,4.0,,,71.0,27.0,6.5,8.0,0,1.0,,4.0,2.0,,,,,,,1.0,,,4.0,,1.0,,1.0,1.0,1.0,,,,,,
11761771,home,Bromley,Ben Krauhaus,Ben,Krauhaus,ben-krauhaus,B. Krauhaus,M,7,180.0,27,M,1442042,EUR,1097539200,M,28,28,False,36.0,31.0,4.0,3.0,8.0,8.0,28.0,36.0,5.0,1.0,,2.0,,,90.0,60.0,7.4,13.0,0,,,8.0,3.0,,,,1.0,,4.0,1.0,1.0,,8.0,2.0,6.0,,5.0,1.0,3.0,1.0,1.0,,,,
11761771,home,Bromley,Sam Woods,,,sam-woods,S. Woods,M,,185.0,3,M,948263,EUR,905472000,M,6,6,False,16.0,8.0,3.0,2.0,7.0,7.0,1.0,9.0,1.0,,,3.0,,,45.0,22.0,6.6,8.0,1,,1.0,1.0,,,,,1.0,1.0,,,,,,,,1.0,,,,1.0,,,,,
11761771,home,Bromley,Corey Whitely,,,corey-whitely,C. Whitely,F,18,177.0,10,M,852441,EUR,676598400,M,18,18,False,36.0,33.0,,,10.0,10.0,23.0,27.0,4.0,,,4.0,,,90.0,47.0,6.7,5.0,3,1.0,2.0,5.0,,1.0,1.0,1.0,,,1.0,1.0,1.0,,1.0,1.0,2.0,1.0,,,3.0,1.0,,1.0,,,
11761771,home,Bromley,Besart Topalloj,Besart Topalloj,,besart-topalloj,B. Topalloj,D,39,,29,M,1170316,EUR,989971200,M,23,23,False,31.0,27.0,2.0,1.0,10.0,11.0,19.0,25.0,3.0,1.0,,2.0,,,90.0,48.0,7.0,11.0,1,,1.0,2.0,,,,,,,1.0,2.0,1.0,,5.0,1.0,2.0,1.0,2.0,2.0,1.0,,,,,,
11761771,home,Bromley,Michael Cheek,,,michael-cheek,M. Cheek,F,9,186.0,249,M,383458,EUR,682905600,F,9,9,False,25.0,16.0,,,3.0,3.0,13.0,23.0,11.0,,,2.0,,,90.0,38.0,6.5,11.0,4,11.0,10.0,11.0,,2.0,2.0,,1.0,,,1.0,1.0,,1.0,,,2.0,,,,,,,,,
