match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_totalShots,captain,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_totalClearance,stat_outfielderBlock,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_wasFouled,stat_fouls,stat_goalAssist,stat_totalCross,stat_accurateCross,stat_challengeLost,stat_bigChanceCreated,stat_keyPass,stat_shotOffTarget,stat_onTargetScoringAttempt,stat_totalContest,stat_wonContest,stat_goals,stat_bigChanceMissed,stat_dispossessed,stat_totalOffside,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_errorLeadToAShot,stat_blockedScoringAttempt
10433975,away,Alanyaspor,Furkan Bayır,,,furkan-bayir,F. Bayır,D,23,188,77,M,1003161,EUR,950054400,D,4,4,False,73.0,66.0,6.0,6.0,29.0,31.0,37.0,42.0,2.0,,,,90.0,87.0,6.5,9.0,2,,1.0,5.0,5.0,9.0,2.0,,1.0,1.0,,1.0,3.0,4.0,,,,,,,1.0,1.0,,,,,,,,,1.0,
10433975,away,Alanyaspor,Leroy Fer,,,leroy-fer,L. Fer,M,8,188,136,M,31821,EUR,631497600,D,8,8,False,126.0,116.0,12.0,8.0,55.0,60.0,61.0,66.0,10.0,,,,90.0,138.0,6.4,13.0,2,,,4.0,3.0,4.0,1.0,,1.0,,,2.0,,2.0,,,,,,1.0,,,,,,,1.0,,,,,2.0
10433975,away,Alanyaspor,Fatih Aksoy,,,fatih-aksoy,F. Aksoy,D,20,189,69,M,827922,EUR,878774400,D,20,20,False,49.0,39.0,4.0,,27.0,31.0,12.0,19.0,9.0,,,,45.0,62.0,6.6,13.0,0,,1.0,,1.0,4.0,2.0,,,3.0,2.0,1.0,1.0,,,1.0,,,,,,,,,,,,,,,,
10433975,away,Alanyaspor,Daniel Candeias,Daniel,Candeias,daniel-candeias,D. Candeias,M,21,177,77,M,41835,EUR,572745600,M,21,21,False,19.0,15.0,,,7.0,7.0,8.0,14.0,4.0,,,,45.0,25.0,6.4,7.0,0,,,,2.0,1.0,1.0,,,1.0,,,,1.0,,2.0,,,,,,,1.0,,,,,,,,,
10433975,away,Alanyaspor,Umut Güneş,,,umut-gunes,U. Güneş,M,20,177,131,M,876782,EUR,953164800,M,6,6,False,61.0,54.0,4.0,4.0,22.0,22.0,32.0,41.0,,,,,72.0,76.0,6.3,14.0,1,,,3.0,5.0,6.0,,,1.0,1.0,1.0,,2.0,,,2.0,,,,,,,2.0,,,,3.0,,,,,1.0
10433975,away,Alanyaspor,Arnaud Lusamba,,,arnaud-lusamba,A. Lusamba,M,11,180,284,M,361342,EUR,852336000,M,97,97,False,28.0,26.0,1.0,1.0,14.0,14.0,12.0,14.0,2.0,,,,45.0,35.0,6.3,5.0,0,,,,3.0,2.0,,,1.0,,,1.0,2.0,1.0,,,,,,,,,1.0,,,,1.0,,,,,
10433975,away,Alanyaspor,Yusuf Özdemir,Yusuf Ozdemir,,yusuf-ozdemir,Y. Özdemir,M,88,181,157,M,1084884,EUR,979084800,M,88,88,False,43.0,36.0,1.0,1.0,14.0,17.0,22.0,30.0,11.0,,,,90.0,64.0,6.5,16.0,0,,1.0,1.0,3.0,4.0,1.0,,,,,4.0,1.0,1.0,,4.0,,,,1.0,,,3.0,2.0,,,,1.0,,,,
10433975,away,Alanyaspor,Efecan Karaca,,,efecan-karaca,E. Karaca,M,7,166,109,M,60510,EUR,627177600,F,7,7,False,48.0,38.0,2.0,1.0,10.0,11.0,32.0,44.0,5.0,,,,90.0,67.0,7.0,16.0,1,True,1.0,1.0,2.0,5.0,,,1.0,,,1.0,3.0,,,7.0,4.0,1.0,,2.0,1.0,,1.0,1.0,,1.0,,,,,,
10433975,away,Alanyaspor,Ivan Cavaleiro,,,ivan-cavaleiro,I. Cavaleiro,F,,175,373,M,110950,EUR,750902400,F,19,19,False,21.0,20.0,1.0,1.0,6.0,6.0,17.0,24.0,2.0,,,,59.0,39.0,7.1,13.0,0,,1.0,,5.0,1.0,,,,,,3.0,,2.0,,9.0,3.0,,2.0,2.0,,,3.0,1.0,,,1.0,,,,,
10433975,away,Alanyaspor,Ahmed Hassan,,,ahmed-hassan,A. Hassan,F,19,191,1938,M,1143587,EUR,731289600,F,93,93,False,24.0,18.0,,,5.0,5.0,13.0,19.0,1.0,,,,90.0,32.0,6.8,10.0,3,,2.0,,3.0,,,,,,,4.0,,1.0,,,,,,,2.0,1.0,,,1.0,1.0,,,,,,
10433975,away,Alanyaspor,Efkan Bekiroğlu,,,efkan-bekiroglu,E. Bekiroğlu,M,11,185,168,M,800458,EUR,811036800,M,11,11,True,27.0,25.0,4.0,2.0,3.0,3.0,23.0,26.0,1.0,,,,45.0,34.0,6.9,4.0,3,,,,,,,,,,,1.0,,,,2.0,1.0,,,2.0,3.0,,,,,,,,,,,
10433975,away,Alanyaspor,Pedro Pereira,,,pedro-pereira,P. Pereira,M,13,185,286,M,807291,EUR,885427200,D,27,27,True,35.0,31.0,3.0,1.0,9.0,9.0,23.0,29.0,1.0,,,,45.0,45.0,6.4,8.0,0,,,1.0,,1.0,,,1.0,,,2.0,,,,3.0,1.0,,,,,,,,,,,,,,,
10433975,away,Alanyaspor,Idrissa Doumbia,,,idrissa-doumbia,I. Doumbia,M,,187,465,M,842255,EUR,892512000,M,98,98,True,24.0,20.0,,,5.0,5.0,15.0,20.0,5.0,,,,45.0,32.0,6.2,8.0,1,,,1.0,1.0,2.0,,,,,,1.0,1.0,,,1.0,,,,,1.0,,,,,1.0,1.0,,,,,
10433975,away,Alanyaspor,Oğuz Aydın,,,oguz-aydin,O. Aydın,M,70,183,3374,M,999396,EUR,972604800,F,70,70,True,11.0,8.0,,,1.0,1.0,8.0,14.0,1.0,,,,31.0,22.0,6.8,9.0,1,,,,3.0,1.0,,,,,,,,,,4.0,1.0,1.0,1.0,2.0,1.0,,2.0,1.0,,,1.0,,,,,
10433975,away,Alanyaspor,Zinedine Ferhat,,,zinedine-ferhat,Z. Ferhat,M,8,183,1371,M,842400,EUR,730944000,M,10,10,True,12.0,11.0,,,1.0,1.0,11.0,16.0,,,,,18.0,20.0,6.8,6.0,0,,,,3.0,,,,,,,,,1.0,1.0,5.0,1.0,1.0,1.0,1.0,,,1.0,,,,,,,,,
10433975,away,Alanyaspor,Yusuf Karagöz,Yusuf Karagoz,,yusuf-karagoz,Y. Karagöz,G,99,195,33,M,1133582,EUR,939081600,G,99,99,True,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10433975,away,Alanyaspor,Joher Khadim Rassoul,Joher,Khadim Rassoul,joher-khadim-rassoul,J. K. Rassoul,D,89,187,111,M,800344,EUR,820368000,D,23,23,True,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10433975,away,Alanyaspor,Jure Balkovec,,,jure-balkovec,J. Balkovec,D,29,185,292,M,171625,EUR,779068800,D,29,29,True,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10433975,away,Alanyaspor,Erencan Yardımcı,,,erencan-yardimci,E. Yardımcı,F,9,186,691,M,989168,EUR,1012780800,F,9,9,True,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10433975,away,Alanyaspor,Wilson Eduardo,,,wilson-eduardo,W. Eduardo,F,7,179,140,M,105404,EUR,647395200,F,17,17,True,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
