match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_sofascoreId,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,captain,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_errorLeadToAGoal,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_totalCross,stat_accurateCross,stat_duelLost,stat_duelWon,stat_dispossessed,stat_totalClearance,stat_outfielderBlock,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_wasFouled,stat_fouls,stat_aerialWon,stat_challengeLost,stat_totalContest,stat_wonContest,stat_bigChanceCreated,stat_shotOffTarget,stat_onTargetScoringAttempt,stat_errorLeadToAShot,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_keyPass,stat_aerialLost,stat_goals,stat_bigChanceMissed,stat_blockedScoringAttempt,stat_goodHighClaim,stat_punches,stat_totalOffside,stat_hitWoodwork
12514061,away,Famalicão,Calegari,,,calegari,Calegari,D,2,171,471,M,,988906,EUR,1014768000,D,2,2,False,,41.0,32.0,7.0,4.0,1.0,19.0,22.0,13.0,19.0,5.0,,,,90.0,66.0,7.3,11.0,0.02735,0,,,,1.0,6.0,,1.0,,,2.0,2.0,1.0,3.0,1.0,,,2.0,1.0,,,,,,,1.0,,,,,,,1.0,
12514061,away,Famalicão,Riccieli,,,riccieli,Riccieli,D,5,184,208,M,,927166,EUR,905990400,D,15,15,False,True,63.0,55.0,8.0,4.0,0.0,49.0,50.0,6.0,13.0,5.0,,,,90.0,68.0,6.6,8.0,0.00162343,0,,,,3.0,6.0,,2.0,,1.0,1.0,1.0,,,1.0,5.0,,,,,,,,,,,2.0,,,,,,,
12514061,away,Famalicão,Enea Mihaj,,,enea-mihaj,E. Mihaj,D,4,186,414,M,,850828,EUR,899596800,D,4,4,False,,75.0,65.0,11.0,3.0,0.0,55.0,59.0,10.0,16.0,3.0,,,,90.0,85.0,6.6,11.0,0.00395335,1,,,,1.0,7.0,,,,2.0,2.0,1.0,1.0,,,5.0,1.0,,,,1.0,,,0.2271,,,,,1.0,,,,,
12514061,away,Famalicão,Rafa Soares,,,rafa-soares,R. Soares,D,5,177,195,M,,190137,EUR,799977600,D,5,5,False,,35.0,25.0,5.0,2.0,0.0,14.0,21.0,11.0,15.0,5.0,,,,81.0,45.0,6.5,11.0,0.106924,0,,1.0,,1.0,1.0,,1.0,,,1.0,,,,1.0,,,,,,,,,,,2.0,,,,,,,1.0,
12514061,away,Famalicão,Zaydou Youssouf,,,zaydou-youssouf,Z. Youssef,M,33,183,570,M,,862194,EUR,931651200,M,28,28,False,,38.0,30.0,9.0,4.0,0.0,23.0,26.0,7.0,12.0,1.0,,,,73.0,44.0,6.1,9.0,0.00640834,1,,,,6.0,2.0,1.0,1.0,,,,,,1.0,2.0,1.0,2.0,,,,1.0,,,0.6881,,,1.0,,1.0,,,,,
12514061,away,Famalicão,Mirko Topić,,,mirko-topic,M. Topić,M,22,190,486,M,,980797,EUR,981331200,M,8,8,False,,47.0,40.0,5.0,,0.0,27.0,30.0,13.0,18.0,9.0,,,,90.0,63.0,7.1,11.0,0.0102992,2,,1.0,,5.0,5.0,1.0,,1.0,1.0,3.0,1.0,2.0,,1.0,,,2.0,2.0,,1.0,1.0,,0.0555,0.0668,1.0,3.0,,,,,,,
12514061,away,Famalicão,Gil Dias,,,gil-dias,Gil,M,23,186,342,M,,583838,EUR,843868800,M,23,23,False,,25.0,17.0,3.0,2.0,0.0,5.0,6.0,12.0,20.0,8.0,,,,90.0,53.0,8.6,18.0,0.0704175,5,,1.0,,7.0,8.0,,3.0,,2.0,2.0,1.0,3.0,2.0,2.0,3.0,2.0,4.0,1.0,,3.0,2.0,,0.5102,1.6521,,,2.0,,,,,,1.0
12514061,away,Famalicão,Gustavo Sá,,,gustavo-sa,G. Sá,M,20,186,1268,M,,1563665,EUR,1100131200,M,20,20,False,,26.0,22.0,5.0,4.0,0.0,8.0,9.0,14.0,17.0,3.0,,,,81.0,38.0,6.7,10.0,0.0515616,1,,,,9.0,4.0,1.0,,,,1.0,1.0,2.0,1.0,1.0,1.0,2.0,4.0,1.0,,,1.0,,0.2622,0.2001,3.0,2.0,,,,,,,
12514061,away,Famalicão,Rochinha,,,rochinha,Rochinha,M,10,169,158,M,,352874,EUR,799459200,M,10,10,False,,12.0,9.0,,,0.0,4.0,6.0,6.0,7.0,3.0,,,,66.0,30.0,6.7,9.0,0.126206,2,,1.0,1.0,6.0,6.0,1.0,,,1.0,3.0,2.0,1.0,3.0,1.0,,,4.0,,1.0,1.0,,,0.1064,,1.0,,,,1.0,,,,
12514061,away,Famalicão,Óscar Aranda,,,oscar-aranda,Ó. Aranda,F,11,178,568,M,,984626,EUR,1020038400,F,11,11,False,,24.0,22.0,3.0,3.0,0.0,5.0,6.0,17.0,18.0,5.0,,,,90.0,50.0,8.5,9.0,0.110646,4,,,,6.0,12.0,2.0,1.0,,,1.0,1.0,1.0,5.0,,,,10.0,6.0,,3.0,1.0,,0.2017,0.0907,2.0,,1.0,,,,,,
12514061,away,Famalicão,Otso Liimatta,,,liimatta-otso,O. Liimatta,M,8,169,288,M,,1123032,EUR,1089417600,M,18,18,True,,12.0,10.0,,,0.0,2.0,2.0,8.0,10.0,,,,,24.0,17.0,6.9,3.0,0.0346418,0,,,,1.0,2.0,,,,,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,1.0,,,,,,,,
12514061,away,Famalicão,Mathias De Amorim,,,de-amorim-mathias,M. D. Amorim,M,14,178,237,M,,1511656,EUR,1102636800,M,14,14,True,,9.0,8.0,,,0.0,2.0,3.0,6.0,6.0,1.0,,,,17.0,15.0,6.9,2.0,0.0208712,1,,,,3.0,3.0,,,,,1.0,1.0,1.0,1.0,,,,1.0,1.0,,,,,0.0848,,,3.0,,,1.0,,,1.0,
12514061,away,Famalicão,Rodrigo Pinheiro,,,pinheiro-rodrigo,R. Pinheiro,D,17,181,262,M,,991924,EUR,1030492800,D,17,17,True,,8.0,6.0,1.0,1.0,0.0,3.0,3.0,3.0,5.0,1.0,,,,9.0,15.0,6.6,7.0,0.00134005,0,,,,,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,
12514061,away,Famalicão,Tom Van De Looi,,,tom-van-de-looi,T. V. D. Looi,M,6,186,105,M,,836676,EUR,930873600,M,6,6,True,,7.0,3.0,4.0,,0.0,,,3.0,7.0,,,,,9.0,8.0,6.7,4.0,0.00141898,1,,,,,,,,,,,,,,,,,,,,,1.0,,0.0482,0.2375,,,,,,,,,
12514061,away,Famalicão,Lazar Carević,,,lazar-carevic,L. Carević,G,25,195,237,M,,886204,EUR,921542400,G,25,25,True,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12514061,away,Famalicão,Justin De Haas,,,justin-de-haas,J. De Haas,D,16,192,307,M,,876255,EUR,949363200,D,16,16,True,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12514061,away,Famalicão,Afonso Rodrigues,Afonso Rodrigues,,rodrigues-afonso,A. Rodrigues,M,19,178,40,M,,1495552,EUR,1029715200,F,19,19,True,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12514061,away,Famalicão,Samuel Lobato,,,samuel-lobato,S. Lobato,M,8,183,41,M,,1087360,EUR,1003449600,M,88,88,True,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12514061,away,Famalicão,Mario González,,,mario-gonzalez,M. González,F,20,183,212,M,,847147,EUR,825206400,F,9,9,True,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
