match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_duelLost,stat_challengeLost,stat_ballRecovery,stat_errorLeadToAGoal,stat_savedShotsFromInsideTheBox,stat_penaltyFaced,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_totalShots,stat_totalCross,stat_duelWon,stat_totalContest,stat_wonContest,stat_totalClearance,stat_interceptionWon,stat_totalTackle,stat_unsuccessfulTouch,player_jerseyNumber,captain,stat_aerialLost,stat_aerialWon,stat_shotOffTarget,stat_outfielderBlock,stat_wonTackle,stat_wasFouled,stat_fouls,stat_dispossessed,stat_accurateCross,stat_keyPass,stat_blockedScoringAttempt,stat_totalOffside,stat_penaltyConceded,stat_onTargetScoringAttempt,stat_goals,stat_hitWoodwork,player_sofascoreId,stat_penaltyWon
10407331,home,RFC Seraing,Timothy Galje,,,timothy-galje,T. Galje,G,180.0,20,M,923978,EUR,991699200,G,1,1,False,28.0,14.0,22.0,9.0,9.0,10.0,5.0,18.0,1.0,1.0,5.0,1.0,1.0,1.0,1.0,90.0,34.0,5.4,14.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10407331,home,RFC Seraing,Daniel Opare,,,daniel-opare,D. Opare,D,172.0,62,,121251,EUR,656208000,D,40,40,False,21.0,15.0,4.0,,8.0,10.0,7.0,13.0,,,3.0,,,,,73.0,32.0,6.4,9.0,0,2.0,3.0,1.0,1.0,3.0,1.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,
10407331,home,RFC Seraing,Moustapha Mbow,,,moustapha-mbow,M. Mbow,D,187.0,1699,M,982319,EUR,952473600,D,99,99,False,32.0,28.0,6.0,4.0,23.0,24.0,5.0,8.0,,,6.0,,,,,90.0,42.0,6.6,5.0,0,,1.0,,,4.0,1.0,1.0,1.0,5,,,,,,,,,,,,,,,,,,,
10407331,home,RFC Seraing,Abdoulaye Sylla,Abdoulaye Sylla,,abdoulaye-sylla,A. Sylla,D,181.0,339,M,1102501,EUR,955324800,D,2,2,False,41.0,34.0,10.0,6.0,28.0,32.0,6.0,9.0,5.0,1.0,3.0,,,,,90.0,59.0,7.1,8.0,1,,6.0,,,4.0,1.0,3.0,,2,True,2.0,2.0,1.0,1.0,2.0,1.0,2.0,,,,,,,,,,,
10407331,home,RFC Seraing,Junior Marsoni Sambu Mansoni​,,,junior-marsoni-sambu-mansoni,J. M. S. Mansoni,D,185.0,77,M,874855,EUR,833760000,M,21,21,False,36.0,19.0,6.0,2.0,9.0,15.0,10.0,21.0,6.0,1.0,7.0,,,,,90.0,68.0,6.7,27.0,0,,5.0,6.0,4.0,4.0,5.0,1.0,1.0,70,,,,,,1.0,,1.0,2.0,,,,,,,,,,
10407331,home,RFC Seraing,Sami Lahssaini,,,sami-lahssaini,S. Lahssaini,M,177.0,235,M,957895,EUR,906076800,M,15,15,False,8.0,7.0,2.0,1.0,5.0,6.0,2.0,2.0,,,1.0,,,,,19.0,11.0,6.7,2.0,0,,1.0,,,,,1.0,1.0,15,,,,,,1.0,,,,,,,,,,,,,
10407331,home,RFC Seraing,Mathieu Cachbach,Mathieu Cachbach,,mathieu-cachbach,M. Cachbach,M,180.0,36,M,1127196,EUR,990576000,M,6,6,False,28.0,22.0,4.0,2.0,12.0,13.0,11.0,18.0,6.0,,6.0,,,,,64.0,51.0,6.6,13.0,1,3.0,3.0,1.0,,1.0,4.0,2.0,1.0,17,,,1.0,1.0,,2.0,,2.0,3.0,1.0,1.0,,,,,,,,
10407331,home,RFC Seraing,Leroy Abanda,,,leroy-abanda,L. A. Mfomo,D,178.0,136,M,859030,EUR,960336000,M,11,11,False,28.0,18.0,6.0,3.0,10.0,14.0,10.0,19.0,6.0,2.0,4.0,,,,,90.0,57.0,6.7,18.0,1,5.0,3.0,2.0,,,5.0,2.0,1.0,97,,,,1.0,,,1.0,2.0,,2.0,2.0,,,,,,,,
10407331,home,RFC Seraing,Sambou Sissoko,,,sambou-sissoko,S. Sissoko,M,186.0,49,M,893030,EUR,925171200,F,27,27,False,42.0,36.0,3.0,2.0,25.0,27.0,11.0,15.0,3.0,1.0,4.0,,,,,90.0,59.0,7.0,9.0,3,,7.0,,,3.0,1.0,4.0,3.0,6,,,2.0,2.0,,2.0,1.0,2.0,,,,1.0,,,,,,,
10407331,home,RFC Seraing,Marius Mouandilmadji,,,marius-mouandilmadji,M. Mouandilmadji,F,190.0,1382,M,943593,EUR,885427200,F,10,10,False,3.0,2.0,,,1.0,1.0,1.0,2.0,1.0,,,,,,,19.0,5.0,6.6,1.0,0,,2.0,,,,,,,9,,1.0,,,,,2.0,,,,,,1.0,,,,,,
10407331,home,RFC Seraing,Vagner Dias,,,vagner-dias,V. Dias,F,168.0,119,M,913191,EUR,821232000,F,7,7,False,16.0,13.0,1.0,,3.0,3.0,10.0,15.0,9.0,,,,,,,90.0,32.0,6.5,13.0,0,2.0,5.0,,,1.0,1.0,1.0,3.0,20,,2.0,2.0,,,,2.0,3.0,4.0,,2.0,,,,,,,,
10407331,home,RFC Seraing,Denys Bunchukov,Denys Bunchukov,,denys-bunchukov,D. Bunchukov,M,,14,M,1395863,EUR,1056067200,M,28,28,True,29.0,22.0,6.0,3.0,13.0,15.0,9.0,14.0,5.0,,2.0,,,,,71.0,40.0,6.2,9.0,1,,2.0,,,,,2.0,1.0,6,,2.0,,,1.0,2.0,,2.0,1.0,,,1.0,,1.0,,,,,
10407331,home,RFC Seraing,Simon Elisor,,,elisor-simon,S. Elisor,F,186.0,169,M,1049526,EUR,932515200,F,9,9,True,17.0,11.0,1.0,,4.0,5.0,7.0,12.0,8.0,,1.0,,,,,71.0,33.0,7.3,10.0,4,,8.0,,,1.0,,,2.0,12,,5.0,5.0,2.0,,,3.0,1.0,2.0,,1.0,1.0,1.0,,1.0,1.0,,,
