match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,captain,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,player_firstName,stat_duelLost,stat_duelWon,stat_challengeLost,stat_totalTackle,stat_wonTackle,stat_aerialWon,stat_outfielderBlock,stat_interceptionWon,stat_fouls,stat_aerialLost,player_lastName,stat_totalCross,stat_accurateCross,stat_bigChanceCreated,stat_shotOffTarget,stat_expectedGoals,stat_keyPass,stat_dispossessed,stat_unsuccessfulTouch,stat_wasFouled,stat_totalContest,stat_wonContest,stat_errorLeadToAShot,stat_onTargetScoringAttempt,stat_goals,stat_expectedGoalsOnTarget,stat_errorLeadToAGoal,stat_blockedScoringAttempt,stat_totalOffside,player_sofascoreId
13472674,home,Red Bull Bragantino,Cleiton,cleiton,Cleiton,G,1,190,551,M,844576,EUR,871948800,G,1,1,False,True,33.0,26.0,12.0,5.0,0.0,23.0,23.0,3.0,10.0,2.0,10.0,3.0,3.0,5.0,1.0,1.0,90.0,51.0,7.4,7.0,0.00087478,0,-1.2094,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13472674,home,Red Bull Bragantino,Nathan Mendes,nathan-mendes,N. Mendes,D,45,182,358,M,1116955,EUR,1029715200,D,45,45,False,,24.0,20.0,3.0,1.0,0.0,13.0,15.0,7.0,9.0,3.0,2.0,,,,,,90.0,40.0,6.6,6.0,0.0141106,0,,Nathan,1.0,3.0,1.0,3.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,
13472674,home,Red Bull Bragantino,Pedro Henrique,pedro-henrique,P. Henrique,D,14,188,417,M,551774,EUR,812592000,D,14,14,False,,34.0,27.0,9.0,4.0,0.0,18.0,20.0,9.0,14.0,11.0,1.0,,,,,,80.0,52.0,7.2,7.0,0.00803808,0,,,1.0,2.0,,,,2.0,3.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,
13472674,home,Red Bull Bragantino,Guzmán Rodríguez,guzman-rodriguez,G. Rodríguez,D,2,185,481,M,997239,EUR,949968000,D,2,2,False,,49.0,41.0,8.0,2.0,0.0,33.0,37.0,8.0,12.0,8.0,2.0,,,,,,90.0,64.0,7.0,8.0,0.00597329,0,,,3.0,1.0,,1.0,1.0,,3.0,2.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,
13472674,home,Red Bull Bragantino,Vanderlan,vanderlan,Vanderlan,D,6,183,1727,M,1067640,EUR,1031356800,D,12,12,False,,20.0,16.0,1.0,1.0,1.0,12.0,15.0,4.0,5.0,2.0,3.0,,,,,,77.0,35.0,6.9,7.0,0.119821,1,,Vanderlan,3.0,2.0,,2.0,1.0,,,,3.0,,,3.0,2.0,1.0,1.0,0.013,1.0,,,,,,,,,,,,,
13472674,home,Red Bull Bragantino,Eric Ramires,eric-ramires,E. Ramires,M,7,172,386,M,950545,EUR,965865600,M,7,7,False,,27.0,22.0,1.0,,0.0,11.0,13.0,11.0,14.0,2.0,3.0,,,,,,90.0,41.0,6.6,8.0,0.00577868,0,,,3.0,4.0,,1.0,1.0,,,,2.0,,,,,,,,,1.0,2.0,3.0,,,,,,,,,,
13472674,home,Red Bull Bragantino,Fabinho,fabinho,Fabinho,M,5,178,1291,M,1117513,EUR,1018310400,M,5,5,False,,47.0,39.0,6.0,3.0,0.0,29.0,34.0,10.0,13.0,2.0,6.0,,,,,,90.0,59.0,6.5,9.0,0.00569457,0,,,7.0,5.0,3.0,1.0,,2.0,,2.0,3.0,1.0,,,,,,,,,1.0,1.0,1.0,1.0,1.0,,,,,,,
13472674,home,Red Bull Bragantino,Ignacio Laquintana,ignacio-laquintana,I. Laquintana,M,19,177,612,M,948004,EUR,917827200,M,33,33,False,,20.0,16.0,2.0,1.0,2.0,6.0,7.0,10.0,13.0,1.0,6.0,,,,,,69.0,36.0,8.2,11.0,0.0985615,1,,,9.0,3.0,3.0,2.0,,,,1.0,2.0,2.0,,3.0,,2.0,,0.1176,2.0,2.0,1.0,1.0,,,,1.0,1.0,0.68,,,,
13472674,home,Red Bull Bragantino,Jhon Jhon,jhon-jhon,Jhon Jhon,M,10,178,2841,M,1167069,EUR,1031529600,M,10,10,False,,33.0,23.0,5.0,2.0,0.0,11.0,13.0,12.0,20.0,,4.0,,,,,,90.0,47.0,7.6,15.0,0.205569,1,,Jhon Jhon,5.0,4.0,,,,1.0,,1.0,1.0,2.0,,3.0,2.0,1.0,,0.2034,3.0,1.0,1.0,1.0,4.0,2.0,,1.0,1.0,0.2873,,,,
13472674,home,Red Bull Bragantino,Bruno Praxedes,bruno-praxedes,B. Praxedes,M,25,186,445,M,1018093,EUR,1013126400,M,25,25,False,,15.0,10.0,,,0.0,6.0,10.0,4.0,5.0,1.0,1.0,,,,,,45.0,20.0,6.4,7.0,0.00127213,0,,,2.0,3.0,2.0,1.0,1.0,1.0,,,,,,,,,,,,,2.0,1.0,,,,,,,,,,
