match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_totalCross,stat_aerialWon,stat_duelWon,stat_onTargetScoringAttempt,stat_goals,stat_outfielderBlock,stat_interceptionWon,stat_totalTackle,stat_unsuccessfulTouch,stat_wasFouled,stat_expectedGoals,stat_expectedGoalsOnTarget,captain,stat_aerialLost,stat_duelLost,stat_lastManTackle,stat_wonTackle,stat_totalContest,stat_wonContest,stat_accurateCross,stat_shotOffTarget,stat_errorLeadToAShot,stat_fouls,stat_keyPass,stat_challengeLost,stat_dispossessed,stat_blockedScoringAttempt,stat_bigChanceCreated,player_sofascoreId,stat_totalOffside,stat_bigChanceMissed
12450927,home,Auxerre,Donovan Léon,,,donovan-leon,D. Léon,G,16,186,316,M,159837,EUR,720748800,G,16,16,False,25.0,16.0,19.0,10.0,0.0,8.0,9.0,8.0,16.0,1.0,7.0,1.0,3.0,1.0,1.0,90.0,34.0,6.8,9.0,0.00100062,0,-0.1486,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12450927,home,Auxerre,Gabriel Osho,,,gabriel-osho,G. Osho,D,4,185,1150,M,920680,EUR,903052800,D,3,3,False,39.0,30.0,12.0,5.0,0.0,24.0,26.0,6.0,14.0,6.0,5.0,,,,,90.0,58.0,7.8,12.0,0.0032528,1,,1.0,2.0,4.0,1.0,1.0,2.0,4.0,1.0,2.0,1.0,0.1311,0.9213,,,,,,,,,,,,,,,,,,,
12450927,home,Auxerre,Jubal,,,jubal,Jubal,D,5,190,384,M,329195,EUR,746582400,D,4,4,False,36.0,29.0,9.0,5.0,0.0,24.0,26.0,5.0,10.0,5.0,4.0,,,,,90.0,52.0,7.4,7.0,0.00188942,0,,,1.0,6.0,,,3.0,2.0,5.0,,,,,True,3.0,3.0,1.0,3.0,,,,,,,,,,,,,,
12450927,home,Auxerre,Clement Akpa,Clément Akpa,,akpa-clement,C. Akpa,D,92,183,819,M,1387156,EUR,1006560000,D,92,92,False,47.0,43.0,7.0,4.0,0.0,26.0,27.0,17.0,20.0,3.0,9.0,,,,,90.0,63.0,7.0,6.0,0.0119716,0,,,1.0,6.0,,,,3.0,3.0,,1.0,,,,1.0,3.0,,3.0,3.0,1.0,,,,,,,,,,,,
12450927,home,Auxerre,Paul Joly,Paul Joly,,paul-joly,P. Joly,D,26,182,234,M,1130986,EUR,960336000,M,26,26,False,18.0,10.0,4.0,,0.0,8.0,13.0,3.0,9.0,2.0,1.0,,,,,65.0,40.0,6.4,14.0,0.0660959,2,,4.0,1.0,4.0,1.0,,,,3.0,2.0,,0.0454,0.1058,,,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,,,,,,,
12450927,home,Auxerre,Elisha Owusu,,,elisha-owusu,E. Owusu,M,42,179,1294,M,904424,EUR,878860800,M,42,42,False,30.0,23.0,2.0,,0.0,11.0,13.0,12.0,17.0,,3.0,,,,,81.0,39.0,6.6,9.0,0.0131108,0,,,2.0,6.0,,,,2.0,2.0,1.0,1.0,,,,1.0,5.0,,,1.0,1.0,,,,2.0,,1.0,1.0,,,,,
12450927,home,Auxerre,Kévin Danois,Kévin Danois,,kevin-danois,K. Danois,M,5,183,449,M,1151803,EUR,1088380800,M,27,27,False,49.0,40.0,7.0,4.0,0.0,17.0,18.0,23.0,32.0,1.0,5.0,,,,,90.0,70.0,7.6,14.0,0.195445,2,,1.0,1.0,11.0,,,,,4.0,1.0,2.0,0.1407,,,2.0,7.0,,2.0,6.0,4.0,,1.0,,1.0,2.0,1.0,1.0,1.0,,,,
12450927,home,Auxerre,Gideon Mensah,,,gideon-mensah,G. Mensah,D,14,177,2401,M,844942,EUR,900720000,M,14,14,False,38.0,31.0,6.0,2.0,0.0,19.0,21.0,13.0,23.0,3.0,4.0,,,,,90.0,73.0,6.4,20.0,0.0355572,0,,6.0,,2.0,,,1.0,5.0,2.0,2.0,,,,,1.0,10.0,,1.0,1.0,,1.0,,,3.0,,2.0,3.0,,,,,
12450927,home,Auxerre,Gaëtan Perrin,,,gaetan-perrin,G. Perrin,M,28,169,447,M,827506,EUR,834105600,F,10,10,False,29.0,20.0,2.0,,0.0,8.0,11.0,12.0,23.0,1.0,5.0,,,,,89.0,51.0,7.1,22.0,0.0560414,2,,5.0,,5.0,1.0,1.0,,,3.0,1.0,1.0,0.0599,0.0696,,,7.0,,2.0,5.0,1.0,,,,1.0,1.0,1.0,1.0,1.0,,,,
12450927,home,Auxerre,Ado Onaiwu,,,ado-onaiwu,A. Onaiwu,M,45,180,644,M,489180,EUR,815788800,F,45,45,False,17.0,13.0,,,0.0,4.0,5.0,9.0,12.0,,3.0,,,,,65.0,26.0,6.5,8.0,0.0178868,1,,,2.0,5.0,,,,,,,2.0,0.1352,,,3.0,8.0,,,1.0,1.0,,,,1.0,,,4.0,1.0,,,,
