match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_totalShots,player_firstName,player_lastName,stat_totalCross,stat_duelLost,stat_duelWon,stat_dispossessed,stat_totalContest,stat_totalTackle,stat_unsuccessfulTouch,stat_wasFouled,stat_fouls,stat_aerialWon,stat_onTargetScoringAttempt,stat_outfielderBlock,stat_interceptionWon,stat_wonTackle,stat_keyPass,stat_accurateCross,stat_aerialLost,stat_wonContest,stat_blockedScoringAttempt,stat_penaltyWon,stat_shotOffTarget,stat_challengeLost,stat_totalOffside,captain,stat_bigChanceMissed,stat_penaltyMiss,player_sofascoreId,stat_goodHighClaim,stat_penaltySave,stat_penaltyFaced,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_lastManTackle,stat_bigChanceCreated,stat_goals,stat_penaltyConceded
10434146,home,Alanyaspor,Rúnar Alex Rúnarsson,runar-alex-runarsson,R. Rúnarsson,G,31,185.0,412,M,187023,EUR,793065600,G,13,13,False,42.0,35.0,12.0,6.0,33.0,36.0,2.0,6.0,1.0,11.0,2.0,4.0,90.0,52.0,6.9,7.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10434146,home,Alanyaspor,Pedro Pereira,pedro-pereira,P. Pereira,M,13,185.0,287,M,807291,EUR,885427200,D,27,27,False,39.0,35.0,3.0,1.0,11.0,13.0,24.0,28.0,1.0,4.0,,,79.0,60.0,6.2,12.0,0,,,2.0,5.0,3.0,3.0,1.0,1.0,1.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
10434146,home,Alanyaspor,Furkan Bayır,furkan-bayir,F. Bayır,D,23,188.0,77,M,1003161,EUR,950054400,D,4,4,False,71.0,63.0,13.0,8.0,32.0,34.0,31.0,38.0,4.0,4.0,,,90.0,87.0,7.8,10.0,1,,,1.0,3.0,8.0,,,2.0,1.0,1.0,3.0,5.0,1.0,2.0,1.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,
10434146,home,Alanyaspor,Jure Balkovec,jure-balkovec,J. Balkovec,D,29,185.0,277,M,171625,EUR,779068800,D,29,29,False,96.0,84.0,23.0,15.0,42.0,45.0,44.0,57.0,,11.0,,,90.0,107.0,7.5,17.0,1,,,6.0,1.0,2.0,,1.0,1.0,,,,,,1.0,,1.0,1.0,2.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,
10434146,home,Alanyaspor,Yusuf Özdemir,yusuf-ozdemir,Y. Özdemir,M,88,181.0,160,M,1084884,EUR,979084800,D,88,88,False,56.0,44.0,4.0,1.0,20.0,25.0,25.0,34.0,1.0,6.0,,,90.0,83.0,7.3,18.0,0,Yusuf Ozdemir,,3.0,5.0,8.0,1.0,1.0,2.0,1.0,3.0,,3.0,,,1.0,,2.0,1.0,3.0,,,1.0,,,,,,,,,,,,,,,,
10434146,home,Alanyaspor,Leroy Fer,leroy-fer,L. Fer,M,8,188.0,134,M,31821,EUR,631497600,M,8,8,False,49.0,44.0,4.0,3.0,21.0,23.0,23.0,26.0,,2.0,,,58.0,56.0,6.6,7.0,2,,,,5.0,4.0,1.0,,1.0,1.0,1.0,1.0,2.0,,,,,1.0,,3.0,,1.0,,1.0,,,,,,,,,,,,,,,
10434146,home,Alanyaspor,Efkan Bekiroğlu,efkan-bekiroglu,E. Bekiroğlu,M,11,185.0,172,M,800458,EUR,811036800,M,11,11,False,50.0,42.0,5.0,5.0,15.0,17.0,28.0,35.0,,6.0,,,90.0,63.0,6.5,14.0,2,,,2.0,8.0,4.0,4.0,1.0,,1.0,1.0,2.0,2.0,,,,,,1.0,1.0,1.0,,,2.0,1.0,,,,,,,,,,,,,,
10434146,home,Alanyaspor,Zinedine Ferhat,zinedine-ferhat,Z. Ferhat,M,8,183.0,1385,M,842400,EUR,730944000,M,10,10,False,23.0,17.0,1.0,1.0,4.0,5.0,13.0,21.0,,2.0,,,58.0,31.0,6.5,12.0,0,,,3.0,1.0,1.0,1.0,1.0,,2.0,,,,,,,,,,,1.0,,,,,1.0,,,,,,,,,,,,,
10434146,home,Alanyaspor,Arnaud Lusamba,arnaud-lusamba,A. Lusamba,M,11,180.0,155,M,361342,EUR,852336000,M,97,97,False,22.0,18.0,3.0,2.0,4.0,4.0,14.0,18.0,,4.0,,,45.0,28.0,6.6,6.0,0,,,,2.0,1.0,,2.0,,1.0,,1.0,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,
10434146,home,Alanyaspor,Wilson Eduardo,wilson-eduardo,W. Eduardo,F,7,179.0,143,M,105404,EUR,647395200,M,17,17,False,12.0,9.0,2.0,1.0,5.0,5.0,4.0,9.0,,3.0,,,71.0,24.0,6.9,8.0,1,,,2.0,1.0,4.0,,,3.0,3.0,1.0,,,,,,3.0,1.0,,1.0,,,,1.0,,,,,,,,,,,,,,,
