match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_keeperSaveValue,stat_totalShots,stat_goalsPrevented,stat_passValueNormalized,stat_dribbleValueNormalized,stat_defensiveValueNormalized,stat_goalkeeperValueNormalized,player_firstName,player_lastName,stat_totalCross,stat_accurateCross,stat_aerialWon,stat_duelLost,stat_duelWon,stat_challengeLost,stat_totalContest,stat_bigChanceCreated,stat_totalClearance,stat_unsuccessfulTouch,stat_wasFouled,stat_fouls,stat_keyPass,player_sofascoreId,stat_aerialLost,stat_wonContest,stat_shotOffTarget,stat_interceptionWon,stat_totalTackle,stat_expectedGoals,stat_shotValueNormalized,stat_bigChanceMissed,stat_onTargetScoringAttempt,stat_wonTackle,stat_expectedGoalsOnTarget,stat_dispossessed,stat_outfielderBlock,stat_errorLeadToAGoal,captain,stat_blockedScoringAttempt,stat_totalOffside,stat_goals
14053605,home,AFC Ajax,Remko Pasveer,remko-pasveer,R. Pasveer,G,22,186.0,801,M,2622,EUR,437097600,G,22,22,False,39.0,30.0,13.0,4.0,0.0,27.0,30.0,3.0,9.0,9.0,1.0,1.0,2.0,90.0,46.0,6.1,9.0,0.0067059,0.0765,0,-0.9009,0.1,-0.05,-0.16,-0.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14053605,home,AFC Ajax,Anton Gaaei,anton-gaaei,A. Gaaei,D,3,183.0,906,M,1120315,EUR,1037664000,D,3,3,False,30.0,27.0,2.0,2.0,0.0,15.0,16.0,12.0,14.0,2.0,,,,57.0,43.0,6.5,9.0,0.350679,,0,,0.39,0.17,-0.4,,,,5.0,1.0,1.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,,,,,,,,,,,,,,,,,,,
14053605,home,AFC Ajax,Josip Šutalo,josip-sutalo,J. Šutalo,D,37,190.0,4308,M,954836,EUR,951696000,D,37,37,False,97.0,89.0,13.0,10.0,0.0,46.0,48.0,43.0,49.0,5.0,,,,84.0,108.0,6.9,9.0,0.024119,,1,,0.26,0.28,-0.22,,,,,,1.0,3.0,3.0,1.0,1.0,,1.0,1.0,,1.0,,josip.sutalo,1.0,1.0,1.0,4.0,1.0,0.0182,-0.17,,,,,,,,,,,
14053605,home,AFC Ajax,Youri Baas,youri-baas,Y. Baas,D,15,182.0,1216,M,1000228,EUR,1047859200,D,15,15,False,103.0,100.0,6.0,5.0,0.0,54.0,56.0,46.0,47.0,10.0,,,,90.0,127.0,7.7,5.0,0.0323591,,2,,0.28,0.29,0.17,,,,,,3.0,2.0,10.0,1.0,,,8.0,1.0,1.0,,,,1.0,,1.0,1.0,6.0,0.1871,0.01,1.0,1.0,3.0,0.1453,,,,,,,
14053605,home,AFC Ajax,Gerald Alders,gerald-alders,G. Alders,D,3,179.0,240,M,1403075,EUR,1115424000,D,41,41,False,45.0,42.0,2.0,1.0,0.0,28.0,31.0,14.0,14.0,4.0,,,,76.0,60.0,6.0,5.0,0.0237188,,0,,0.09,0.08,-0.56,,Gerald Alders,,,,,6.0,5.0,,,,2.0,1.0,2.0,,,,5.0,,,,3.0,,,,,1.0,,1.0,1.0,1.0,,,,
14053605,home,AFC Ajax,Youri Regeer,youri-regeer,Y. Regeer,M,6,177.0,742,M,996940,EUR,1061164800,M,6,6,False,62.0,57.0,3.0,3.0,0.0,28.0,31.0,29.0,31.0,5.0,,,,90.0,92.0,7.5,11.0,0.0497038,,0,,0.32,0.16,-0.01,,,,2.0,,3.0,2.0,10.0,1.0,1.0,,3.0,2.0,1.0,,1.0,,,1.0,,3.0,5.0,,,,,4.0,,1.0,,,,,,
14053605,home,AFC Ajax,Kenneth Taylor,kenneth-taylor,K. Taylor,M,24,182.0,3631,M,959806,EUR,1021507200,M,8,8,False,64.0,58.0,4.0,3.0,0.0,16.0,16.0,42.0,48.0,3.0,,,,90.0,71.0,7.0,9.0,0.187975,,1,,0.4,0.04,-0.17,,,,3.0,1.0,1.0,1.0,2.0,1.0,,,,1.0,1.0,,3.0,,,,,,,0.1026,-0.22,,1.0,,0.0591,,,,True,,,
14053605,home,AFC Ajax,Oliver Edvardsen,oliver-valaker-edvardsen,O. Edvardsen,M,17,175.0,591,M,878599,EUR,921801600,M,17,17,False,23.0,17.0,2.0,2.0,0.0,5.0,6.0,12.0,17.0,2.0,,,,76.0,41.0,6.7,14.0,0.11225,,2,,0.03,0.22,-0.04,,,,6.0,1.0,2.0,2.0,5.0,,1.0,,1.0,,2.0,,1.0,,,1.0,,1.0,,0.2499,-0.53,,,,,2.0,,,,2.0,,
14053605,home,AFC Ajax,Oscar Gloukh,oscar-gloukh,O. Gloukh,M,10,170.0,4711,M,1155158,EUR,1080777600,M,10,10,False,59.0,49.0,4.0,2.0,0.0,6.0,8.0,43.0,51.0,6.0,,,,90.0,86.0,7.6,21.0,0.492025,,3,,0.5,0.34,-0.12,,Oscar Gloukh,,8.0,3.0,,5.0,7.0,,4.0,1.0,,2.0,1.0,,3.0,,1.0,1.0,,,5.0,0.1275,0.22,,1.0,3.0,0.212,1.0,,,,2.0,,
14053605,home,AFC Ajax,Mika Godts,mika-godts,M. Godts,F,11,176.0,3962,M,1149146,EUR,1118102400,M,11,11,False,47.0,38.0,1.0,1.0,1.0,10.0,11.0,28.0,36.0,5.0,,,,90.0,68.0,7.2,20.0,0.49939,,0,,0.55,0.53,-0.14,,Mika Godts,,4.0,1.0,,10.0,5.0,1.0,8.0,2.0,,1.0,1.0,,4.0,,2.0,3.0,,1.0,1.0,,,,,1.0,,2.0,,,,,,
14053605,home,AFC Ajax,Wout Weghorst,wout-weghorst,W. Weghorst,F,25,197.0,6772,M,252215,EUR,713145600,F,25,25,False,19.0,14.0,,,0.0,4.0,5.0,10.0,14.0,,,,,90.0,30.0,5.9,10.0,0.021989,,4,,-0.17,0.04,-0.06,,,,,,3.0,5.0,4.0,,,,,3.0,1.0,1.0,,wout.weghorst,3.0,,1.0,,,0.4801,-0.58,2.0,1.0,,0.8189,1.0,,,,2.0,2.0,
14053605,home,AFC Ajax,Kasper Dolberg,kasper-dolberg,K. Dolberg,F,9,187.0,4191,M,795761,EUR,876096000,F,9,9,True,8.0,5.0,1.0,1.0,0.0,,,5.0,8.0,,,,,33.0,11.0,7.4,3.0,0.0589162,,2,,-0.14,0.31,-0.01,,,,,,,1.0,,,,,,,,,1.0,KDolberg,1.0,,1.0,1.0,,0.2788,0.47,,1.0,,0.5309,,,,,,,1.0
14053605,home,AFC Ajax,Owen Wijndal,owen-wijndal,O. Wijndal,D,5,174.0,794,M,836673,EUR,943747200,D,5,5,True,17.0,16.0,,,0.0,5.0,5.0,11.0,12.0,,,,,14.0,32.0,7.0,6.0,0.00631576,,0,,-0.01,0.05,0.13,,,,3.0,,3.0,3.0,4.0,,1.0,,1.0,1.0,1.0,1.0,,,1.0,,,,,,,,,,,,,,,,,
14053605,home,AFC Ajax,Raúl Moro,raul-moro,R. Moro,M,18,169.0,1584,M,980383,EUR,1039046400,F,7,7,True,12.0,8.0,,,0.0,1.0,1.0,7.0,11.0,1.0,,,,14.0,21.0,6.4,12.0,0.00594342,,0,,-0.22,0.16,-0.01,,,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14053605,home,AFC Ajax,Davy Klaassen,davy-klaassen,D. Klaassen,M,18,179.0,1575,M,97410,EUR,730252800,M,18,18,True,6.0,5.0,,,0.0,1.0,1.0,4.0,5.0,,,,,13.0,8.0,6.5,2.0,0.0110998,,0,,0.08,0.03,0.16,,,,,,,3.0,1.0,,,,,,,,,,2.0,,,,1.0,,,,,1.0,,1.0,,,,,,
14053605,home,AFC Ajax,Vítězslav Jaroš,vitezslav-jaros,V. Jaroš,G,1,190.0,4420,M,927359,EUR,995846400,G,1,1,True,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14053605,home,AFC Ajax,Paul Reverson,paul-reverson,P. Reverson,G,1,194.0,290,M,1403089,EUR,1119225600,G,52,52,True,,,,,,,,,,,,,,,,,,,,0,,,,,,Paul Reverson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14053605,home,AFC Ajax,Ko Itakura,ko-itakura,K. Itakura,D,4,189.0,3073,M,790989,EUR,854323200,D,4,4,True,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14053605,home,AFC Ajax,Rayane Bounida,rayane-bounida,R. Bounida,M,43,179.0,3967,M,1403090,EUR,1141344000,F,43,43,True,,,,,,,,,,,,,,,,,,,,0,,,,,,Rayane Bounida,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14053605,home,AFC Ajax,James McConnell,mcconnell-james,J. McConnell,M,16,180.0,2765,M,1138428,EUR,1095033600,M,16,16,True,,,,,,,,,,,,,,,,,,,,0,,,,,,James McConnell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14053605,home,AFC Ajax,Sean Steur,sean-steur,S. Steur,M,48,180.0,722,M,1859920,EUR,1200009600,M,48,48,True,,,,,,,,,,,,,,,,,,,,0,,,,,,Sean Steur,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14053605,home,AFC Ajax,Jorthy Mokio,jorthy-mokio,J. Mokio,M,24,182.0,3119,M,1563462,EUR,1204243200,D,24,24,True,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14053605,home,AFC Ajax,Kian Fitz-Jim,kian-fitz-jim,K. Fitz-Jim,M,28,173.0,1158,M,1001945,EUR,1057363200,M,28,28,True,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14053605,away,Excelsior,Stijn van Gassel,stijn-van-gassel,S. van Gassel,G,1,185.0,166,M,367118,EUR,845596800,G,1,1,False,47.0,31.0,34.0,19.0,0.0,16.0,20.0,15.0,27.0,9.0,,3.0,4.0,90.0,56.0,8.1,16.0,0.00303321,0.9118,0,0.7661,0.26,0.0,-0.01,0.56,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
14053605,away,Excelsior,Ilias Bronkhorst,ilias-bronkhorst,I. Bronkhorst,D,2,185.0,69,M,899644,EUR,863222400,D,2,2,False,47.0,37.0,9.0,6.0,0.0,14.0,18.0,23.0,29.0,5.0,,,,90.0,70.0,6.6,16.0,0.0424794,,2,,0.28,0.25,-0.48,,Ilias,Bronkhorst,,,6.0,7.0,8.0,3.0,,,5.0,5.0,,1.0,,,3.0,,1.0,,2.0,0.0946,-0.52,,,1.0,,,,1.0,,1.0,,
14053605,away,Excelsior,Casper Widell,widell-casper,C. Widell,D,4,192.0,137,M,1031721,EUR,1052092800,D,4,4,False,28.0,27.0,5.0,5.0,0.0,20.0,21.0,7.0,7.0,3.0,,,,84.0,40.0,7.4,1.0,0.0068923,,0,,0.12,0.16,0.4,,,,,,,,3.0,,,,8.0,,1.0,,1.0,,,,,,2.0,,,,,2.0,,,1.0,,True,,,
14053605,away,Excelsior,Rick Meissen,rick-meissen,R. Meissen,D,3,193.0,44,M,1048906,EUR,1014508800,D,3,3,False,36.0,31.0,4.0,2.0,1.0,26.0,28.0,5.0,8.0,7.0,,,,90.0,61.0,7.7,6.0,0.0020755,,0,,0.04,0.2,1.0,,Rick Meijssen,,,,2.0,4.0,3.0,,1.0,,13.0,,,2.0,1.0,,1.0,,,3.0,1.0,,,,,1.0,,,3.0,,,,,
