match_id,side,team,player_name,player_slug,player_shortName,player_position,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_totalShots,player_jerseyNumber,stat_aerialWon,stat_duelWon,stat_totalContest,stat_wonContest,stat_totalClearance,stat_outfielderBlock,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_duelLost,stat_dispossessed,stat_onTargetScoringAttempt,stat_wasFouled,stat_fouls,stat_keyPass,stat_challengeLost,stat_shotOffTarget,stat_totalCross,stat_accurateCross,stat_aerialLost,stat_blockedScoringAttempt,player_firstName,player_lastName,captain,stat_totalOffside,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_hitWoodwork,stat_goals,player_sofascoreId
10447716,home,Salernitana,Luigi Sepe,luigi-sepe,L. Sepe,G,185.0,170,M,46714,EUR,673660800,G,33,33,False,35.0,23.0,17.0,5.0,20.0,20.0,3.0,15.0,13.0,3.0,5.0,90.0,46.0,6.9,13.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10447716,home,Salernitana,Valerio Mantovani,valerio-mantovani,V. Mantovani,D,180.0,44,M,814342,EUR,829785600,D,13,13,False,28.0,22.0,6.0,3.0,12.0,16.0,10.0,12.0,5.0,,,90.0,48.0,6.8,11.0,0,13,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,
10447716,home,Salernitana,Federico Fazio,federico-fazio,F. Fazio,D,195.0,373,M,27569,EUR,542937600,D,17,17,False,54.0,39.0,13.0,4.0,26.0,29.0,13.0,25.0,7.0,,,90.0,75.0,7.3,17.0,1,,4.0,11.0,1.0,1.0,4.0,1.0,2.0,3.0,,,2.0,1.0,1.0,3.0,1.0,1.0,,,,,,,,,,,,,,,
10447716,home,Salernitana,Lorenzo Pirola,lorenzo-pirola,L. Pirola,D,185.0,1017,M,965014,EUR,1014163200,D,98,98,False,41.0,32.0,9.0,4.0,19.0,25.0,13.0,16.0,5.0,,,77.0,55.0,6.5,10.0,1,5,2.0,3.0,,,2.0,1.0,1.0,,,,3.0,,,1.0,2.0,,1.0,1.0,,,,,,,,,,,,,
10447716,home,Salernitana,Wajdi Kechrida,wajdi-kechrida,W. Kechrida,D,184.0,960,M,880061,EUR,815529600,M,24,24,False,33.0,24.0,1.0,1.0,7.0,11.0,18.0,24.0,3.0,,,90.0,53.0,7.0,16.0,3,28,,4.0,1.0,1.0,2.0,,,2.0,,3.0,3.0,2.0,1.0,1.0,,1.0,,1.0,2.0,1.0,1.0,1.0,,,,,,,,,
10447716,home,Salernitana,Lassana Coulibaly,coulibaly-lassana,L. Coulibaly,M,183.0,2778,M,804621,EUR,829094400,M,18,18,False,38.0,27.0,3.0,,5.0,10.0,22.0,28.0,8.0,,,90.0,52.0,7.3,12.0,2,29,1.0,9.0,3.0,3.0,1.0,,,5.0,3.0,1.0,4.0,,,,2.0,2.0,,1.0,,,2.0,1.0,,,,,,,,,
10447716,home,Salernitana,Emil Bohinen,emil-bohinen,E. Bohinen,M,185.0,228,M,824584,EUR,921196800,M,8,8,False,20.0,17.0,,,3.0,4.0,14.0,16.0,2.0,,,31.0,27.0,6.7,5.0,0,37,,1.0,2.0,1.0,,,,,,1.0,1.0,,,,,2.0,,,,,,,,,,,,,,,
10447716,home,Salernitana,Grigoris Kastanos,grigoris-kastanos,G. Kastanos,M,179.0,519,M,791566,EUR,886118400,M,20,20,False,30.0,26.0,2.0,1.0,12.0,13.0,15.0,20.0,8.0,,,60.0,42.0,6.8,8.0,1,28,1.0,7.0,1.0,,,,,1.0,1.0,,2.0,1.0,,5.0,,1.0,,,3.0,1.0,,1.0,,,,,,,,,
10447716,home,Salernitana,Sanasi Sy,sanasi-sy,S. Sy,M,174.0,27,M,944898,EUR,923184000,M,26,26,False,17.0,14.0,,,6.0,6.0,8.0,12.0,3.0,,,45.0,24.0,6.5,6.0,0,,1.0,1.0,1.0,,,,1.0,,,1.0,2.0,,,,,,,,1.0,,1.0,,,,,,,,,,
10447716,home,Salernitana,Erik Botheim,erik-botheim,E. Botheim,F,187.0,1101,M,844292,EUR,947462400,F,11,11,False,15.0,9.0,1.0,,4.0,6.0,5.0,9.0,3.0,,,90.0,23.0,6.6,8.0,1,20,2.0,4.0,1.0,,1.0,,,,,1.0,5.0,,1.0,2.0,4.0,,,,,,1.0,,,,,,,,,,
10447716,home,Salernitana,Franck Ribéry,franck-ribery,F. Ribéry,M,170.0,2586,,5712,EUR,418521600,F,7,7,False,31.0,24.0,3.0,2.0,6.0,7.0,18.0,24.0,2.0,,,60.0,50.0,6.7,16.0,1,,1.0,7.0,4.0,1.0,,,1.0,1.0,1.0,4.0,6.0,2.0,,4.0,1.0,3.0,1.0,,,,,1.0,,,True,,,,,,
10447716,home,Salernitana,Leonardo Capezzi,leonardo-capezzi,L. Capezzi,M,178.0,27,M,800373,EUR,796348800,M,28,28,True,31.0,26.0,8.0,4.0,16.0,18.0,10.0,13.0,3.0,,,59.0,42.0,6.9,6.0,4,28,,2.0,,,1.0,,1.0,2.0,2.0,1.0,,,,,,1.0,,2.0,,,,2.0,,,,,,,,,
10447716,home,Salernitana,Diego Valencia,diego-valencia,D. Valencia,M,183.0,495,M,906110,EUR,947808000,F,14,14,True,13.0,10.0,1.0,1.0,3.0,5.0,7.0,8.0,4.0,,,45.0,22.0,6.7,6.0,0,30,,3.0,1.0,1.0,1.0,,,2.0,2.0,2.0,4.0,1.0,,,,,1.0,,,,2.0,,,,,,,,,,
10447716,home,Salernitana,Michele Cavion,michele-cavion,M. Cavion,M,180.0,27,M,299870,EUR,786844800,M,15,15,True,17.0,11.0,,,5.0,5.0,8.0,15.0,,,,30.0,24.0,6.8,7.0,0,8,,,,,1.0,,1.0,,,,,,,,,1.0,,,3.0,2.0,,,,,,1.0,,,,,
