match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_sofascoreId,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,captain,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_accurateLongBalls,stat_accurateOppositionHalfPasses,stat_totalCross,stat_aerialLost,stat_duelLost,stat_duelWon,stat_dispossessed,stat_totalContest,stat_wonContest,stat_shotOffTarget,stat_onTargetScoringAttempt,stat_totalTackle,stat_wonTackle,stat_fouls,stat_totalOffside,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_keyPass,stat_aerialWon,stat_bigChanceMissed,stat_blockedScoringAttempt,stat_outfielderBlock,stat_interceptionWon,stat_unsuccessfulTouch,stat_errorLeadToAShot,player_firstName,player_lastName,stat_accurateCross,stat_wasFouled,stat_challengeLost,stat_bigChanceCreated,stat_goals,stat_hitWoodwork,stat_goodHighClaim,stat_penaltyFaced,stat_penaltyConceded,stat_errorLeadToAGoal
12530713,home,Galatasaray,Fernando Muslera,fernando-muslera,F. Muslera,G,16,190.0,9264,M,Muslera,28381,EUR,519264000,G,1,1,False,True,25.0,19.0,6.0,0.0,19.0,21.0,4.0,1.0,4.0,1.0,1.0,2.0,2.0,90.0,27.0,7.1,6.0,5.473e-05,0,0.2294,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12530713,home,Galatasaray,Przemysław Frankowski,przemyslaw-frankowski,P. Frankowski,D,95,176.0,5736,M,przemek.franek_,286909,EUR,797644800,D,29,29,False,,49.0,41.0,4.0,0.0,20.0,22.0,32.0,1.0,7.0,,,,,90.0,78.0,7.4,17.0,0.0203301,3,,2.0,21.0,5.0,2.0,6.0,3.0,1.0,4.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0922,0.0447,1.0,,,,,,,,,,,,,,,,,,,
12530713,home,Galatasaray,Davinson Sánchez,davinson-sanchez,D. Sánchez,D,6,187.0,12299,M,DAVINSON,566102,EUR,834537600,D,6,6,False,,57.0,41.0,7.0,0.0,26.0,34.0,23.0,2.0,10.0,,,,,77.0,71.0,7.7,19.0,0.0681003,2,,2.0,15.0,,,2.0,11.0,,2.0,1.0,1.0,,3.0,3.0,1.0,,0.104,,,7.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,
12530713,home,Galatasaray,Abdülkerim Bardakcı,abdulkerim-bardakci,A. Bardakcı,D,42,185.0,6104,M,abdulkerimbard1,178963,EUR,778896000,D,42,42,False,,50.0,47.0,6.0,0.0,31.0,32.0,18.0,2.0,3.0,,,,,90.0,58.0,6.8,4.0,0.0316727,0,,5.0,16.0,,3.0,6.0,1.0,,,,,,,,3.0,,,,,1.0,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,
12530713,home,Galatasaray,Eren Elmalı,eren-elmali,E. Elmalı,D,17,180.0,4102,M,,981483,EUR,962928000,D,17,17,False,,40.0,34.0,2.0,0.0,10.0,10.0,34.0,4.0,4.0,,,,,90.0,66.0,7.3,12.0,0.0557183,0,,,26.0,4.0,1.0,3.0,8.0,,3.0,1.0,,,3.0,1.0,,,,,,2.0,,,,,2.0,,,,2.0,2.0,,,,,,,,
12530713,home,Galatasaray,Lucas Torreira,lucas-torreira,L. Torreira,M,34,168.0,8760,M,ltorreira34,754794,EUR,823996800,M,34,34,False,,41.0,38.0,3.0,0.0,19.0,19.0,23.0,1.0,6.0,,,,,68.0,48.0,7.0,4.0,0.0360759,0,,2.0,19.0,1.0,,3.0,2.0,,,,,,1.0,1.0,,,,,1.0,,,,,3.0,,,,,,1.0,3.0,,,,,,,
12530713,home,Galatasaray,Gabriel Sara,gabriel-sara,G. Sara,M,8,178.0,11687,M,gabrielsara,913593,EUR,930355200,M,20,20,False,,64.0,57.0,3.0,0.0,24.0,24.0,49.0,1.0,9.0,,,,,90.0,87.0,7.9,11.0,0.325209,4,,2.0,39.0,9.0,1.0,3.0,5.0,,2.0,1.0,3.0,,2.0,,1.0,,0.1951,,4.0,1.0,,1.0,,1.0,,,,,6.0,1.0,,1.0,,,,,,
12530713,home,Galatasaray,Yunus Akgün,yunus-akgun,Y. Akgün,M,11,173.0,9047,M,yunusakgun17,857738,EUR,962928000,M,11,11,False,,22.0,20.0,1.0,1.0,5.0,5.0,18.0,,1.0,,,,,68.0,28.0,7.0,7.0,0.129579,0,,1.0,15.0,1.0,,3.0,1.0,1.0,1.0,,,,,,,,,,1.0,,,,,,2.0,,,,,1.0,1.0,1.0,,,,,,
12530713,home,Galatasaray,Álvaro Morata,alvaro-morata,Á. Morata,F,7,189.0,27997,M,ÁMorata,125407,EUR,719798400,M,77,77,False,,26.0,18.0,1.0,1.0,5.0,6.0,20.0,1.0,1.0,,,,,90.0,40.0,8.5,9.0,0.661312,5,,,13.0,,,1.0,5.0,,1.0,1.0,3.0,2.0,2.0,1.0,,,1.5873,0.9662,2.0,,1.0,,,,1.0,,,,,2.0,1.0,1.0,1.0,,,,,
12530713,home,Galatasaray,Barış Alper Yılmaz,baris-alper-yilmaz,B. A. Yılmaz,M,53,186.0,13210,M,barisalperyilmaz,904096,EUR,959040000,M,53,53,False,,24.0,14.0,,1.0,3.0,4.0,24.0,1.0,1.0,,,,,83.0,42.0,8.1,16.0,0.882616,1,,,12.0,4.0,1.0,6.0,8.0,1.0,2.0,1.0,,,2.0,1.0,3.0,,0.0234,,6.0,3.0,,1.0,,2.0,1.0,,,,1.0,2.0,,1.0,,,,,,
