match_id,side,team,player_name,player_slug,player_shortName,player_position,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_interceptionWon,stat_ballRecovery,stat_errorLeadToAGoal,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,player_jerseyNumber,stat_duelLost,stat_totalContest,stat_aerialLost,stat_aerialWon,stat_duelWon,stat_outfielderBlock,captain,stat_challengeLost,stat_totalTackle,stat_wasFouled,stat_fouls,player_firstName,player_lastName,stat_wonTackle,stat_unsuccessfulTouch,stat_totalCross,stat_dispossessed,stat_wonContest,stat_keyPass,stat_accurateCross,stat_onTargetScoringAttempt,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_goalAssist,stat_blockedScoringAttempt,stat_bigChanceMissed,stat_shotOffTarget,stat_goals,stat_totalOffside,stat_bigChanceCreated,stat_errorLeadToAShot,player_sofascoreId
11406775,home,Sassuolo,Andrea Consigli,andrea-consigli,A. Consigli,G,189,262,M,38618,EUR,538704000,G,47,47,False,31.0,11.0,28.0,8.0,4.0,8.0,7.0,23.0,1.0,1.0,4.0,1.0,3.0,4.0,90.0,38.0,6.3,20.0,0.0104796,0,-0.5437,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11406775,home,Sassuolo,Jeremy Toljan,jeremy-toljan,J. Toljan,D,182,343,M,149606,EUR,776304000,D,22,22,False,3.0,2.0,1.0,,1.0,1.0,1.0,2.0,,1.0,1.0,,,,9.0,6.0,6.4,2.0,0.0018569,0,,22,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11406775,home,Sassuolo,Martin Erlić,martin-erlic,M. Erlić,D,192,1953,M,789234,EUR,885600000,D,5,5,False,12.0,7.0,4.0,,6.0,6.0,1.0,6.0,10.0,1.0,1.0,,,,90.0,26.0,6.7,5.0,0.00076892,0,,6,2.0,,2.0,2.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,
11406775,home,Sassuolo,Gian Marco Ferrari,gian-marco-ferrari,G. M. Ferrari,D,189,224,M,170887,EUR,705888000,D,13,13,False,18.0,13.0,3.0,,9.0,10.0,4.0,8.0,2.0,1.0,3.0,,,,90.0,24.0,6.2,5.0,0.0702684,0,,,3.0,,1.0,1.0,3.0,1.0,True,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,
11406775,home,Sassuolo,Mattia Viti,mattia-viti,M. Viti,D,190,528,M,1009268,EUR,1011830400,D,21,21,False,19.0,17.0,2.0,1.0,8.0,8.0,9.0,11.0,5.0,,2.0,,,,90.0,35.0,6.7,4.0,0.00405521,0,,2,1.0,,,2.0,4.0,1.0,,1.0,2.0,,,,,2.0,1.0,,,,,,,,,,,,,,,,,
11406775,home,Sassuolo,Daniel Boloca,boloca-daniel,D. Boloca,M,185,442,M,882592,EUR,914284800,M,24,24,False,26.0,21.0,4.0,2.0,9.0,12.0,12.0,15.0,,,2.0,,,,77.0,35.0,6.5,8.0,0.0242562,0,,11,7.0,3.0,1.0,,4.0,,,2.0,2.0,,2.0,,,1.0,,1.0,1.0,2.0,1.0,,,,,,,,,,,,,
11406775,home,Sassuolo,Pedro Obiang,pedro-obiang,P. Obiang,M,192,280,M,46799,EUR,701654400,M,14,14,False,30.0,22.0,3.0,1.0,9.0,12.0,13.0,18.0,2.0,4.0,4.0,,,,90.0,41.0,6.8,8.0,0.0192166,0,,14,5.0,,,1.0,4.0,,,1.0,3.0,,4.0,,,3.0,,,,,1.0,,,,,,,,,,,,,
11406775,home,Sassuolo,Cristian Volpato,volpato-cristian,C. Volpato,M,187,875,M,1155625,EUR,1068854400,M,23,23,False,15.0,10.0,3.0,2.0,4.0,6.0,8.0,12.0,,,4.0,,,,45.0,28.0,6.4,11.0,0.185088,1,,7,9.0,5.0,1.0,,3.0,,,2.0,2.0,1.0,1.0,,,,,3.0,,,1.0,2.0,1.0,0.0452,0.1221,,,,,,,,,
11406775,home,Sassuolo,Kristian Thorstvedt,kristian-thorstvedt,K. Thorstvedt,M,187,1387,M,924973,EUR,921283200,M,42,42,False,17.0,11.0,,,3.0,4.0,8.0,13.0,,,1.0,,,,62.0,24.0,6.9,9.0,0.128315,1,,42,5.0,,4.0,2.0,5.0,,,,2.0,1.0,,,,2.0,2.0,,1.0,,1.0,,,0.0538,,1.0,1.0,,,,,,,
11406775,home,Sassuolo,Armand Laurienté,armand-lauriente,A. Laurienté,M,177,2531,M,932643,EUR,912729600,M,45,45,False,16.0,12.0,1.0,,3.0,3.0,9.0,15.0,,,4.0,,,,77.0,31.0,8.4,9.0,0.00790723,5,,45,1.0,1.0,,,4.0,,,,2.0,1.0,,,,1.0,2.0,2.0,1.0,1.0,,,3.0,0.9408,1.2878,,1.0,1.0,1.0,2.0,,,,
