match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,player_firstName,player_lastName,stat_totalCross,stat_aerialLost,stat_duelLost,stat_duelWon,stat_challengeLost,stat_totalContest,stat_shotOffTarget,stat_totalClearance,stat_interceptionWon,stat_wasFouled,stat_expectedGoals,captain,stat_aerialWon,stat_wonContest,stat_outfielderBlock,stat_totalTackle,stat_unsuccessfulTouch,stat_fouls,stat_accurateCross,stat_wonTackle,stat_keyPass,stat_dispossessed,stat_onTargetScoringAttempt,stat_hitWoodwork,stat_totalOffside,stat_expectedGoalsOnTarget,stat_bigChanceCreated,stat_bigChanceMissed,stat_blockedScoringAttempt,player_sofascoreId,stat_goodHighClaim,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_errorLeadToAShot
12499407,home,FC Augsburg,Finn Dahmen,finn-dahmen,F. Dahmen,G,1,188,564,M,822564,EUR,890956800,G,1,1,False,51.0,45.0,15.0,9.0,0.0,37.0,37.0,8.0,14.0,9.0,1.0,3.0,90.0,62.0,7.5,6.0,0.00648268,0,0.7037,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12499407,home,FC Augsburg,Chrislain Matsima,chrislain-matsima,C. Matsima,D,5,192,662,M,963198,EUR,1021420800,D,5,5,False,63.0,56.0,3.0,1.0,0.0,36.0,37.0,20.0,27.0,9.0,,,90.0,75.0,7.3,9.0,0.0522161,1,,,,1.0,1.0,3.0,1.0,1.0,1.0,1.0,5.0,2.0,1.0,0.1639,,,,,,,,,,,,,,,,,,,,,,,
12499407,home,FC Augsburg,Jeffrey Gouweleeuw,jeffrey-gouweleeuw,J. Gouweleeuw,D,6,187,229,M,146853,EUR,679104000,D,6,6,False,76.0,66.0,9.0,4.0,0.0,50.0,53.0,16.0,24.0,5.0,,,90.0,87.0,7.3,11.0,0.0132494,1,,,,1.0,1.0,1.0,6.0,,1.0,1.0,4.0,1.0,1.0,0.0262,True,4.0,1.0,,,,,,,,,,,,,,,,,,,,
12499407,home,FC Augsburg,Cedric Zesiger,cedric-zesiger,C. Zesiger,D,16,191,349,M,798926,EUR,898646400,D,16,16,False,54.0,46.0,6.0,2.0,0.0,37.0,41.0,9.0,13.0,7.0,,,90.0,71.0,7.1,11.0,0.00806576,0,,,,,1.0,3.0,2.0,,1.0,,6.0,1.0,,,,1.0,,1.0,1.0,2.0,1.0,,,,,,,,,,,,,,,,
12499407,home,FC Augsburg,Marius Wolf,marius-wolf,M. Wolf,M,27,187,537,M,254119,EUR,801532800,M,11,11,False,41.0,35.0,1.0,1.0,0.0,12.0,13.0,24.0,32.0,2.0,,,90.0,67.0,7.6,12.0,0.0785154,0,,,,4.0,,,3.0,,1.0,,5.0,1.0,,,,,1.0,,2.0,1.0,,1.0,2.0,2.0,,,,,,,,,,,,,
12499407,home,FC Augsburg,Frank Onyeka,frank-onyeka,F. Onyeka,M,16,183,4634,M,885864,EUR,883612800,M,19,19,False,39.0,33.0,,,0.0,19.0,20.0,14.0,19.0,6.0,,,90.0,51.0,7.2,8.0,0.0329184,1,,,,,,4.0,6.0,1.0,,,,1.0,2.0,0.1186,,1.0,,,3.0,1.0,2.0,,3.0,,1.0,1.0,1.0,1.0,0.0587,,,,,,,,
12499407,home,FC Augsburg,Kristijan Jakić,kristijan-jakic,K. Jakić,M,17,181,2258,M,796206,EUR,863568000,M,17,17,False,25.0,21.0,2.0,1.0,0.0,7.0,8.0,14.0,18.0,4.0,,,78.0,38.0,7.0,9.0,0.0347346,1,,,,1.0,1.0,4.0,5.0,,1.0,,,2.0,1.0,0.0315,,2.0,,1.0,2.0,3.0,2.0,,1.0,,,1.0,,,0.0314,,,,,,,,
12499407,home,FC Augsburg,Dimitrios Giannoulis,dimitrios-giannoulis,D. Giannoulis,M,13,178,1037,M,354878,EUR,813888000,M,13,13,False,38.0,30.0,2.0,,0.0,10.0,12.0,24.0,32.0,5.0,,,90.0,68.0,6.9,18.0,0.670462,2,,,,6.0,2.0,8.0,3.0,1.0,2.0,2.0,2.0,1.0,1.0,0.3351,,,,,2.0,2.0,2.0,4.0,2.0,2.0,1.0,,,,,1.0,,,,,,,
12499407,home,FC Augsburg,Fredrik Jensen,fredrik-jensen,F. Jensen,M,97,183,325,M,846356,EUR,873763200,F,24,24,False,12.0,11.0,,,0.0,2.0,2.0,10.0,11.0,,,,62.0,22.0,6.8,4.0,0.200246,1,,,,1.0,1.0,3.0,2.0,,3.0,1.0,2.0,,,0.1676,,,2.0,,,2.0,1.0,1.0,,2.0,,,,,,,1.0,,,,,,
12499407,home,FC Augsburg,Alexis Claude-Maurice,alexis-claude-maurice,A. Claude-Maurice,F,20,174,897,M,822877,EUR,897091200,F,20,20,False,35.0,30.0,,,0.0,12.0,12.0,19.0,25.0,2.0,,,90.0,51.0,6.8,13.0,0.137219,1,,,,2.0,,7.0,2.0,2.0,1.0,,,,1.0,0.0188,,,,,1.0,4.0,3.0,1.0,1.0,1.0,2.0,,,,,1.0,,1.0,,,,,
12499407,home,FC Augsburg,Phillip Tietz,tietz-phillip,P. Tietz,F,20,190,467,M,822340,EUR,868406400,F,21,21,False,24.0,15.0,1.0,,0.0,2.0,5.0,13.0,19.0,2.0,,,74.0,34.0,6.9,13.0,0.0348842,4,,,,,2.0,6.0,6.0,,,1.0,,1.0,,0.4211,,6.0,,,,1.0,1.0,,,1.0,3.0,3.0,,,0.209,,1.0,,,,,,
12499407,home,FC Augsburg,Mert Kömür,mert-komur,M. Kömür,M,36,183,897,M,1390682,EUR,1121558400,M,36,36,True,7.0,6.0,,,0.0,2.0,2.0,5.0,6.0,,,,28.0,12.0,6.5,4.0,0.0364088,0,,,,1.0,,2.0,,,,,,,,,,,,,,1.0,1.0,1.0,,1.0,1.0,,,,,,,,,,,,
12499407,home,FC Augsburg,Steve Mounié,steve-mounie,S. Mounié,F,9,190,6022,M,345035,EUR,780796800,F,15,15,True,4.0,3.0,,,0.0,,,3.0,4.0,,,,16.0,8.0,6.4,2.0,0.00262493,1,,,,,2.0,2.0,3.0,,,1.0,,,1.0,0.2007,,2.0,,,,1.0,,,,,,,1.0,,,,1.0,,,,,,
