match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_sofascoreId,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_aerialWon,stat_duelWon,stat_ballRecovery,stat_goodHighClaim,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,player_firstName,player_lastName,captain,stat_totalCross,stat_accurateCross,stat_aerialLost,stat_duelLost,stat_totalContest,stat_totalClearance,stat_interceptionWon,stat_totalTackle,stat_unsuccessfulTouch,stat_fouls,stat_wonContest,stat_dispossessed,stat_bigChanceMissed,stat_shotOffTarget,stat_blockedScoringAttempt,stat_wasFouled,stat_expectedGoals,stat_keyPass,stat_challengeLost,stat_onTargetScoringAttempt,stat_outfielderBlock,stat_wonTackle,stat_expectedGoalsOnTarget,stat_bigChanceCreated,stat_ownGoals,stat_goals,stat_totalOffside,stat_savedShotsFromInsideTheBox,stat_saves,stat_goalsPrevented,stat_errorLeadToAShot,stat_clearanceOffLine
11368690,home,Athletic Club,Unai Simón,unai-simon,U. Simón,G,1,189,6832,M,unai_simon,797291,EUR,865987200,G,1,1,False,39.0,32.0,13.0,6.0,28.0,30.0,4.0,9.0,1.0,1.0,10.0,3.0,90.0,45.0,6.7,7.0,0.00104495,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11368690,home,Athletic Club,Óscar de Marcos,oscar-de-marcos,Ó. de Marcos,D,10,180,561,M,,52663,EUR,608515200,D,18,18,False,69.0,55.0,10.0,5.0,24.0,27.0,33.0,47.0,1.0,2.0,3.0,,90.0,99.0,6.7,20.0,0.038034,0,,,True,5.0,2.0,2.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,
11368690,home,Athletic Club,Daniel Vivian,daniel-vivian,D. Vivian,D,3,183,3110,M,,910978,EUR,931132800,D,3,3,False,95.0,80.0,8.0,2.0,54.0,61.0,26.0,34.0,4.0,5.0,3.0,,90.0,103.0,6.7,17.0,0.0103692,0,,,,,,1.0,1.0,1.0,2.0,1.0,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,
11368690,home,Athletic Club,Aitor Paredes,aitor-paredes,A. Paredes,D,4,186,1132,M,,959872,EUR,956966400,D,4,4,False,42.0,40.0,2.0,1.0,31.0,32.0,9.0,10.0,2.0,3.0,6.0,,45.0,50.0,6.4,3.0,0.0043179,0,,,,,,2.0,3.0,,2.0,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,
11368690,home,Athletic Club,Yuri Berchiche,yuri-berchiche,Y. Berchiche,D,17,181,1146,M,,84531,EUR,634608000,D,17,17,False,50.0,46.0,3.0,2.0,17.0,18.0,29.0,35.0,,4.0,2.0,,70.0,71.0,7.1,10.0,0.0875967,2,,,,3.0,,,2.0,1.0,1.0,,,,,1.0,2.0,1.0,1.0,1.0,3.0,0.2138,1.0,,,,,,,,,,,,,,
11368690,home,Athletic Club,Iñigo Ruiz de Galarreta,inigo-ruiz-de-galarreta,I. R. d. Galarreta,M,16,174,944,M,,96365,EUR,744595200,M,16,16,False,61.0,52.0,3.0,2.0,19.0,23.0,33.0,38.0,1.0,6.0,6.0,,90.0,69.0,7.2,9.0,0.0341115,1,,,,,,2.0,6.0,1.0,,,3.0,,3.0,1.0,,,,,1.0,0.02,,1.0,1.0,1.0,2.0,0.0314,,,,,,,,,
11368690,home,Athletic Club,Unai Gómez,unai-gomez,U. Gómez,M,20,183,803,M,,1391375,EUR,1053820800,M,30,30,False,23.0,21.0,,,6.0,7.0,18.0,21.0,1.0,4.0,1.0,,63.0,40.0,6.9,8.0,0.166508,1,,,,5.0,3.0,,6.0,1.0,,,1.0,,1.0,,3.0,,,1.0,2.0,0.0318,2.0,1.0,,,,,1.0,,,,,,,,
11368690,home,Athletic Club,Iñaki Williams,inaki-williams,I. Williams,M,9,186,20741,M,IñakiWill,783374,EUR,771638400,M,9,9,False,45.0,35.0,,,6.0,6.0,30.0,42.0,1.0,7.0,2.0,,90.0,75.0,6.7,20.0,0.136248,4,,,,3.0,1.0,2.0,11.0,8.0,2.0,2.0,2.0,1.0,,2.0,1.0,,1.0,2.0,2.0,0.1704,,2.0,1.0,,2.0,0.0642,,1.0,,,,,,,
11368690,home,Athletic Club,Oihan Sancet,oihan-sancet,O. Sancet,M,8,188,3356,M,,966801,EUR,956620800,M,8,8,False,24.0,17.0,,,4.0,6.0,13.0,19.0,,3.0,4.0,,63.0,38.0,7.0,15.0,0.136792,1,,,,1.0,,,1.0,,,1.0,1.0,6.0,,,1.0,1.0,1.0,,2.0,0.2416,2.0,,,,,,1.0,,,,,,,,
11368690,home,Athletic Club,Nico Williams,nico-williams,N. Williams,M,10,180,84836,M,NicoWill,1085400,EUR,1026432000,M,11,11,False,35.0,23.0,2.0,2.0,4.0,4.0,22.0,39.0,1.0,8.0,3.0,,90.0,64.0,7.5,23.0,0.307269,1,,,,8.0,3.0,,4.0,9.0,,,1.0,1.0,,6.0,1.0,,,,,0.027,1.0,,1.0,,,0.1891,,,,,,,,,
