match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,captain,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_goodHighClaim,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_totalCross,stat_aerialWon,stat_duelLost,stat_duelWon,stat_challengeLost,stat_dispossessed,stat_totalContest,stat_wonContest,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_fouls,stat_keyPass,stat_aerialLost,stat_bigChanceMissed,stat_onTargetScoringAttempt,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_clearanceOffLine,stat_outfielderBlock,stat_wasFouled,stat_unsuccessfulTouch,stat_totalOffside,stat_blockedScoringAttempt,stat_accurateCross,stat_bigChanceCreated,stat_shotOffTarget,stat_hitWoodwork,stat_goals,stat_savedShotsFromInsideTheBox,stat_saves,stat_errorLeadToAShot
12451023,home,Saint-Étienne,Gautier Larsonneur,,,gautier-larsonneur,G. Larsonneur,G,30,181,266,M,810526,EUR,856656000,G,30,30,False,True,38.0,19.0,26.0,8.0,0.0,12.0,13.0,7.0,25.0,1.0,6.0,3.0,1.0,1.0,90.0,43.0,6.6,19.0,0.00087078,0,-0.1211,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12451023,home,Saint-Étienne,Dennis Appiah,,,dennis-appiah,D. Appiah,D,8,179,168,M,123164,EUR,708048000,D,8,8,False,,33.0,24.0,5.0,3.0,0.0,10.0,13.0,14.0,21.0,2.0,3.0,,,,90.0,53.0,6.9,14.0,0.210396,0,,1.0,2.0,4.0,4.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,,,,,,,,,,,,,,,,,,,
12451023,home,Saint-Étienne,Dylan Batubinsika,,,dylan-batubinsika,D. Batubinsika,D,28,184,4399,M,352912,EUR,824342400,D,21,21,False,,43.0,38.0,5.0,1.0,0.0,33.0,35.0,5.0,8.0,9.0,4.0,,,,90.0,58.0,7.0,5.0,0.00160413,1,,,2.0,2.0,2.0,,,,,4.0,,,,,2.0,1.0,1.0,0.2296,0.1186,,,,,,,,,,,,,,
12451023,home,Saint-Étienne,Mickael Nade,,,mickael-nade,M. Nade,D,3,186,169,M,865847,EUR,920505600,D,3,3,False,,41.0,32.0,7.0,1.0,0.0,29.0,32.0,3.0,9.0,3.0,5.0,,,,90.0,61.0,8.1,9.0,0.00145637,0,,,2.0,1.0,11.0,,,,,1.0,6.0,5.0,1.0,,,,,,,1.0,3.0,3.0,,,,,,,,,,,
12451023,home,Saint-Étienne,Léo Pétrot,,,leo-petrot,L. Pétrot,D,21,188,232,M,827504,EUR,861062400,D,19,19,False,,29.0,21.0,3.0,2.0,1.0,14.0,18.0,7.0,11.0,7.0,4.0,,,,88.0,57.0,7.2,13.0,0.13285,0,,,2.0,7.0,7.0,,1.0,1.0,1.0,2.0,4.0,1.0,2.0,1.0,4.0,,,,,,,,1.0,,,,,,,,,,
12451023,home,Saint-Étienne,Aimen Moueffek,,,aimen-moueffek,A. Moueffek,M,29,179,760,M,990227,EUR,986774400,M,29,29,False,,20.0,14.0,2.0,,0.0,9.0,12.0,5.0,8.0,2.0,4.0,,,,78.0,32.0,6.8,8.0,0.00389087,0,,,1.0,6.0,2.0,1.0,,,,1.0,1.0,,2.0,,4.0,,,,,1.0,1.0,,2.0,2.0,,,,,,,,,
12451023,home,Saint-Étienne,Pierre Ekwah,,,pierre-ekwah,P. Ekwah,M,4,187,490,M,996908,EUR,1011052800,M,4,4,False,,33.0,26.0,5.0,1.0,0.0,17.0,19.0,9.0,14.0,1.0,3.0,,,,90.0,43.0,6.9,7.0,0.00460923,0,,,1.0,1.0,5.0,,,,,2.0,3.0,2.0,1.0,,,,,,,,1.0,1.0,,,,,,,,,,,
12451023,home,Saint-Étienne,Mathis Amougou,,,mathis-amougou,M. Amougou,M,17,177,3772,M,1426224,EUR,1137542400,M,37,37,False,,19.0,15.0,1.0,,0.0,11.0,13.0,4.0,6.0,,3.0,,,,78.0,36.0,6.9,8.0,0.00291156,1,,,1.0,4.0,5.0,,2.0,2.0,1.0,5.0,3.0,2.0,,,1.0,,,0.0511,,,,,1.0,,1.0,,,,,,,,
12451023,home,Saint-Étienne,Benjamin Old,Benjamin Old,,benjamin-old,B. Old,M,11,172,236,M,1122425,EUR,1029196800,F,11,11,False,,7.0,6.0,,,0.0,3.0,3.0,4.0,11.0,1.0,3.0,,,,70.0,30.0,7.0,12.0,0.262104,3,,7.0,,4.0,4.0,1.0,1.0,3.0,2.0,,,,1.0,2.0,,1.0,1.0,0.5791,0.1793,,,2.0,1.0,,2.0,1.0,1.0,,,,,,
12451023,home,Saint-Étienne,Ibrahim Sissoko,,,ibrahim-sissoko,I. Sissoko,F,9,190,964,M,914738,EUR,817430400,F,9,9,False,,17.0,10.0,1.0,1.0,1.0,3.0,4.0,7.0,13.0,2.0,3.0,,,,78.0,36.0,7.0,14.0,0.165661,3,,,3.0,13.0,7.0,1.0,2.0,3.0,1.0,,1.0,1.0,,2.0,8.0,1.0,,0.6399,,,,2.0,3.0,1.0,,,,3.0,,,,,
