match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_penaltyFaced,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,player_firstName,player_lastName,captain,stat_totalCross,stat_accurateCross,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_totalContest,stat_totalClearance,stat_outfielderBlock,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_fouls,stat_unsuccessfulTouch,stat_penaltyConceded,stat_onTargetScoringAttempt,stat_lastManTackle,stat_wasFouled,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_challengeLost,stat_dispossessed,stat_wonContest,stat_blockedScoringAttempt,stat_keyPass,stat_shotOffTarget,stat_goals,stat_totalOffside,player_sofascoreId,stat_penaltyWon
12448346,home,FC Groningen,Etienne Vaessen,etienne-vaessen,E. Vaessen,G,1,187,465,M,809408,EUR,806716800,G,1,1,False,38.0,13.0,31.0,9.0,0.0,8.0,12.0,5.0,26.0,11.0,2.0,1.0,1.0,1.0,90.0,44.0,6.5,25.0,0.00395241,0,0.3303,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12448346,home,FC Groningen,Marco Rente,marco-rente,M. Rente,D,5,185,163,M,827103,EUR,856828800,D,5,5,False,39.0,28.0,2.0,1.0,0.0,12.0,13.0,17.0,28.0,5.0,,,,,90.0,67.0,7.2,13.0,0.0374596,0,,,,True,2.0,1.0,1.0,6.0,4.0,8.0,1.0,5.0,2.0,1.0,2.0,1.0,2.0,,,,,,,,,,,,,,,,,
12448346,home,FC Groningen,Hjalmar Ekdal,hjalmar-ekdal,H. Ekdal,D,18,187,547,M,875360,EUR,908928000,D,4,4,False,34.0,27.0,3.0,2.0,0.0,19.0,20.0,8.0,14.0,3.0,,,,,90.0,56.0,7.2,8.0,0.00197075,0,,,,,,,3.0,3.0,4.0,5.0,,16.0,,1.0,2.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,
12448346,home,FC Groningen,Thijmen Blokzijl,thijmen-blokzijl,T. Blokzijl,D,3,181,296,M,1121401,EUR,1109289600,D,3,3,False,44.0,35.0,3.0,3.0,0.0,28.0,28.0,7.0,16.0,8.0,,,,,90.0,59.0,6.8,10.0,0.00582253,0,,Thijmen Blokzijl,,,,,2.0,7.0,4.0,7.0,1.0,11.0,,2.0,,,1.0,,1.0,,,,,,,,,,,,,,,
12448346,home,FC Groningen,Wouter Prins,wouter-prins,W. Prins,D,2,173,77,M,1481249,EUR,1076025600,D,2,2,False,22.0,13.0,4.0,2.0,0.0,5.0,7.0,8.0,17.0,1.0,,,,,90.0,61.0,7.1,19.0,0.0273582,1,,,,,2.0,,4.0,3.0,8.0,7.0,2.0,7.0,,3.0,3.0,2.0,2.0,1.0,,1.0,1.0,1.0,0.0844,0.0424,,,,,,,,,,
12448346,home,FC Groningen,Tika de Jonge,tika-de-jonge,T. d. Jonge,M,8,182,103,M,1121402,EUR,1047340800,M,18,18,False,40.0,29.0,5.0,3.0,0.0,15.0,19.0,14.0,22.0,7.0,,,,,89.0,68.0,6.6,24.0,0.008703,1,,Tika de Jonge,,,1.0,,2.0,3.0,10.0,11.0,11.0,3.0,,,3.0,2.0,,5.0,,,,,0.0181,,1.0,1.0,5.0,1.0,,,,,,
12448346,home,FC Groningen,Stije Resink,stije-resink,S. Resink,M,6,186,608,M,1090328,EUR,1053993600,M,6,6,False,42.0,30.0,4.0,3.0,0.0,13.0,17.0,18.0,26.0,4.0,,,,,90.0,58.0,7.4,15.0,0.0803952,0,,Stije Resink,,,1.0,1.0,1.0,3.0,3.0,9.0,6.0,,1.0,,1.0,1.0,,1.0,,,,,,,,1.0,5.0,,1.0,,,,,
12448346,home,FC Groningen,Mats Seuntjens,mats-seuntjens,M. Seuntjens,M,20,187,138,M,163541,EUR,703468800,M,20,20,False,17.0,14.0,2.0,2.0,0.0,5.0,5.0,11.0,16.0,2.0,,,,,69.0,30.0,6.7,11.0,0.114817,0,,,,,4.0,2.0,1.0,,4.0,2.0,,,,,1.0,,2.0,2.0,,,,1.0,,,,1.0,,,1.0,,,,,
12448346,home,FC Groningen,Luciano Valente,luciano-valente,L. Valente,M,10,189,1455,M,1121400,EUR,1065225600,M,10,10,False,28.0,25.0,3.0,3.0,0.0,6.0,7.0,19.0,21.0,8.0,,,,,89.0,54.0,6.7,16.0,0.0259292,2,,Luciano Valente,,,,,1.0,,9.0,5.0,9.0,,,,,,1.0,6.0,,1.0,,3.0,0.1278,0.0306,,,2.0,1.0,,,,,,
12448346,home,FC Groningen,Dave Kwakman,dave-kwakman,D. Kwakman,M,23,186,255,M,1146002,EUR,1091836800,M,16,16,False,30.0,24.0,2.0,1.0,0.0,11.0,12.0,13.0,19.0,5.0,,,,,90.0,50.0,7.0,12.0,0.0146941,1,,,,,1.0,,3.0,2.0,7.0,6.0,5.0,1.0,,1.0,1.0,1.0,,,,,,4.0,0.0923,,,,1.0,,1.0,1.0,,,,
12448346,home,FC Groningen,Thom van Bergen,thom-van-bergen,T. v. Bergen,F,26,180,457,M,1413536,EUR,1073347200,F,26,26,False,30.0,21.0,1.0,,0.0,4.0,6.0,17.0,24.0,6.0,,,,,90.0,45.0,7.3,18.0,0.0300958,1,,Thom van Bergen,,,,,3.0,4.0,7.0,6.0,2.0,,,,1.0,1.0,2.0,7.0,,1.0,,1.0,0.8154,0.9737,,,,,,,1.0,1.0,,
12448346,home,FC Groningen,Jorg Schreuders,jorg-schreuders,J. Schreuders,M,14,177,234,M,1424404,EUR,1094688000,M,14,14,True,9.0,7.0,,,0.0,,1.0,7.0,8.0,,,,,,21.0,16.0,6.5,6.0,0.00477905,0,,Jorg Schreuders,,,,,1.0,1.0,4.0,3.0,1.0,,,,,,1.0,3.0,,,,1.0,,,1.0,1.0,1.0,,,,,,,
12448346,home,FC Groningen,Leandro Bacuna,leandro-bacuna,L. Bacuna,D,8,187,435,M,74545,EUR,682732800,D,7,7,True,3.0,2.0,1.0,,0.0,,,2.0,4.0,,,,,,8.0,6.0,6.5,3.0,0.00261102,0,,,,,1.0,,1.0,,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,
12448346,home,FC Groningen,Romano Postema,romano-postema,R. Postema,F,9,175,255,M,992569,EUR,1013040000,F,29,29,True,,,,,0.0,,,,,,,,,,8.0,1.0,6.5,,,0,,,,,,,2.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,
12448346,home,FC Groningen,Jasper Meijster,jasper-meijster,J. Meijster,G,21,188,47,M,1195755,EUR,1104710400,G,31,31,True,,,,,,,,,,,,,,,,,,,,0,,Jasper Meijster,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12448346,home,FC Groningen,Hidde Jurjus,hidde-jurjus,H. Jurjus,G,21,187,69,M,339941,EUR,760752000,G,21,21,True,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12448346,home,FC Groningen,Finn Stam,finn-stam,F. Stam,D,3,188,79,M,1125984,EUR,1050192000,D,22,22,True,,,,,,,,,,,,,,,,,,,,0,,Finn Stam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12448346,home,FC Groningen,Maxim Mariani,mariani-maxim,M. Mariani,D,14,185,45,M,1446119,EUR,1099440000,D,36,36,True,,,,,,,,,,,,,,,,,,,,0,,Maxim,Mariani,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12448346,home,FC Groningen,David van der Werff,david-van-der-werff,D. v. d. Werff,M,17,180,88,M,1878212,EUR,1093910400,M,46,46,True,,,,,,,,,,,,,,,,,,,,0,,David van der Werff,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12448346,home,FC Groningen,Thijs Oosting,thijs-oosting,T. Oosting,M,25,176,133,M,876233,EUR,957225600,M,25,25,True,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12448346,home,FC Groningen,Noam Emeran,noam-emeran,N. Emeran,F,23,179,445,M,1069509,EUR,1032825600,F,11,11,True,,,,,,,,,,,,,,,,,,,,0,,Noam Emeran,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12448346,home,FC Groningen,Alex Mortensen,alex-mortensen,A. Mortensen,F,,175,46,M,1093224,EUR,1026518400,F,33,33,True,,,,,,,,,,,,,,,,,,,,0,,Alex Mortensen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12448346,home,FC Groningen,Rui Mendes,rui-mendes,R. Mendes,F,27,180,126,M,940979,EUR,942192000,F,27,27,True,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12448346,away,FC Twente,Lars Unnerstall,lars-unnerstall,L. Unnerstall,G,1,198,265,M,94835,EUR,648432000,G,1,1,False,43.0,34.0,16.0,7.0,0.0,31.0,35.0,3.0,8.0,10.0,,1.0,,3.0,90.0,50.0,6.9,9.0,0.00079865,0,0.0467,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12448346,away,FC Twente,Bart van Rooij,bart-van-rooij,B. v. Rooij,D,28,174,343,M,946506,EUR,990835200,D,28,28,False,60.0,49.0,12.0,7.0,0.0,37.0,44.0,13.0,19.0,3.0,,,,,90.0,97.0,7.0,15.0,0.045106,1,,,,,3.0,1.0,4.0,2.0,5.0,10.0,1.0,4.0,,,5.0,3.0,2.0,,,,,3.0,0.0494,,,,,1.0,,,,,,
12448346,away,FC Twente,Mees Hilgers,mees-hilgers,M. Hilgers,D,2,185,8875,M,1014288,EUR,989712000,D,2,2,False,61.0,55.0,5.0,1.0,0.0,45.0,48.0,10.0,13.0,5.0,,,,,90.0,77.0,6.9,7.0,0.00630078,0,,,,,,,1.0,1.0,7.0,9.0,,3.0,,,8.0,6.0,2.0,,,,,,,,4.0,,,,,,,,meeshilgerss,
12448346,away,FC Twente,Gustaf Lagerbielke,gustaf-lagerbielke,G. Lagerbielke,D,14,193,475,M,965263,EUR,955324800,D,3,3,False,89.0,72.0,17.0,10.0,0.0,53.0,60.0,19.0,29.0,8.0,,,,,90.0,114.0,8.4,18.0,0.11342,0,,,,,,,1.0,4.0,1.0,9.0,,15.0,1.0,,2.0,2.0,,1.0,,,,3.0,,,,,,,,,,,,1.0
12448346,away,FC Twente,Bas Kuipers,bas-kuipers,B. Kuipers,D,25,180,146,M,339879,EUR,777081600,D,5,5,False,34.0,28.0,6.0,2.0,0.0,19.0,19.0,9.0,17.0,3.0,,,,,69.0,52.0,6.6,10.0,0.00866168,0,,,,,2.0,,1.0,2.0,5.0,5.0,,2.0,1.0,,1.0,,2.0,,,,,2.0,,,1.0,1.0,,,,,,1.0,,
12448346,away,FC Twente,Michel Vlap,michel-vlap,M. Vlap,M,14,189,423,M,798181,EUR,865209600,M,18,18,False,50.0,44.0,10.0,5.0,0.0,28.0,30.0,17.0,22.0,7.0,,,,,69.0,66.0,6.6,12.0,0.0562132,1,,,,,2.0,1.0,2.0,,3.0,2.0,,1.0,,2.0,2.0,,,4.0,,,,,0.0187,,,1.0,,,,1.0,,,,
12448346,away,FC Twente,Michal Sadílek,michal-sadilek,M. Sadílek,M,23,168,329,M,825731,EUR,928108800,M,23,23,False,58.0,44.0,8.0,3.0,0.0,25.0,29.0,19.0,30.0,7.0,,,,,90.0,77.0,6.8,19.0,0.0176221,0,,,,,1.0,,4.0,,8.0,7.0,,2.0,,,6.0,3.0,2.0,3.0,,,,1.0,,,2.0,,,,1.0,,,,,
