match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,captain,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,player_firstName,player_lastName,stat_totalCross,stat_aerialLost,stat_duelLost,stat_duelWon,stat_totalContest,stat_wonContest,stat_interceptionWon,stat_wasFouled,stat_fouls,stat_aerialWon,stat_totalClearance,stat_outfielderBlock,stat_totalTackle,stat_accurateCross,stat_wonTackle,stat_unsuccessfulTouch,stat_keyPass,stat_challengeLost,stat_shotOffTarget,stat_expectedGoals,stat_blockedScoringAttempt,stat_dispossessed,stat_hitWoodwork,stat_totalOffside,stat_onTargetScoringAttempt,stat_expectedGoalsOnTarget,stat_bigChanceMissed,stat_bigChanceCreated
12376683,home,Cuiabá,Walter,walter,Walter,G,22,188,774,M,329055,EUR,564192000,G,1,1,False,True,22.0,18.0,6.0,2.0,0.0,16.0,16.0,2.0,6.0,13.0,1.0,1.0,4.0,90.0,35.0,7.6,4.0,0.00018009,0,0.4919,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12376683,home,Cuiabá,Railan,railan,Railan,M,2,185,87,M,1047213,EUR,952646400,D,21,21,False,,25.0,21.0,4.0,3.0,0.0,12.0,14.0,9.0,12.0,6.0,,,,45.0,36.0,6.8,6.0,0.0116058,0,,,,1.0,2.0,3.0,4.0,3.0,3.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,
12376683,home,Cuiabá,Marllon,marllon,Marllon,D,3,184,365,M,221206,EUR,703382400,D,4,4,False,,73.0,65.0,4.0,3.0,0.0,49.0,53.0,16.0,20.0,3.0,,,,90.0,84.0,7.3,8.0,0.0113694,0,,,,,5.0,6.0,4.0,,,5.0,,2.0,3.0,3.0,1.0,1.0,,,,,,,,,,,,,,,
12376683,home,Cuiabá,Alan Empereur,alan-empereur,A. Empereur,D,33,186,199,M,373740,EUR,763257600,D,33,33,False,,80.0,70.0,17.0,11.0,0.0,41.0,45.0,29.0,35.0,1.0,,,,90.0,87.0,7.4,10.0,0.0358325,0,,,,,,,2.0,,,1.0,1.0,,1.0,3.0,,,,,,,,,,,,,,,,,
12376683,home,Cuiabá,Ramon,ramon,Ramon,D,13,176,862,M,980761,EUR,984441600,D,23,23,False,,34.0,29.0,1.0,,0.0,14.0,15.0,16.0,23.0,5.0,,,,90.0,54.0,7.1,13.0,0.0935153,0,,,,4.0,,3.0,7.0,1.0,,1.0,3.0,3.0,1.0,,,3.0,1.0,2.0,2.0,1.0,,,,,,,,,,,
12376683,home,Cuiabá,Fernando Sobral,fernando-sobral,F. Sobral,M,88,178,655,M,931479,EUR,787708800,M,88,88,False,,45.0,38.0,5.0,5.0,0.0,14.0,15.0,25.0,34.0,3.0,,,,68.0,59.0,7.1,11.0,0.025741,1,,,,4.0,2.0,6.0,2.0,1.0,1.0,,,2.0,,,,1.0,1.0,1.0,1.0,1.0,2.0,1.0,0.0183,,,,,,,,
12376683,home,Cuiabá,Lucas Mineiro,lucas-mineiro,L. Mineiro,M,8,188,116,M,840077,EUR,825120000,M,30,30,False,,33.0,28.0,2.0,1.0,0.0,15.0,15.0,13.0,18.0,3.0,,,,90.0,44.0,6.9,6.0,0.0114181,1,,,,,,3.0,7.0,,,,,2.0,2.0,3.0,,5.0,,3.0,1.0,,1.0,,0.0505,1.0,,,,,,,
12376683,home,Cuiabá,Eliel,eliel,Eliel,F,22,175,94,M,1391413,EUR,1043539200,M,11,11,False,,4.0,1.0,,,0.0,1.0,1.0,,3.0,2.0,,,,58.0,14.0,6.4,8.0,2.759e-05,0,,Eliel,,,2.0,6.0,4.0,1.0,,,1.0,1.0,2.0,1.0,,1.0,,1.0,2.0,,2.0,,,,1.0,,,,,,
12376683,home,Cuiabá,Max,max,Max,M,8,187,253,M,1105838,EUR,989539200,M,10,10,False,,21.0,15.0,,,0.0,7.0,8.0,8.0,19.0,,,,,90.0,46.0,6.8,18.0,0.0116044,1,,Max,,6.0,4.0,10.0,4.0,,,2.0,,4.0,3.0,2.0,1.0,1.0,,1.0,5.0,1.0,2.0,1.0,0.0223,,1.0,,,,,,
12376683,home,Cuiabá,Clayson,clayson,Clayson,M,29,166,372,M,811308,EUR,795571200,M,25,25,False,,25.0,19.0,3.0,1.0,0.0,8.0,8.0,11.0,19.0,2.0,,,,68.0,40.0,6.7,10.0,0.0469098,3,,,,2.0,,5.0,4.0,3.0,1.0,,3.0,1.0,,1.0,,,,,,,2.0,2.0,0.1176,1.0,,,,,,,
