match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_sofascoreId,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_minutesPlayed,stat_touches,stat_rating,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,player_firstName,player_lastName,stat_totalCross,stat_duelLost,stat_duelWon,stat_challengeLost,stat_dispossessed,stat_totalContest,stat_wonContest,stat_shotOffTarget,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_fouls,stat_possessionLostCtrl,stat_expectedGoals,stat_outfielderBlock,stat_aerialWon,stat_keyPass,stat_aerialLost,stat_blockedScoringAttempt,captain,stat_accurateCross,stat_bigChanceCreated,stat_onTargetScoringAttempt,stat_goals,stat_wasFouled,stat_expectedGoalsOnTarget,stat_bigChanceMissed,stat_hitWoodwork,stat_totalOffside
12437861,home,Real Madrid,Thibaut Courtois,thibaut-courtois,T. Courtois,G,1,200,202673,M,TheOctopus,70988,EUR,705542400,G,1,1,False,10.0,10.0,2.0,2.0,0.0,9.0,9.0,1.0,1.0,1.0,6.0,2.0,2.0,1.0,90.0,17.0,7.3,0.00010806,0,0.1755,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12437861,home,Real Madrid,Lucas Vázquez,lucas-vazquez,L. Vázquez,D,21,173,60349,M,LucasVaz91,255239,EUR,678326400,D,17,17,False,73.0,69.0,5.0,4.0,0.0,34.0,34.0,35.0,43.0,,6.0,,,,90.0,93.0,7.4,0.0366163,1,,,,4.0,5.0,5.0,2.0,1.0,2.0,1.0,1.0,1.0,4.0,3.0,3.0,1.0,13.0,0.0153,,,,,,,,,,,,,,,
12437861,home,Real Madrid,Raúl Asencio,raul-asencio,R. Asencio,D,17,184,117937,M,asencio,1156645,EUR,1045094400,D,35,35,False,55.0,53.0,1.0,1.0,0.0,43.0,44.0,10.0,11.0,3.0,2.0,,,,90.0,61.0,7.1,0.00258232,0,,,,,,,,,,,,,,,,,2.0,,1.0,,,,,,,,,,,,,,
12437861,home,Real Madrid,David Alaba,david-alaba,D. Alaba,D,4,180,93395,M,DAlaba,66492,EUR,709344000,D,4,4,False,49.0,45.0,4.0,1.0,0.0,32.0,33.0,13.0,16.0,2.0,1.0,,,,73.0,53.0,6.7,0.00777199,0,,,,,,,,,,,,,,,1.0,,5.0,,,,,,,,,,,,,,,,
12437861,home,Real Madrid,Ferland Mendy,ferland-mendy,F. Mendy,D,23,178,70735,M,FerMendy,792073,EUR,802569600,D,23,23,False,68.0,66.0,,,0.0,18.0,20.0,48.0,48.0,,4.0,,,,90.0,80.0,7.3,0.0325326,0,,,,,,1.0,,,,,,,,,,,2.0,,,1.0,1.0,,,,,,,,,,,,
12437861,home,Real Madrid,Aurélien Tchouaméni,aurelien-tchouameni,A. Tchouaméni,M,14,188,145918,M,ATchouaméni,859025,EUR,948931200,M,14,14,False,81.0,77.0,1.0,,0.0,30.0,31.0,47.0,50.0,6.0,2.0,,,,90.0,92.0,7.3,0.0369606,2,,,,,1.0,3.0,,,1.0,1.0,1.0,1.0,,,,,4.0,0.109,,2.0,,1.0,1.0,,,,,,,,,,
12437861,home,Real Madrid,Luka Modrić,luka-modric,L. Modrić,M,14,173,354764,M,LModric10,15466,EUR,495072000,M,10,10,False,112.0,103.0,10.0,7.0,0.0,27.0,27.0,78.0,89.0,2.0,2.0,,,,86.0,126.0,9.4,0.43896,2,,,,4.0,1.0,5.0,1.0,,1.0,1.0,1.0,1.0,2.0,2.0,1.0,,12.0,0.0795,,1.0,6.0,,,True,2.0,1.0,1.0,1.0,1.0,0.3344,,,
12437861,home,Real Madrid,Brahim Díaz,brahim-diaz,B. Díaz,M,21,170,258553,M,Brahim,835485,EUR,933638400,M,21,21,False,38.0,36.0,,,0.0,11.0,11.0,25.0,27.0,,2.0,,,,73.0,44.0,7.1,0.162358,0,,,,,1.0,3.0,,1.0,,,,1.0,,,1.0,,4.0,,,,,,,,,,,,3.0,,,,
12437861,home,Real Madrid,Rodrygo,rodrygo,Rodrygo,F,11,174,699716,M,Rodrygo,910536,EUR,978998400,M,11,11,False,58.0,56.0,3.0,3.0,0.0,9.0,9.0,47.0,51.0,1.0,5.0,,,,90.0,77.0,7.5,0.213706,5,,,,2.0,4.0,2.0,,,3.0,1.0,4.0,1.0,,,2.0,,8.0,0.4809,,,1.0,2.0,1.0,,,,,,1.0,,,,
12437861,home,Real Madrid,Kylian Mbappé,kylian-mbappe,K. Mbappé,F,10,178,1731608,M,KMbappé,826643,EUR,914112000,F,9,9,False,57.0,52.0,6.0,5.0,1.0,3.0,3.0,49.0,55.0,,,,,,90.0,74.0,7.9,0.667897,6,,,,1.0,5.0,5.0,,1.0,7.0,3.0,1.0,,,,,,11.0,0.8278,,1.0,5.0,,2.0,,,1.0,3.0,,1.0,0.6749,2.0,,
