match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_aerialWon,stat_duelWon,stat_totalClearance,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_totalShots,stat_duelLost,stat_challengeLost,stat_dispossessed,stat_totalTackle,stat_wonTackle,stat_aerialLost,stat_shotOffTarget,stat_fouls,captain,stat_totalContest,stat_wonContest,stat_blockedScoringAttempt,stat_outfielderBlock,stat_interceptionWon,stat_errorLeadToAGoal,stat_errorLeadToAShot,stat_totalOffside,stat_totalCross,stat_accurateCross,stat_bigChanceCreated,stat_unsuccessfulTouch,stat_wasFouled,stat_keyPass,stat_onTargetScoringAttempt,stat_goals,stat_lastManTackle,stat_bigChanceMissed,player_sofascoreId,stat_hitWoodwork
12624420,home,Al-Fateh,Nawaf Al-Aqidi,,,nawaf-al-aqidi,N. Al-Aqidi,G,1,188.0,1512,M,1014518,EUR,957916800,G,26,26,False,29.0,16.0,20.0,7.0,0.0,12.0,16.0,4.0,13.0,1.0,1.0,2.0,11.0,2.0,7.0,9.0,1.0,1.0,1.0,90.0,47.0,8.1,13.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12624420,home,Al-Fateh,Amaar Al Dohaim,,,amaar-al-dohaim,A. A. Dohaim,D,24,175.0,13,M,803055,EUR,746755200,D,24,24,False,26.0,17.0,6.0,3.0,0.0,10.0,15.0,7.0,11.0,1.0,5.0,5.0,2.0,,,,,,,81.0,41.0,6.8,10.0,0,2.0,1.0,1.0,4.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,
12624420,home,Al-Fateh,Jorge Fernandes,,,jorge-fernandes,J. Fernandes,D,44,193.0,146,M,814673,EUR,859939200,D,44,44,False,17.0,16.0,3.0,2.0,0.0,9.0,9.0,7.0,8.0,4.0,5.0,12.0,5.0,,,,,,,90.0,33.0,6.4,1.0,1,7.0,1.0,,1.0,,4.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,
12624420,home,Al-Fateh,Marwane Saadane,,,marwane-saadane,M. Saadane,D,17,185.0,1277,M,847714,EUR,695606400,D,17,17,False,26.0,17.0,11.0,5.0,0.0,7.0,11.0,10.0,15.0,2.0,3.0,8.0,9.0,,,,,,,90.0,45.0,6.2,9.0,1,6.0,1.0,,,,4.0,,1.0,True,1.0,1.0,1.0,4.0,4.0,1.0,1.0,1.0,,,,,,,,,,,,
12624420,home,Al-Fateh,Ahmed Al-Julaydan,,,al-julaydan-ahmed,A. Al-Jelidan,D,32,170.0,199,M,1475443,EUR,1078704000,M,42,42,False,20.0,12.0,4.0,1.0,1.0,3.0,5.0,11.0,18.0,,4.0,2.0,5.0,,,,,,,69.0,46.0,7.1,15.0,1,4.0,2.0,1.0,2.0,1.0,,,1.0,,1.0,1.0,1.0,,1.0,,,,3.0,2.0,1.0,1.0,1.0,1.0,,,,,,
12624420,home,Al-Fateh,Zaydou Youssouf,,,zaydou-youssouf,Z. Youssef,M,33,183.0,567,M,862194,EUR,931651200,M,33,33,False,30.0,24.0,7.0,4.0,0.0,13.0,13.0,12.0,19.0,,7.0,1.0,7.0,,,,,,,90.0,50.0,7.0,10.0,2,4.0,1.0,2.0,3.0,2.0,1.0,1.0,1.0,,2.0,2.0,1.0,,2.0,,,,2.0,1.0,,,2.0,2.0,,,,,,
12624420,home,Al-Fateh,Sofiane Bendebka,,,sofiane-bendebka,S. Bendebka,M,28,180.0,1218,M,845609,EUR,713318400,M,28,28,False,15.0,14.0,5.0,4.0,1.0,10.0,10.0,4.0,5.0,,5.0,,4.0,,,,,,,89.0,35.0,8.7,6.0,2,4.0,,3.0,4.0,1.0,,,1.0,,,,,1.0,1.0,,,,,,,2.0,1.0,2.0,2.0,2.0,,,,
12624420,home,Al-Fateh,Hussain Qasim,,,hussain-qasim,H. Qasim,D,12,179.0,18,M,948595,EUR,874800000,M,13,13,False,21.0,17.0,3.0,2.0,1.0,9.0,10.0,11.0,14.0,1.0,3.0,1.0,9.0,,,,,,,69.0,39.0,7.3,4.0,0,2.0,1.0,,2.0,,,,1.0,,,,,2.0,1.0,,,,3.0,3.0,,,,3.0,,,1.0,,,
12624420,home,Al-Fateh,Mourad Batna,,,batna-mourad,M. Batna,M,11,185.0,1192,M,880790,EUR,646444800,F,11,11,False,16.0,11.0,3.0,2.0,0.0,2.0,2.0,10.0,23.0,4.0,6.0,,2.0,,,,,,,90.0,43.0,7.8,22.0,5,6.0,,3.0,,,,2.0,1.0,,4.0,2.0,1.0,,,,,,9.0,1.0,1.0,4.0,,3.0,2.0,1.0,,,,
12624420,home,Al-Fateh,Matías Vargas,,,matias-vargas,M. Vargas,M,10,168.0,1157,M,796723,EUR,863049600,F,9,9,False,27.0,17.0,4.0,,0.0,7.0,7.0,11.0,22.0,,6.0,,6.0,,,,,,,90.0,56.0,5.8,21.0,7,7.0,2.0,3.0,3.0,,,3.0,,,5.0,3.0,2.0,,,,1.0,1.0,2.0,1.0,,4.0,,1.0,2.0,,,2.0,,
