match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_penaltyFaced,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalBallCarriesDistance,stat_ballCarriesCount,stat_totalProgression,stat_bestBallCarryProgression,stat_keeperSaveValue,stat_totalShots,stat_goalsPrevented,stat_passValueNormalized,stat_dribbleValueNormalized,stat_defensiveValueNormalized,stat_goalkeeperValueNormalized,stat_totalCross,stat_accurateCross,stat_aerialWon,stat_duelLost,stat_duelWon,stat_dispossessed,stat_totalContest,stat_wonContest,stat_bigChanceCreated,stat_onTargetScoringAttempt,stat_goals,stat_outfielderBlock,stat_interceptionWon,stat_unsuccessfulTouch,stat_wasFouled,stat_fouls,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_totalProgressiveBallCarriesDistance,stat_progressiveBallCarriesCount,stat_keyPass,stat_shotValueNormalized,stat_challengeLost,stat_blockedScoringAttempt,stat_totalTackle,stat_wonTackle,stat_errorLeadToAShot,player_firstName,player_lastName,stat_aerialLost,stat_shotOffTarget,captain,stat_totalOffside,player_sofascoreId,stat_penaltyConceded,stat_errorLeadToAGoal,stat_bigChanceMissed,stat_penaltyWon
14064467,home,Metz,Jonathan Fischer,jonathan-fischer,J. Fischer,G,1,197.0,267,M,1004550,EUR,999993600,G,1,1,False,31.0,26.0,7.0,2.0,0.0,24.0,26.0,2.0,5.0,1.0,5.0,3.0,1.0,5.0,2.0,2.0,90.0,42.0,6.0,6.0,0.00050161,90.99572242881,13.0,28.14,12.075,0.3563,0,-1.7789,-0.02,0.01,-0.52,-0.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14064467,home,Metz,Koffi Kouao,kouao-koffi,K. Kouao,D,39,173.0,315,M,867575,EUR,895622400,D,39,39,False,43.0,38.0,2.0,,1.0,25.0,27.0,13.0,16.0,1.0,4.0,,,,,,90.0,69.0,7.6,12.0,0.262476,220.79574628938,22.0,81.48,19.32,,2,,0.32,0.54,-0.83,,5.0,1.0,1.0,3.0,4.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0,0.4267,0.8782,75.624156110095,4.0,1.0,0.5,,,,,,,,,,,,,,,,
14064467,home,Metz,Jean-Philippe Gbamin,jean-philippe-gbamin,J. Gbamin,M,5,186.0,1191,M,326343,EUR,811987200,D,5,5,False,79.0,70.0,10.0,3.0,0.0,49.0,49.0,21.0,30.0,1.0,10.0,,,,,,90.0,90.0,5.5,12.0,0.0155217,284.27939190327,39.0,93.135,16.905,,1,,0.11,0.27,-1.0,,1.0,,2.0,3.0,3.0,,,,,,,,1.0,1.0,,1.0,0.0396,,43.071844285301,3.0,1.0,-0.04,2.0,1.0,1.0,1.0,1.0,,,,,,,,,,,
14064467,home,Metz,Terry Yegbe,terry-yegbe,T. Yegbe,D,15,195.0,357,M,1200442,EUR,980380800,D,15,15,False,35.0,31.0,3.0,1.0,0.0,26.0,28.0,5.0,7.0,3.0,2.0,,,,,,62.0,44.0,6.0,4.0,0.0309316,99.200273476372,13.0,-36.855,4.83,,0,,0.07,0.0,-0.41,,,,,2.0,1.0,,,,,,,1.0,,,1.0,1.0,,,,,,,1.0,,,,,Terry Yegbe,,,,,,,,,,
14064467,home,Metz,Maxime Colin,maxime-colin,M. Colin,D,2,179.0,51,M,128285,EUR,690163200,D,2,2,False,46.0,42.0,3.0,2.0,0.0,30.0,30.0,12.0,16.0,1.0,2.0,,,,,,78.0,56.0,5.5,6.0,0.0039494,101.06675875847,14.0,54.6,14.49,,0,,-0.01,0.04,-0.7,,,,1.0,3.0,1.0,1.0,1.0,,,,,,2.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,
14064467,home,Metz,Jessy Deminguet,jessy-deminguet,J. Deminguet,M,20,178.0,128,M,902657,EUR,884131200,M,20,20,False,36.0,33.0,3.0,2.0,0.0,21.0,22.0,12.0,14.0,,2.0,,,,,,62.0,41.0,6.6,4.0,0.0103743,92.426496222695,14.0,-30.87,3.465,,0,,0.0,0.04,-0.16,,,,,,2.0,,,,,,,,,1.0,1.0,,,,,,,,,,1.0,1.0,,,,,,,,,,,,
14064467,home,Metz,Alpha Touré,alpha-toure,A. Touré,M,12,180.0,636,M,1597191,EUR,1138147200,M,12,12,False,26.0,19.0,2.0,,0.0,15.0,18.0,4.0,8.0,1.0,,,,,,,62.0,31.0,6.1,9.0,0.00368978,64.728143579295,7.0,-20.685,4.095,,0,,-0.08,0.0,-0.26,,,,1.0,,1.0,,,,,,,,,2.0,,,,,,,,,,,,,,Alpha,Touré,,,,,,,,,
14064467,home,Metz,Boubacar Traoré,boubacar-traore,B. Traoré,M,8,183.0,1011,M,982613,EUR,998265600,M,8,8,False,39.0,35.0,1.0,1.0,0.0,15.0,16.0,20.0,23.0,,8.0,,,,,,90.0,60.0,7.0,11.0,0.0871684,188.36347926264,22.0,69.615,26.67,,4,,0.29,0.29,-0.28,,,,2.0,7.0,8.0,2.0,4.0,4.0,,,,,,3.0,,,0.1208,,47.65408624259,2.0,2.0,-0.06,2.0,2.0,2.0,,,,,3.0,2.0,,,,,,,
14064467,home,Metz,Gauthier Hein,gauthier-hein,G. Hein,M,10,170.0,632,M,842391,EUR,839376000,F,10,10,False,39.0,35.0,,,0.0,16.0,18.0,19.0,21.0,,4.0,,,,,,88.0,55.0,6.5,14.0,0.247511,117.58728954291,17.0,18.165,11.34,,2,,-0.08,0.26,-0.1,,7.0,1.0,,2.0,1.0,,,,,,,,1.0,3.0,,,0.0695,,,,3.0,0.01,1.0,2.0,1.0,1.0,,,,1.0,,True,1.0,,,,,
14064467,home,Metz,Habib Diallo,habib-diallo,H. Diallo,F,30,186.0,7542,M,802159,EUR,803433600,F,30,30,False,7.0,4.0,1.0,1.0,0.0,3.0,3.0,1.0,4.0,1.0,2.0,,,,,,90.0,17.0,7.5,5.0,0.00055935,69.27770266236,7.0,1.89,7.98,,4,,-0.09,0.18,0.13,,1.0,,2.0,3.0,3.0,,,,,2.0,1.0,,1.0,1.0,1.0,1.0,0.6016,0.3317,6.5622563954786,1.0,,0.45,,2.0,,,,,,2.0,,,2.0,habibdiallo28,,,,
14064467,home,Metz,Georgiy Tsitaishvili,giorgi-tsitaishvili,G. Tsitaishvili,M,7,171.0,1454,M,875677,EUR,974505600,F,7,7,False,25.0,17.0,2.0,1.0,0.0,8.0,9.0,9.0,16.0,1.0,2.0,,,,,,90.0,47.0,6.1,23.0,0.00613675,127.12816356516,15.0,47.04,19.95,,1,,-0.16,0.21,0.13,,8.0,,1.0,5.0,1.0,,4.0,,,1.0,,,,3.0,,1.0,0.0303,0.1242,33.598941291882,2.0,,-0.12,,,,,,,,,,,1.0,,,,,
14064467,home,Metz,Urie-Michel Mboula,urie-michel-mboula,U. Mboula,D,4,183.0,253,M,1397934,EUR,1051660800,D,4,4,True,17.0,15.0,2.0,1.0,0.0,6.0,7.0,9.0,10.0,,1.0,,,,,,28.0,28.0,6.6,5.0,0.0432491,46.996158910012,8.0,13.86,7.35,,0,,0.2,0.06,-0.22,,3.0,1.0,,2.0,3.0,,1.0,1.0,,,,,,1.0,,1.0,,,,,,,1.0,,2.0,1.0,,Urie-Michel Mboula,,,,,,,,,,
