match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_ownGoals,stat_savedShotsFromInsideTheBox,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_keeperSaveValue,stat_totalShots,stat_goalsPrevented,stat_passValueNormalized,stat_dribbleValueNormalized,stat_defensiveValueNormalized,stat_goalkeeperValueNormalized,stat_totalCross,stat_accurateCross,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_challengeLost,stat_onTargetScoringAttempt,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_wasFouled,stat_fouls,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_keyPass,stat_shotValueNormalized,stat_lastManTackle,stat_outfielderBlock,stat_totalOffside,stat_unsuccessfulTouch,stat_shotOffTarget,stat_blockedScoringAttempt,stat_hitWoodwork,stat_dispossessed,stat_totalContest,stat_wonContest,player_sofascoreId,stat_bigChanceMissed,captain,stat_bigChanceCreated
14109617,home,Kocaelispor,Aleksandar Jovanović,,,aleksandar-jovanovic,A. Jovanović,G,1,191.0,616,M,800971,EUR,723600000,G,1,1,False,40.0,22.0,31.0,13.0,0.0,11.0,13.0,11.0,27.0,1.0,9.0,1.0,4.0,5.0,1.0,1.0,90.0,48.0,7.4,18.0,0.00349609,0.4651,0,0.2145,0.07,0.0,-0.59,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14109617,home,Kocaelispor,Ahmet Oğuz,,,ahmet-oguz,A. Oğuz,D,22,175.0,117,M,603902,EUR,727142400,D,22,22,False,21.0,14.0,,,0.0,9.0,9.0,5.0,12.0,1.0,2.0,,,,,,86.0,35.0,6.6,10.0,0.0650471,,1,,0.17,0.07,-0.21,,4.0,1.0,1.0,2.0,4.0,4.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0064,0.0634,1.0,-0.05,,,,,,,,,,,,,,
14109617,home,Kocaelispor,Anfernee Dijksteel,,,anfernee-dijksteel,A. Dijksteel,D,2,183.0,242,M,869199,EUR,846374400,D,2,2,False,27.0,20.0,7.0,3.0,0.0,16.0,17.0,4.0,10.0,,3.0,,,,,,90.0,33.0,6.9,8.0,0.00473116,,0,,0.0,0.05,0.54,,,,1.0,,1.0,3.0,,,,2.0,1.0,1.0,,,,,,1.0,,,,,,,,,,,,,
14109617,home,Kocaelispor,Aaron Appindangoyé,,,aaron-appindangoye,A. Appindangoyé,D,2,185.0,333,M,785850,EUR,698544000,D,5,5,False,30.0,21.0,10.0,2.0,0.0,17.0,20.0,4.0,10.0,7.0,1.0,,,,,,90.0,41.0,6.1,9.0,0.00168927,,1,,0.06,0.01,-0.07,,,,5.0,3.0,7.0,3.0,,1.0,1.0,,,,2.0,0.0575,0.0561,,0.02,,1.0,1.0,,,,,,,,,,,
14109617,home,Kocaelispor,Massadio Haïdara,,,massadio-haidara,M. Haïdara,D,21,179.0,603,M,143344,EUR,723254400,D,21,21,False,30.0,24.0,1.0,,0.0,13.0,15.0,11.0,15.0,,4.0,,,,,,90.0,62.0,6.7,19.0,0.230517,,0,,0.29,0.03,-0.15,,9.0,3.0,1.0,3.0,4.0,4.0,,,,1.0,,1.0,3.0,,,3.0,,,,,1.0,,,,,,,,,,
14109617,home,Kocaelispor,Samet Yalçın,,,samet-yalcin,S. Yalçın,M,23,180.0,46,M,789102,EUR,762652800,M,23,23,False,3.0,3.0,,,0.0,1.0,1.0,2.0,2.0,,,,,,,,44.0,10.0,5.5,,0.00048167,,2,,-0.02,,0.16,,,,1.0,,2.0,,,,1.0,,,,1.0,0.1088,,,-0.26,,,,,1.0,1.0,1.0,,,,,,,
14109617,home,Kocaelispor,Show,,,show,Show,M,14,180.0,736,M,933115,EUR,920678400,M,14,14,False,20.0,13.0,2.0,,0.0,6.0,6.0,7.0,14.0,,3.0,,,,,,90.0,29.0,6.7,7.0,0.0041358,,1,,0.02,0.0,-0.04,,,,,2.0,2.0,6.0,,,2.0,1.0,,3.0,2.0,0.0386,,,-0.15,,,,,1.0,,,,,,,,,
14109617,home,Kocaelispor,Joseph Nonge,Joseph Nonge Boende,,joseph-nonge-boende,J. Nonge,M,98,184.0,695,M,1149138,EUR,1116115200,M,98,98,False,15.0,10.0,2.0,1.0,0.0,5.0,5.0,5.0,10.0,,4.0,,,,,,86.0,33.0,7.4,10.0,0.00789022,,0,,-0.06,0.26,-0.1,,,,1.0,,3.0,11.0,1.0,,1.0,,,5.0,,,,,,,,,4.0,,,,1.0,6.0,6.0,,,,
14109617,home,Kocaelispor,Oğulcan Çağlayan,,,ogulcan-caglayan,O. Çağlayan,F,17,188.0,196,M,387050,EUR,827452800,F,17,17,False,9.0,6.0,,,0.0,2.0,2.0,4.0,7.0,,1.0,,,,,,45.0,13.0,6.3,5.0,0.00926153,,2,,-0.11,0.06,-0.01,,,,2.0,3.0,3.0,3.0,,,,,,,1.0,0.1084,,,-0.29,,,1.0,1.0,2.0,,,1.0,,,,,,
14109617,home,Kocaelispor,Bruno Petković,,,bruno-petkovic,B. Petković,F,9,192.0,6175,M,309306,EUR,779673600,F,9,9,False,19.0,9.0,2.0,2.0,0.0,3.0,3.0,6.0,16.0,1.0,5.0,,,,,,90.0,41.0,7.4,17.0,0.00479632,,4,,-0.18,0.23,-0.03,,1.0,,7.0,7.0,10.0,15.0,2.0,2.0,,4.0,2.0,4.0,,0.2634,0.2361,,-0.08,,,,5.0,2.0,,1.0,1.0,,,brunopetkovic,1.0,,
