match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_totalCross,stat_accurateCross,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_challengeLost,stat_shotOffTarget,stat_onTargetScoringAttempt,stat_blockedScoringAttempt,stat_outfielderBlock,stat_interceptionWon,stat_totalTackle,stat_unsuccessfulTouch,stat_fouls,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_keyPass,stat_dispossessed,stat_wonTackle,stat_wasFouled,stat_totalContest,stat_wonContest,player_firstName,player_lastName,captain,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_punches,stat_clearanceOffLine,stat_totalOffside
12528267,home,Kasımpaşa,Andreas Gianniotis,andreas-gianniotis,A. Gianniotis,G,1,190.0,177,M,236746,EUR,724636800,G,1,1,False,22.0,20.0,6.0,4.0,0.0,18.0,20.0,2.0,2.0,1.0,12.0,1.0,1.0,1.0,90.0,31.0,7.1,2.0,0.00042778,0,0.0118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12528267,home,Kasımpaşa,Cláudio Winck,claudio-winck,C. Winck,D,2,183.0,184,M,155998,EUR,766368000,D,2,2,False,45.0,34.0,10.0,4.0,0.0,8.0,10.0,28.0,45.0,3.0,3.0,,,,90.0,76.0,7.9,20.0,0.217903,3,,10.0,2.0,3.0,4.0,7.0,5.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.1122,0.6453,5.0,,,,,,,,,,,,,
12528267,home,Kasımpaşa,Nicholas Opoku,nicholas-opoku,N. Opoku,D,20,190.0,508,M,885683,EUR,871257600,D,20,20,False,77.0,70.0,10.0,5.0,0.0,45.0,45.0,25.0,32.0,4.0,11.0,,,,90.0,90.0,7.3,9.0,0.0268534,0,,,,4.0,1.0,5.0,5.0,,,,,,1.0,3.0,1.0,,,,,1.0,3.0,1.0,,,,,,,,,,
12528267,home,Kasımpaşa,Yasin Özcan,yasin-ozcan,Y. Özcan,D,58,185.0,1802,M,1392102,EUR,1145491200,D,58,58,False,74.0,64.0,7.0,2.0,0.0,31.0,33.0,33.0,42.0,1.0,5.0,,,,89.0,84.0,7.5,12.0,0.0488541,1,,1.0,,,4.0,2.0,7.0,1.0,,1.0,,,2.0,1.0,1.0,1.0,0.0218,0.0494,1.0,,1.0,1.0,1.0,1.0,,,,,,,,
12528267,home,Kasımpaşa,Kévin Rodrigues,kevin-rodrigues,K. Rodrigues,D,77,169.0,248,M,234232,EUR,762825600,D,77,77,False,27.0,22.0,2.0,1.0,0.0,3.0,5.0,20.0,28.0,,3.0,,,,90.0,58.0,7.5,14.0,0.0145652,2,,6.0,1.0,1.0,1.0,5.0,8.0,1.0,1.0,1.0,,,,2.0,2.0,1.0,0.0737,0.0414,,1.0,2.0,4.0,2.0,1.0,,,,,,,,
12528267,home,Kasımpaşa,Gökhan Gül,gokhan-gul,G. Gül,M,17,180.0,107,M,797820,EUR,900633600,M,6,6,False,26.0,21.0,4.0,2.0,0.0,9.0,10.0,12.0,18.0,,3.0,,,,45.0,36.0,7.0,8.0,0.0729323,1,,2.0,,3.0,1.0,3.0,5.0,,,,1.0,,1.0,2.0,1.0,,0.0561,,,,1.0,1.0,1.0,1.0,,,,,,,,
12528267,home,Kasımpaşa,Mamadou Fall,mamadou-fall,M. Fall,M,7,184.0,380,M,822228,EUR,694137600,M,7,7,False,19.0,14.0,2.0,1.0,0.0,2.0,3.0,13.0,20.0,,2.0,,,,90.0,29.0,7.4,9.0,0.0413641,2,,4.0,1.0,1.0,2.0,1.0,4.0,,1.0,1.0,,,,2.0,,,0.1056,,2.0,,1.0,,,,,,,,,,,
12528267,home,Kasımpaşa,Antonín Barák,antonin-barak,A. Barák,M,72,190.0,779,M,330705,EUR,786412800,M,72,72,False,36.0,30.0,3.0,1.0,0.0,9.0,9.0,21.0,28.0,,5.0,,,,90.0,51.0,7.1,12.0,0.0470736,3,,1.0,,2.0,,6.0,2.0,1.0,1.0,1.0,1.0,,2.0,,2.0,,0.1224,0.1003,2.0,2.0,,2.0,1.0,,,,,,,,,
12528267,home,Kasımpaşa,Aytaç Kara,aytac-kara,A. Kara,M,35,188.0,161,M,128196,EUR,732844800,M,35,35,False,41.0,31.0,4.0,,0.0,7.0,9.0,24.0,34.0,1.0,2.0,,,,73.0,54.0,6.9,14.0,0.0417976,1,,2.0,,,2.0,2.0,4.0,,,1.0,,,1.0,1.0,1.0,1.0,0.0533,0.2021,2.0,1.0,,1.0,,,,,True,,,,,
12528267,home,Kasımpaşa,Haris Hajradinović,haris-hajradinovic,H. Hajradinović,M,10,179.0,1215,M,254979,EUR,761529600,M,10,10,False,61.0,52.0,6.0,5.0,0.0,15.0,16.0,38.0,53.0,,1.0,,,,90.0,82.0,7.5,17.0,0.230863,4,,8.0,1.0,1.0,,3.0,3.0,1.0,3.0,,1.0,,1.0,1.0,,,0.1353,,1.0,1.0,1.0,2.0,,,,,,,,,,
12528267,home,Kasımpaşa,Nuno Da Costa,nuno-da-costa,N. Da Costa,F,10,184.0,1004,M,209374,EUR,666144000,F,18,18,False,19.0,10.0,2.0,2.0,0.0,2.0,3.0,8.0,16.0,,1.0,,,,90.0,29.0,6.8,13.0,0.0473311,1,,,,3.0,2.0,5.0,4.0,,1.0,,,,,1.0,3.0,2.0,0.0334,,,1.0,,1.0,,,,,,,,,,
12528267,home,Kasımpaşa,Cafú,cafu,Cafú,M,8,185.0,212,M,110956,EUR,730684800,M,8,8,True,42.0,37.0,5.0,3.0,0.0,11.0,11.0,26.0,34.0,,4.0,,,,45.0,52.0,7.1,9.0,0.0649731,2,,3.0,,2.0,,4.0,3.0,,,,2.0,,,,,1.0,0.096,,1.0,1.0,,2.0,1.0,1.0,,,,,,,,
12528267,home,Kasımpaşa,Jhon Espinoza,espinoza-jhon,J. Espinoza,D,14,177.0,133,M,929098,EUR,919814400,D,14,14,True,13.0,7.0,1.0,,0.0,3.0,7.0,5.0,7.0,,3.0,,,,17.0,15.0,6.7,6.0,0.0382345,0,,1.0,1.0,1.0,2.0,1.0,3.0,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,
12528267,home,Kasımpaşa,Erdem Çetinkaya,erdem-cetinkaya,E. Çetinkaya,M,17,177.0,22,M,993902,EUR,985824000,F,11,11,True,3.0,2.0,,,0.0,1.0,1.0,1.0,2.0,,2.0,,,,9.0,6.0,6.6,3.0,0.00208265,0,,,,,,1.0,1.0,,,,,,,,1.0,,,,,,,1.0,1.0,,,,,,,,,
12528267,home,Kasımpaşa,Ali Emre Yanar,ali-emre-yanar,A. E. Yanar,G,25,190.0,31,M,840297,EUR,895190400,G,25,25,True,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12528267,home,Kasımpaşa,Kenneth Omeruo,kenneth-omeruo,K. Omeruo,D,,185.0,571,M,158293,EUR,750816000,D,4,4,True,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12528267,home,Kasımpaşa,Sadık Çiftpınar,sadik-ciftpinar,S. Çiftpınar,D,5,181.0,71,M,111811,EUR,725846400,D,5,5,True,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12528267,home,Kasımpaşa,Taylan Utku Aydın,aydin-taylan-utku,T. U. Aydın,D,29,180.0,50,M,1498789,EUR,1139529600,D,29,29,True,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12528267,home,Kasımpaşa,Yaman Suakar,yaman-suakar,Y. Suakar,M,15,,60,M,1907114,EUR,1235520000,M,15,15,True,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,Yaman Suakar,,,,,,,
12528267,home,Kasımpaşa,Loret Sadiku,loret-sadiku,L. Sadiku,M,,180.0,55,M,143356,EUR,680659200,M,26,26,True,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12528267,home,Kasımpaşa,Sinan Alkas,alkas-sinan,S. Alkas,F,,195.0,35,M,1548530,EUR,1162857600,F,23,23,True,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12528267,away,Bodrum FK,Diogo Sousa,diogo-sousa,D. Sousa,G,1,195.0,145,M,882110,EUR,905904000,G,1,1,False,39.0,17.0,35.0,13.0,0.0,5.0,8.0,12.0,31.0,3.0,12.0,5.0,,,90.0,50.0,8.1,22.0,0.00179621,0,1.0385,,,,2.0,,2.0,,,,,,,,,,,,,,,1.0,,,,,,1.0,2.0,2.0,,
12528267,away,Bodrum FK,Ondřej Čelůstka,ondrej-celustka,O. Čelůstka,D,,186.0,48,M,45764,EUR,614131200,D,33,33,False,8.0,3.0,3.0,,0.0,1.0,2.0,2.0,6.0,5.0,1.0,,,,76.0,31.0,6.5,9.0,0.002275,0,,,,1.0,1.0,2.0,1.0,,,,,,,,2.0,,,,,1.0,,,,,,,True,,,,,
12528267,away,Bodrum FK,Arlind Ajeti,arlind-ajeti,A. Ajeti,D,15,184.0,457,M,111746,EUR,748915200,D,15,15,False,12.0,6.0,7.0,4.0,0.0,3.0,6.0,3.0,6.0,8.0,2.0,,,,90.0,24.0,7.6,6.0,0.00339605,0,,,,,,1.0,,,,,,1.0,2.0,,,1.0,,,,,,,,,,,,,,,1.0,
12528267,away,Bodrum FK,Ali Aytemur,ali-aytemur,A. Aytemur,D,34,184.0,29,M,802650,EUR,828489600,D,34,34,False,21.0,11.0,6.0,,0.0,6.0,9.0,5.0,12.0,6.0,2.0,,,,90.0,34.0,7.0,11.0,0.00628916,0,,,,2.0,3.0,5.0,5.0,,,,,2.0,1.0,,,2.0,,,,1.0,,2.0,,,,,,,,,,
12528267,away,Bodrum FK,Cenk Şen,cenk-sen,C. Şen,D,77,170.0,45,M,957359,EUR,970444800,D,77,77,False,15.0,10.0,2.0,,0.0,7.0,10.0,3.0,5.0,1.0,3.0,,,,45.0,31.0,6.6,8.0,0.00171692,0,,,,,,2.0,,,,,,,4.0,,,,,,,,,,2.0,,,,,,,,,
12528267,away,Bodrum FK,Ahmet Aslan,ahmet-aslan,A. Aslan,M,21,179.0,23,M,1134098,EUR,993772800,M,21,21,False,15.0,7.0,5.0,3.0,0.0,5.0,7.0,2.0,8.0,2.0,1.0,,,,90.0,30.0,7.1,8.0,0.00142846,0,,,,2.0,,4.0,5.0,,,,,1.0,1.0,4.0,,2.0,,,,,2.0,1.0,,,Ahmet Aslan,,,,,,,
