match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_sofascoreId,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_aerialLost,stat_duelLost,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_topSpeed,stat_kilometersCovered,stat_numberOfSprints,stat_keeperSaveValue,stat_totalShots,stat_goalsPrevented,stat_passValueNormalized,stat_dribbleValueNormalized,stat_defensiveValueNormalized,stat_goalkeeperValueNormalized,stat_metersCoveredWalkingKm,stat_metersCoveredJoggingKm,stat_metersCoveredRunningKm,stat_metersCoveredHighSpeedRunningKm,stat_metersCoveredSprintingKm,stat_totalCross,stat_duelWon,stat_challengeLost,stat_totalClearance,stat_totalTackle,stat_wonTackle,stat_wasFouled,stat_aerialWon,stat_outfielderBlock,stat_unsuccessfulTouch,stat_fouls,stat_dispossessed,stat_totalContest,stat_interceptionWon,stat_keyPass,stat_accurateCross,stat_wonContest,stat_totalOffside,captain,stat_onTargetScoringAttempt,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_shotValueNormalized,stat_shotOffTarget,stat_bigChanceCreated,stat_blockedScoringAttempt,stat_bigChanceMissed,stat_goals,stat_goodHighClaim
14566955,home,Newcastle United,Nick Pope,,,nick-pope,N. Pope,G,1,198,4650,M,npope29,162653,EUR,703641600,G,1,1,False,16.0,10.0,12.0,6.0,0.0,8.0,8.0,2.0,8.0,1.0,1.0,5.0,3.0,3.0,90.0,24.0,7.9,6.0,0.00858494,20.628,5.42417,0.0,0.8684,0,-0.6527,0.09,0.0,-0.12,0.55,3.57,1.65,0.17,0.02,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14566955,home,Newcastle United,Kieran Trippier,,,kieran-trippier,K. Trippier,D,2,174,8330,M,ktrippier2,69256,EUR,653702400,D,2,2,False,30.0,22.0,3.0,2.0,0.0,10.0,14.0,12.0,16.0,5.0,6.0,6.0,,,76.0,49.0,6.5,12.0,0.0444507,31.284,7.73997,8.0,,0,,0.23,0.1,-0.28,,2.49,3.57,1.01,0.44,0.23,4.0,6.0,1.0,1.0,5.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,
14566955,home,Newcastle United,Fabian Schär,,,fabian-schar,F. Schär,D,5,186,3152,M,,101882,EUR,693187200,D,5,5,False,14.0,10.0,6.0,2.0,0.0,8.0,8.0,2.0,6.0,1.0,3.0,,,,63.0,29.0,7.1,6.0,0.00068225,26.676,6.19336,3.0,,0,,0.01,0.27,0.52,,2.06,2.89,0.89,0.28,0.06,1.0,3.0,,7.0,1.0,,,2.0,4.0,1.0,2.0,,,,,,,,,,,,,,,,,,
14566955,home,Newcastle United,Dan Burn,,,dan-burn,D. Burn,D,33,201,4556,M,,99090,EUR,705369600,D,33,33,False,23.0,18.0,1.0,1.0,0.0,13.0,15.0,5.0,8.0,3.0,8.0,3.0,,,90.0,38.0,6.2,8.0,0.0316527,28.872,9.91061,8.0,,0,,0.1,0.02,-0.25,,2.96,4.65,1.61,0.53,0.16,1.0,5.0,2.0,7.0,1.0,,,4.0,1.0,,1.0,1.0,1.0,2.0,1.0,,,,,,,,,,,,,,
14566955,home,Newcastle United,Valentino Livramento,,,valentino-livramento,V. Livramento,D,21,181,4844,M,,980634,EUR,1037059200,D,21,21,False,32.0,23.0,5.0,2.0,0.0,9.0,13.0,14.0,19.0,1.0,5.0,8.0,,,90.0,59.0,6.7,17.0,0.0732796,30.06,11.04542,26.0,,0,,0.26,0.18,-0.22,,2.85,4.91,1.66,1.04,0.59,3.0,5.0,,2.0,1.0,,1.0,2.0,,,,2.0,3.0,,,1.0,1.0,1.0,,,,,,,,,,,
14566955,home,Newcastle United,Bruno Guimarães,,,bruno-guimaraes,B. Guimarães,M,39,182,31704,M,BrunoGuimarães,866469,EUR,879638400,M,39,39,False,35.0,26.0,6.0,1.0,0.0,11.0,13.0,15.0,22.0,1.0,7.0,7.0,,,90.0,51.0,6.7,16.0,0.0373407,26.712,11.60853,6.0,,1,,0.15,0.08,-0.22,,2.91,6.01,2.02,0.55,0.12,,5.0,1.0,,2.0,,1.0,1.0,,2.0,1.0,4.0,1.0,2.0,1.0,,1.0,,True,1.0,0.0508,0.2004,0.33,,,,,,
14566955,home,Newcastle United,Sandro Tonali,,,sandro-tonali,S. Tonali,M,8,181,14430,M,sandrotonali,892673,EUR,957744000,M,8,8,False,37.0,22.0,5.0,1.0,0.0,10.0,14.0,12.0,23.0,,4.0,6.0,,,90.0,56.0,6.3,19.0,0.0243591,29.448,11.14373,9.0,,2,,0.06,0.11,-0.16,,2.9,5.75,1.61,0.7,0.18,1.0,4.0,1.0,2.0,1.0,1.0,3.0,,,2.0,2.0,1.0,,2.0,2.0,,,,,2.0,0.1198,0.1657,-0.12,,,,,,
14566955,home,Newcastle United,Joelinton,,,joelinton,Joelinton,M,7,186,10165,M,joelinton34,560128,EUR,839980800,M,7,7,False,19.0,14.0,4.0,1.0,0.0,5.0,6.0,9.0,13.0,,3.0,5.0,,,62.0,27.0,6.4,6.0,0.0410906,30.384,6.95442,11.0,,1,,0.04,0.02,-0.04,,1.98,3.07,1.12,0.54,0.25,,5.0,1.0,2.0,1.0,1.0,2.0,2.0,,,1.0,1.0,,,,,,1.0,,,0.2116,,-0.52,1.0,,,,,
14566955,home,Newcastle United,Anthony Elanga,,,anthony-elanga,A. Elanga,M,20,178,10484,M,anthonyelanga,979232,EUR,1019865600,F,20,20,False,13.0,10.0,2.0,,0.0,2.0,2.0,8.0,11.0,1.0,3.0,,,,63.0,25.0,6.8,8.0,0.391624,31.896,6.67642,12.0,,1,,0.34,0.34,-0.04,,2.28,2.74,0.88,0.49,0.28,5.0,,1.0,1.0,,,,,,,,,1.0,,3.0,1.0,,,,,0.0201,,-0.24,,2.0,1.0,,,
14566955,home,Newcastle United,Anthony Gordon,,,gordon-anthony,A. Gordon,F,10,183,18379,M,AGordon,914902,EUR,982972800,F,10,10,False,16.0,14.0,,,0.0,5.0,5.0,9.0,11.0,,3.0,3.0,,,90.0,28.0,7.7,7.0,0.0429667,30.888,10.30342,18.0,,1,,0.15,0.1,-0.01,,3.24,4.51,1.42,0.71,0.42,1.0,3.0,,,,,2.0,,,1.0,,1.0,3.0,,,,1.0,,,1.0,0.3044,0.8622,0.51,,,,1.0,1.0,
