match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_errorLeadToAShot,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,player_firstName,player_lastName,player_sofascoreId,stat_aerialWon,stat_duelLost,stat_duelWon,stat_dispossessed,stat_totalContest,stat_wonContest,stat_blockedScoringAttempt,stat_outfielderBlock,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_fouls,stat_totalOffside,stat_expectedGoals,stat_aerialLost,stat_onTargetScoringAttempt,stat_wasFouled,stat_expectedGoalsOnTarget,stat_keyPass,stat_interceptionWon,stat_totalCross,stat_goals,stat_shotOffTarget,captain,stat_accurateCross,stat_goalAssist,stat_challengeLost,stat_bigChanceCreated,stat_bigChanceMissed,stat_penaltyWon,stat_penaltyFaced,stat_penaltyConceded
11369967,home,KV Mechelen,Gaëtan Coucke,gaetan-coucke,G. Coucke,G,98,187.0,160,M,794989,EUR,910051200,G,1,1,False,20.0,10.0,19.0,9.0,6.0,11.0,4.0,9.0,2.0,5.0,1.0,2.0,2.0,2.0,1.0,90.0,29.0,6.4,10.0,0.00109153,0,-0.6217,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11369967,home,KV Mechelen,Sandy Walsh,sandy-walsh,S. Walsh,D,14,185.0,7746,M,163199,EUR,795139200,D,5,5,False,41.0,33.0,4.0,2.0,18.0,21.0,15.0,20.0,1.0,4.0,,,,,,87.0,61.0,6.6,12.0,0.111527,1,,,,sandywalsh,1.0,4.0,6.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,2.0,3.0,1.0,0.0313,,,,,,,,,,,,,,,,,,
11369967,home,KV Mechelen,David Bates,david-bates,D. Bates,D,4,193.0,95,M,839675,EUR,844473600,D,27,27,False,48.0,41.0,8.0,3.0,29.0,29.0,12.0,19.0,4.0,,,,,,,90.0,58.0,7.0,8.0,0.052819,1,,,,,5.0,2.0,6.0,,,,,2.0,,,1.0,1.0,,0.0625,1.0,1.0,1.0,0.1688,2.0,,,,,,,,,,,,,
11369967,home,KV Mechelen,Elias Cobbaut,elias-cobbaut,E. Cobbaut,D,33,188.0,177,M,828570,EUR,880329600,D,22,22,False,34.0,27.0,6.0,2.0,21.0,24.0,6.0,10.0,6.0,3.0,1.0,,,,,90.0,46.0,6.8,7.0,0.00238443,0,,,,,2.0,2.0,4.0,,,,,1.0,2.0,2.0,,,1.0,,2.0,,,,,2.0,,,,,,,,,,,,
11369967,home,KV Mechelen,Bill Antonio,bill-antonio,B. Antonio,F,38,177.0,214,M,1158921,EUR,1031011200,M,38,38,False,16.0,13.0,1.0,,5.0,7.0,8.0,14.0,3.0,2.0,,,,,,89.0,42.0,6.9,17.0,0.00493268,2,,Bill Antonio,,,,8.0,2.0,2.0,4.0,1.0,,,1.0,,3.0,,,0.1427,3.0,2.0,,0.8134,,,5.0,1.0,,,,,,,,,,
11369967,home,KV Mechelen,Ngal'ayel Mukau,ngalayel-mukau,N. Mukau,M,17,188.0,7494,M,1391541,EUR,1099440000,M,34,34,False,29.0,25.0,4.0,4.0,14.0,17.0,11.0,12.0,4.0,11.0,,,,,,90.0,48.0,7.3,5.0,0.00510883,2,,Ngal'ayel Mukau,,,,1.0,6.0,,2.0,2.0,1.0,,2.0,2.0,1.0,1.0,,0.0424,,,2.0,,1.0,2.0,,,1.0,,,,,,,,,
11369967,home,KV Mechelen,Kerim Mrabti,kerim-mrabti,K. Mrabti,F,19,175.0,187,M,338869,EUR,769392000,M,19,19,False,43.0,36.0,4.0,3.0,17.0,20.0,19.0,23.0,2.0,4.0,,,,,,90.0,62.0,7.3,12.0,0.0320709,3,,,,,1.0,4.0,3.0,2.0,1.0,,,3.0,2.0,2.0,1.0,1.0,,0.1039,,1.0,,0.0534,1.0,,,,2.0,True,,,,,,,,
11369967,home,KV Mechelen,Daam Foulon,daam-foulon,D. Foulon,M,5,180.0,205,M,826170,EUR,922147200,M,23,23,False,32.0,23.0,7.0,2.0,12.0,14.0,12.0,20.0,1.0,5.0,,,,,,87.0,53.0,7.0,13.0,0.0184384,0,,,,,,4.0,7.0,1.0,2.0,2.0,,1.0,4.0,2.0,,,,,3.0,,1.0,,,1.0,2.0,,,,1.0,,,,,,,
11369967,home,KV Mechelen,Geoffry Hairemans,geoffry-hairemans,G. Hairemans,F,11,184.0,140,M,58917,EUR,688003200,F,7,7,False,60.0,42.0,11.0,6.0,15.0,18.0,28.0,48.0,1.0,5.0,,,,,,90.0,89.0,8.4,31.0,0.250891,3,,,,,2.0,9.0,6.0,2.0,2.0,1.0,,,2.0,1.0,2.0,3.0,,1.0028,2.0,3.0,1.0,1.1373,4.0,,6.0,1.0,,,1.0,1.0,1.0,1.0,1.0,,,
11369967,home,KV Mechelen,Lion Lauberbach,lion-lauberbach,L. Lauberbach,F,29,197.0,268,M,886171,EUR,887500800,F,20,20,False,21.0,18.0,1.0,1.0,6.0,7.0,12.0,14.0,,5.0,,,,,,89.0,33.0,6.5,8.0,0.0234437,1,,,,,2.0,5.0,6.0,2.0,,,,,2.0,1.0,3.0,1.0,1.0,0.206,2.0,,3.0,,1.0,,,,1.0,,,,,,1.0,,,
11369967,home,KV Mechelen,Patrick Pflücke,patrick-pflucke,P. Pflücke,M,14,170.0,191,M,281283,EUR,849312000,F,77,77,False,25.0,22.0,2.0,2.0,10.0,11.0,12.0,16.0,,4.0,,,,,,90.0,33.0,7.2,7.0,0.0408379,1,,,,,,1.0,1.0,1.0,,,,,,,1.0,,,0.0181,,,1.0,,1.0,,2.0,,1.0,,,,,,,1.0,,
11369967,home,KV Mechelen,Isaac Asante,isaac-asante,I. Asante,M,34,178.0,45,M,1014171,EUR,1030579200,M,39,39,True,1.0,1.0,,,1.0,1.0,,,,,,,,,,10.0,2.0,6.5,1.0,9.7e-07,0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
