match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_goodHighClaim,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_accurateOppositionHalfPasses,stat_totalCross,stat_accurateCross,stat_aerialLost,stat_duelLost,stat_duelWon,stat_challengeLost,stat_dispossessed,stat_totalContest,stat_wonContest,stat_bigChanceCreated,stat_outfielderBlock,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_wasFouled,stat_keyPass,stat_aerialWon,stat_shotOffTarget,stat_fouls,stat_expectedGoals,player_sofascoreId,captain,stat_onTargetScoringAttempt,stat_blockedScoringAttempt,stat_totalOffside,stat_expectedGoalsOnTarget,stat_bigChanceMissed,stat_goals,stat_savedShotsFromInsideTheBox
12117306,home,Bahia,Adriel,Adriel,,adriel,Adriel,G,1,195,392,M,1106840,EUR,979430400,G,23,23,False,29.0,21.0,9.0,1.0,0.0,21.0,23.0,6.0,1.0,7.0,1.0,1.0,2.0,2.0,90.0,37.0,6.3,8.0,0.00010634,0,-0.7989,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12117306,home,Bahia,Gilberto,,,gilberto,Gilberto,D,2,181,1500,M,261687,EUR,731462400,D,2,2,False,46.0,40.0,6.0,4.0,1.0,19.0,21.0,28.0,3.0,7.0,,,,,90.0,70.0,7.9,11.0,0.126597,0,,23.0,3.0,2.0,1.0,3.0,7.0,1.0,1.0,3.0,3.0,1.0,1.0,3.0,3.0,1.0,2.0,1.0,3.0,,,,,,,,,,,,,
12117306,home,Bahia,Gabriel Xavier,Gabriel Xavier,,gabriel-xavier,G. Xavier,D,3,190,1259,M,1117710,EUR,989107200,D,3,3,False,75.0,65.0,9.0,4.0,0.0,40.0,45.0,30.0,5.0,4.0,,,,,90.0,88.0,7.3,10.0,0.0182428,1,,25.0,,,1.0,3.0,9.0,,,,,,2.0,2.0,1.0,,,,,8.0,1.0,2.0,0.0722,,,,,,,,,
12117306,home,Bahia,David Duarte,,,david-duarte,D. Duarte,D,33,192,765,M,810715,EUR,790905600,D,33,33,False,51.0,44.0,2.0,1.0,0.0,29.0,35.0,16.0,2.0,5.0,,,,,90.0,56.0,6.7,7.0,0.00555685,0,,15.0,,,1.0,2.0,4.0,,,,,,2.0,,,,,1.0,,3.0,,1.0,,,,,,,,,,
12117306,home,Bahia,Luciano Juba,,,luciano-juba,L. Juba,D,46,176,3659,M,1017264,EUR,935884800,D,46,46,False,40.0,32.0,5.0,2.0,0.0,12.0,12.0,31.0,4.0,3.0,,,,,90.0,57.0,7.3,10.0,0.328802,0,,22.0,3.0,2.0,1.0,3.0,3.0,2.0,,1.0,1.0,1.0,1.0,1.0,2.0,1.0,,,4.0,,,,,,,,,,,,,
12117306,home,Bahia,Everton Ribeiro,,,everton-ribeiro,E. Ribeiro,M,10,174,5845,M,145063,EUR,608169600,M,10,10,False,51.0,42.0,5.0,3.0,0.0,7.0,11.0,42.0,,9.0,,,,,82.0,72.0,7.4,14.0,0.323463,0,,37.0,2.0,2.0,1.0,6.0,8.0,2.0,3.0,3.0,3.0,,,1.0,2.0,,2.0,2.0,4.0,1.0,,,,evertonri,True,,,,,,,
12117306,home,Bahia,Caio Alexandre,,,caio-alexandre,C. Alexandre,M,19,174,1777,M,1008832,EUR,919814400,M,19,19,False,55.0,50.0,4.0,1.0,0.0,29.0,30.0,27.0,1.0,6.0,,,,,83.0,65.0,6.7,7.0,0.0127315,2,,22.0,2.0,1.0,1.0,6.0,4.0,1.0,,1.0,1.0,,,,1.0,,1.0,1.0,,1.0,2.0,5.0,0.0428,,,,,,,,,
12117306,home,Bahia,Jean Lucas,,,jean-lucas,J. Lucas,M,6,181,3752,M,927975,EUR,898473600,M,6,6,False,38.0,29.0,4.0,2.0,0.0,8.0,10.0,29.0,,6.0,,,,,90.0,49.0,6.7,11.0,0.0181352,3,,21.0,1.0,,1.0,5.0,2.0,1.0,,1.0,,,1.0,1.0,,,,2.0,,,1.0,2.0,0.1943,,,1.0,1.0,1.0,0.1233,,,
12117306,home,Bahia,Ademir,,,ademir,Ademir,F,7,172,1700,M,922546,EUR,792892800,F,7,7,False,21.0,18.0,,,0.0,7.0,7.0,16.0,,6.0,,,,,73.0,32.0,6.8,8.0,0.277634,3,,12.0,2.0,1.0,,7.0,2.0,3.0,1.0,,,,,1.0,1.0,,3.0,,3.0,1.0,1.0,3.0,0.3308,,,2.0,,,0.5942,1.0,,
12117306,home,Bahia,Luciano Rodríguez,,,luciano-rodriguez,L. Rodríguez,F,19,179,4244,M,1099361,EUR,1058313600,F,17,17,False,14.0,10.0,2.0,1.0,0.0,5.0,5.0,12.0,,,,,,,73.0,39.0,7.5,13.0,0.00245582,5,,5.0,3.0,,2.0,4.0,8.0,,1.0,2.0,2.0,,,1.0,,,3.0,5.0,,1.0,1.0,1.0,0.4228,,,2.0,2.0,,0.3208,1.0,1.0,
