match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_aerialWon,stat_duelWon,stat_ballRecovery,stat_wasFouled,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_totalCross,stat_duelLost,stat_challengeLost,stat_totalContest,stat_wonContest,stat_totalClearance,stat_totalTackle,stat_wonTackle,stat_fouls,stat_aerialLost,stat_outfielderBlock,stat_keyPass,stat_dispossessed,stat_interceptionWon,stat_errorLeadToAGoal,captain,stat_blockedScoringAttempt,stat_expectedGoals,stat_shotOffTarget,stat_unsuccessfulTouch,player_firstName,player_lastName,stat_onTargetScoringAttempt,stat_expectedGoalsOnTarget,stat_accurateCross,stat_totalOffside,stat_goodHighClaim,stat_punches,stat_goalAssist,stat_bigChanceCreated,stat_bigChanceMissed,stat_goals,stat_hitWoodwork,player_sofascoreId
11451050,home,MKE Ankaragücü,Rafał Gikiewicz,rafal-gikiewicz,R. Gikiewicz,G,12,190,723,M,44938,EUR,562204800,G,1,1,False,41.0,32.0,13.0,5.0,29.0,33.0,3.0,8.0,1.0,1.0,11.0,1.0,5.0,7.0,90.0,54.0,7.6,9.0,0.00062615,0,-0.3805,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11451050,home,MKE Ankaragücü,Hayrullah Bilazer,hayrullah-bilazer,H. Bilazer,D,77,170,27,M,852161,EUR,800928000,D,77,77,False,23.0,15.0,2.0,2.0,8.0,11.0,7.0,14.0,2.0,4.0,1.0,,,,45.0,35.0,6.5,10.0,0.0101162,0,,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
11451050,home,MKE Ankaragücü,Uroš Radaković,uros-radakovic,U. Radaković,D,26,194,313,M,151900,EUR,765072000,D,26,26,False,75.0,65.0,3.0,,48.0,50.0,17.0,25.0,1.0,3.0,6.0,,,,90.0,83.0,6.1,10.0,0.00727347,0,,,4.0,2.0,,,3.0,2.0,2.0,,2.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,
11451050,home,MKE Ankaragücü,Nihad Mujakić,nihad-mujakic,N. Mujakić,D,5,189,775,M,858004,EUR,892598400,D,18,18,False,79.0,70.0,8.0,4.0,44.0,48.0,26.0,31.0,1.0,2.0,9.0,1.0,,,90.0,90.0,6.2,10.0,0.0121805,0,,,3.0,2.0,,,2.0,,,,,2.0,,1.0,2.0,1.0,,,,,,,,,,,,,,,,,,,
11451050,home,MKE Ankaragücü,Matěj Hanousek,matej-hanousek,M. Hanousek,D,23,182,56,M,320905,EUR,738979200,D,5,5,False,51.0,42.0,8.0,2.0,18.0,19.0,24.0,34.0,2.0,4.0,6.0,1.0,,,90.0,73.0,6.3,12.0,0.0241741,0,,2.0,4.0,3.0,1.0,1.0,1.0,1.0,1.0,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,
11451050,home,MKE Ankaragücü,Tolga Ciğerci,tolga-cigerci,T. Ciğerci,M,38,185,114,M,120298,EUR,701308800,M,30,30,False,62.0,49.0,4.0,2.0,23.0,25.0,26.0,39.0,1.0,7.0,9.0,,,,80.0,80.0,7.3,15.0,0.0210073,1,,2.0,4.0,1.0,,,5.0,6.0,5.0,1.0,2.0,,,,1.0,,True,1.0,0.0799,,,,,,,,,,,,,,,,
11451050,home,MKE Ankaragücü,Efkan Bekiroğlu,efkan-bekiroglu,E. Bekiroğlu,M,11,185,168,M,800458,EUR,811036800,M,10,10,False,55.0,50.0,2.0,1.0,20.0,20.0,30.0,35.0,,2.0,6.0,,,,90.0,68.0,6.5,11.0,0.212408,2,,,5.0,,3.0,1.0,,1.0,1.0,,,,1.0,3.0,1.0,,,1.0,0.1305,1.0,,,,,,,,,,,,,,,
11451050,home,MKE Ankaragücü,Garry Rodrigues,garry-rodrigues,G. Rodrigues,M,10,173,946,M,787429,EUR,659664000,M,11,11,False,18.0,12.0,,,3.0,6.0,9.0,14.0,,4.0,,3.0,,,73.0,31.0,6.3,11.0,0.0720739,0,,2.0,5.0,3.0,2.0,,,1.0,,,,,2.0,,,,,,,,1.0,,,,,,,,,,,,,,
11451050,home,MKE Ankaragücü,Pedrinho,pedrinho,Pedrinho,M,14,170,130,M,182385,EUR,724809600,M,8,8,False,14.0,9.0,1.0,1.0,3.0,5.0,6.0,9.0,,,,,,,35.0,17.0,6.1,7.0,0.00695582,0,,,3.0,1.0,,,,,,1.0,,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,
11451050,home,MKE Ankaragücü,Anastasios Chatzigiovanis,anastasios-chatzigiovanis,A. Chatzigiovanis,M,10,175,405,M,850770,EUR,865036800,M,7,7,False,10.0,10.0,,,5.0,5.0,5.0,5.0,,4.0,2.0,1.0,,,45.0,20.0,6.8,2.0,0.0067265,0,,,2.0,1.0,1.0,1.0,1.0,2.0,2.0,,1.0,,,,,,,,,,2.0,,,,,,,,,,,,,,
