match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_aerialWon,stat_duelWon,stat_totalClearance,stat_ballRecovery,stat_wasFouled,stat_savedShotsFromInsideTheBox,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_totalCross,stat_aerialLost,stat_duelLost,stat_challengeLost,stat_dispossessed,stat_totalTackle,stat_wonTackle,stat_fouls,stat_totalContest,stat_wonContest,stat_onTargetScoringAttempt,stat_goals,stat_interceptionWon,stat_expectedGoals,stat_expectedGoalsOnTarget,player_firstName,player_lastName,stat_accurateCross,stat_shotOffTarget,stat_outfielderBlock,stat_keyPass,stat_blockedScoringAttempt,stat_unsuccessfulTouch,stat_lastManTackle,player_sofascoreId,captain,stat_goodHighClaim,stat_punches,stat_bigChanceMissed,stat_bigChanceCreated,stat_totalOffside
12499313,home,Torino,Alberto Paleari,alberto-paleari,A. Paleari,G,1,192,344,M,259281,EUR,715046400,G,1,1,False,27.0,23.0,13.0,9.0,0.0,16.0,17.0,7.0,10.0,1.0,1.0,2.0,9.0,1.0,4.0,4.0,2.0,2.0,90.0,39.0,7.1,4.0,0.00138778,0,-0.7628,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12499313,home,Torino,Mërgim Vojvoda,mergim-vojvoda,M. Vojvoda,D,31,187,1424,M,798147,EUR,791596800,D,27,27,False,73.0,67.0,7.0,7.0,0.0,49.0,51.0,18.0,24.0,2.0,7.0,2.0,2.0,1.0,,,,,78.0,86.0,6.7,9.0,0.0814726,0,,2.0,1.0,8.0,3.0,1.0,4.0,1.0,3.0,,,,,,,,,,,,,,,,,,,,,,,
12499313,home,Torino,Saúl Coco,saul-coco,S. Coco,D,23,188,1248,M,1089453,EUR,918518400,D,23,23,False,62.0,55.0,4.0,,0.0,41.0,44.0,14.0,18.0,2.0,4.0,5.0,4.0,,,,,,90.0,77.0,7.1,7.0,0.00483111,1,,,4.0,7.0,2.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.0748,0.2437,,,,,,,,,,,,,,,,
12499313,home,Torino,Adam Masina,adam-masina,A. Masina,D,,189,5428,M,259995,EUR,757468800,D,5,5,False,86.0,67.0,14.0,6.0,1.0,47.0,54.0,21.0,35.0,5.0,8.0,2.0,4.0,1.0,,,,,90.0,102.0,7.1,23.0,0.0852587,1,,3.0,,1.0,,,2.0,2.0,,1.0,,,,1.0,0.0492,,,,1.0,1.0,1.0,1.0,,,,,,,,,,
12499313,home,Torino,Valentino Lazaro,valentino-lazaro,V. Lazaro,M,20,180,1014,M,233826,EUR,827625600,M,20,20,False,33.0,25.0,2.0,,0.0,12.0,14.0,13.0,24.0,,5.0,1.0,3.0,1.0,,,,,63.0,64.0,6.3,19.0,0.0183811,1,,5.0,,5.0,1.0,2.0,4.0,1.0,1.0,1.0,,,,,0.037,,,,,,,1.0,1.0,2.0,,,,,,,,
12499313,home,Torino,Samuele Ricci,samuele-ricci,S. Ricci,M,4,182,4118,M,930189,EUR,998352000,M,28,28,False,46.0,44.0,6.0,4.0,0.0,22.0,22.0,22.0,25.0,,7.0,1.0,4.0,3.0,,,,,90.0,57.0,7.2,4.0,0.0110698,0,,1.0,,,,,4.0,3.0,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,
12499313,home,Torino,Adrien Tameze,adrien-tameze,A. Tameze,M,61,182,371,M,139235,EUR,760320000,M,61,61,False,14.0,12.0,,,0.0,7.0,7.0,6.0,9.0,1.0,1.0,,4.0,,,,,,45.0,17.0,6.5,4.0,0.169094,0,,2.0,1.0,5.0,3.0,,,,,1.0,,,,,,,,,1.0,,,1.0,,,,,,,,,,
12499313,home,Torino,Ivan Ilić,ivan-ilic,I. Ilić,M,8,185,1776,M,877371,EUR,984787200,M,8,8,False,51.0,45.0,4.0,2.0,0.0,28.0,28.0,19.0,28.0,,4.0,,5.0,3.0,,,,,90.0,70.0,7.2,13.0,0.100224,1,,5.0,,3.0,1.0,1.0,,,1.0,1.0,1.0,1.0,,2.0,0.0741,0.585,,,2.0,,,2.0,,2.0,,,,,,,,
12499313,home,Torino,Borna Sosa,borna-sosa,B. Sosa,M,24,187,3741,M,357584,EUR,885340800,M,24,24,False,26.0,24.0,1.0,,0.0,15.0,15.0,9.0,12.0,,,3.0,3.0,,,,,,45.0,35.0,6.6,4.0,0.00239149,1,,1.0,,1.0,1.0,,,,,,,1.0,,,0.0154,0.011,,,,,,,,1.0,,BornaSosa,,,,,,
12499313,home,Torino,Antonio Sanabria,antonio-sanabria,A. Sanabria,F,99,181,3538,M,333261,EUR,825897600,F,9,9,False,8.0,7.0,,,0.0,1.0,1.0,6.0,7.0,1.0,1.0,1.0,,,,,,,63.0,15.0,6.4,5.0,0.0601349,1,,,1.0,6.0,2.0,2.0,,,2.0,,,,,,0.0202,,,,,1.0,,1.0,,2.0,,,,,,,,
