match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_sofascoreId,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalCross,stat_aerialWon,stat_duelLost,stat_duelWon,stat_challengeLost,stat_totalContest,stat_wonContest,stat_unsuccessfulTouch,stat_wasFouled,stat_fouls,player_firstName,player_lastName,stat_blockedScoringAttempt,stat_totalClearance,stat_outfielderBlock,stat_interceptionWon,stat_aerialLost,stat_dispossessed,stat_bigChanceMissed,stat_shotOffTarget,stat_totalTackle,stat_wonTackle,captain,stat_keyPass,stat_onTargetScoringAttempt,stat_goals,stat_accurateCross,stat_bigChanceCreated,stat_totalOffside,stat_goalAssist,stat_hitWoodwork
11396479,home,Borussia Dortmund,Gregor Kobel,gregor-kobel,G. Kobel,G,1,193,6864,M,gregorkobel,556866,EUR,881366400,G,1,1,False,29.0,28.0,2.0,2.0,28.0,29.0,7.0,2.0,4.0,90.0,38.0,7.6,1.0,0.0,0.0,0.00012864,0,1.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11396479,home,Borussia Dortmund,Julian Ryerson,julian-ryerson,J. Ryerson,D,26,183,3446,M,,800951,EUR,879724800,D,26,26,False,70.0,65.0,1.0,1.0,36.0,37.0,5.0,,,84.0,87.0,6.9,11.0,0.0,0.0,0.0269007,0,,29.0,35.0,2.0,1.0,4.0,4.0,2.0,2.0,1.0,3.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,
11396479,home,Borussia Dortmund,Niklas Süle,niklas-sule,N. Süle,D,25,195,4025,M,NiklasSule,168937,EUR,810086400,D,25,25,False,137.0,129.0,8.0,5.0,83.0,84.0,2.0,,,90.0,145.0,7.6,8.0,0.0334,0.0,0.0316328,1,,46.0,53.0,,1.0,,1.0,,,,,,,,,1.0,4.0,1.0,1.0,,,,,,,,,,,,,,,
11396479,home,Borussia Dortmund,Mats Hummels,mats-hummels,M. Hummels,D,15,191,4570,M,aussenrist15,16632,EUR,598233600,D,15,15,False,147.0,139.0,17.0,14.0,83.0,87.0,13.0,,,90.0,163.0,7.9,9.0,1.3039,0.0,0.0285105,4,,56.0,60.0,,7.0,5.0,8.0,,,,,,2.0,,,,3.0,,4.0,3.0,1.0,2.0,4.0,1.0,,,,,,,,,,
11396479,home,Borussia Dortmund,Ramy Bensebaini,ramy-bensebaini,R. Bensebaini,D,5,186,29068,M,rbens,577726,EUR,797990400,D,5,5,False,77.0,59.0,6.0,3.0,29.0,32.0,10.0,,,84.0,107.0,7.7,23.0,0.0,0.0,0.0463587,0,,30.0,47.0,2.0,,1.0,8.0,1.0,2.0,2.0,2.0,3.0,1.0,,,,3.0,,3.0,,,,,3.0,3.0,,,,,,,,,
11396479,home,Borussia Dortmund,Marcel Sabitzer,marcel-sabitzer,M. Sabitzer,M,20,177,8484,M,marcel7sabitzer,133908,EUR,763862400,M,20,20,False,46.0,40.0,2.0,1.0,15.0,19.0,3.0,,,90.0,68.0,6.9,10.0,0.0438,0.0,0.0504991,1,,25.0,28.0,1.0,2.0,7.0,6.0,2.0,,,2.0,1.0,1.0,,,1.0,2.0,1.0,,3.0,1.0,,,3.0,2.0,,,,,,,,,
11396479,home,Borussia Dortmund,Emre Can,emre-can,E. Can,D,23,186,5006,M,emrecan23,138156,EUR,758332800,M,23,23,False,42.0,37.0,4.0,2.0,16.0,17.0,3.0,,,59.0,47.0,6.8,6.0,0.0281,0.0,0.0349855,1,,21.0,25.0,,1.0,,1.0,,,,,,,,,1.0,,,,,,,,,,True,1.0,,,,,,,
11396479,home,Borussia Dortmund,Donyell Malen,donyell-malen,D. Malen,F,14,176,12595,M,donyellmalen,803039,EUR,916704000,M,21,21,False,31.0,24.0,3.0,1.0,8.0,10.0,5.0,,,90.0,59.0,7.1,24.0,0.1797,0.4013,0.0602098,1,,16.0,24.0,3.0,,7.0,4.0,,7.0,2.0,7.0,1.0,1.0,,,,,,1.0,,1.0,,,1.0,1.0,,,1.0,1.0,,,,,
11396479,home,Borussia Dortmund,Marco Reus,marco-reus,M. Reus,M,18,180,21759,M,Reus11,37092,EUR,612576000,M,11,11,False,21.0,16.0,,,4.0,4.0,3.0,,,70.0,32.0,7.6,7.0,0.2249,0.0,0.0945923,1,,13.0,18.0,1.0,1.0,3.0,5.0,1.0,2.0,2.0,2.0,1.0,1.0,,,,,,1.0,1.0,,,1.0,1.0,1.0,,3.0,,,1.0,1.0,,,
11396479,home,Borussia Dortmund,Julian Brandt,julian-brandt,J. Brandt,M,10,186,9499,M,julianbrandt,226978,EUR,830995200,M,19,19,False,46.0,38.0,5.0,4.0,6.0,7.0,3.0,,,90.0,72.0,7.8,20.0,0.1417,0.2852,0.459441,2,,37.0,48.0,9.0,,10.0,5.0,,8.0,4.0,2.0,,1.0,,,1.0,,,,4.0,1.0,,,1.0,1.0,,7.0,1.0,,5.0,1.0,,,
