match_id,side,team,player_name,player_slug,player_shortName,player_position,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_totalShots,player_firstName,player_lastName,player_jerseyNumber,stat_totalCross,stat_aerialLost,stat_duelLost,stat_duelWon,stat_challengeLost,stat_dispossessed,stat_totalContest,stat_wonContest,stat_blockedScoringAttempt,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_aerialWon,stat_shotOffTarget,stat_onTargetScoringAttempt,stat_outfielderBlock,stat_keyPass,captain,stat_bigChanceCreated,stat_totalClearance,stat_accurateCross,stat_wasFouled,stat_totalOffside,stat_bigChanceMissed,stat_fouls,player_sofascoreId,stat_savedShotsFromInsideTheBox,stat_punches,stat_lastManTackle
10382126,home,FC Emmen,Mickey van der Hart,mickey-van-der-hart,M. v. d. Hart,G,188,97,M,242313,EUR,771465600,G,32,32,False,35.0,23.0,18.0,6.0,19.0,21.0,4.0,14.0,6.0,1.0,1.0,1.0,90.0,38.0,7.1,12.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10382126,home,FC Emmen,Mohamed Bouchouari,mohamed-bouchouari,M. Bouchouari,D,170,778,M,965329,EUR,974246400,D,34,34,False,31.0,22.0,4.0,1.0,13.0,16.0,9.0,19.0,10.0,,,,90.0,71.0,7.2,21.0,2,,,34,4.0,2.0,6.0,7.0,1.0,1.0,5.0,3.0,2.0,2.0,4.0,3.0,3.0,,,,,,,,,,,,,,,,,
10382126,home,FC Emmen,Miguel Araujo,miguel-araujo,M. Araujo,D,178,883,M,370226,EUR,782956800,D,5,5,False,38.0,30.0,8.0,3.0,24.0,28.0,6.0,10.0,4.0,,,,90.0,47.0,7.6,8.0,2,,,20,,1.0,1.0,10.0,,,,,,1.0,1.0,1.0,,9.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,
10382126,home,FC Emmen,Jeroen Veldmate,jeroen-veldmate,J. Veldmate,D,187,9,,28111,EUR,594950400,D,4,4,False,55.0,46.0,13.0,8.0,31.0,31.0,15.0,24.0,9.0,,,,65.0,61.0,7.5,9.0,0,,,,,1.0,1.0,4.0,,,,,,,1.0,1.0,,3.0,,,1.0,2.0,True,1.0,2.0,,,,,,,,,
10382126,home,FC Emmen,Lorenzo Burnet,lorenzo-burnet,L. Burnet,D,170,12,M,100384,EUR,663552000,D,18,18,False,32.0,23.0,3.0,1.0,8.0,13.0,16.0,22.0,5.0,,,,87.0,57.0,7.1,17.0,0,Lorenzo,Burnet,18,3.0,1.0,4.0,6.0,,2.0,2.0,1.0,,1.0,3.0,2.0,1.0,1.0,,,1.0,,,,1.0,1.0,1.0,1.0,,,,,,
10382126,home,FC Emmen,Lucas Bernadou,bernadou-lucas,L. Bernadou,M,178,53,M,997187,EUR,969753600,M,8,8,False,32.0,27.0,6.0,3.0,13.0,14.0,14.0,19.0,5.0,,,,65.0,44.0,7.1,9.0,0,,,6,1.0,2.0,3.0,5.0,,1.0,2.0,2.0,,1.0,2.0,1.0,2.0,1.0,,,,1.0,,,,,,,,,,,,
10382126,home,FC Emmen,Keziah Veendorp,keziah-veendorp,K. Veendorp,D,183,41,M,361778,EUR,856137600,M,2,2,False,56.0,47.0,8.0,5.0,30.0,34.0,17.0,22.0,4.0,,,,90.0,75.0,6.8,13.0,1,,,,,1.0,3.0,3.0,,1.0,1.0,,1.0,1.0,,,1.0,2.0,,,,1.0,,,3.0,,1.0,,,,,,,
10382126,home,FC Emmen,Rui Mendes,rui-mendes,R. Mendes,F,180,126,M,940979,EUR,942192000,M,7,7,False,23.0,15.0,2.0,,10.0,13.0,5.0,11.0,9.0,,,,90.0,38.0,6.7,13.0,2,,,27,1.0,1.0,7.0,5.0,1.0,1.0,4.0,2.0,,,2.0,1.0,1.0,,2.0,,1.0,2.0,,,,,1.0,,1.0,2.0,,,,
10382126,home,FC Emmen,Mark Diemers,mark-diemers,M. Diemers,M,175,198,M,252123,EUR,750297600,M,10,10,False,24.0,22.0,1.0,1.0,8.0,9.0,18.0,27.0,7.0,,,,78.0,53.0,7.6,17.0,4,,,10,12.0,,3.0,3.0,,1.0,2.0,,3.0,1.0,1.0,1.0,3.0,1.0,,1.0,1.0,3.0,,1.0,,4.0,1.0,,,,,,,
10382126,home,FC Emmen,Ole Romeny,ole-romeny,O. Romeny,F,185,13950,M,921948,EUR,961459200,M,77,77,False,30.0,24.0,,,8.0,9.0,16.0,24.0,3.0,,,,78.0,43.0,6.1,14.0,2,,,11,3.0,2.0,6.0,1.0,,1.0,2.0,,,,,,2.0,,1.0,1.0,,,,,,,1.0,,1.0,1.0,oleromeny,,,
