match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_totalShots,player_firstName,player_lastName,player_sofascoreId,stat_totalCross,stat_aerialLost,stat_duelLost,stat_duelWon,stat_dispossessed,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_wasFouled,stat_fouls,stat_penaltyWon,stat_keyPass,stat_aerialWon,stat_totalClearance,stat_interceptionWon,stat_accurateCross,stat_challengeLost,stat_totalContest,stat_wonContest,stat_totalOffside,captain,stat_shotOffTarget,stat_onTargetScoringAttempt,stat_outfielderBlock,stat_goalAssist,stat_bigChanceCreated,stat_blockedScoringAttempt,stat_goals,stat_penaltyFaced,stat_penaltyConceded
10406960,home,KRC Genk,Maarten Vandevoordt,maarten-vandevoordt,M. Vandevoordt,G,26,192,1412,M,934385,EUR,1014681600,G,26,26,False,19.0,16.0,10.0,7.0,12.0,15.0,4.0,4.0,4.0,1.0,1.0,1.0,90.0,22.0,6.4,3.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10406960,home,KRC Genk,Daniel Muñoz,daniel-munoz,D. Muñoz,M,2,183,12060,M,870360,EUR,833068800,D,23,23,False,65.0,56.0,5.0,3.0,15.0,16.0,41.0,52.0,4.0,,,,89.0,85.0,6.9,15.0,0,,,daniel.chitiva,3.0,1.0,3.0,4.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0,,,,,,,,,,,,,,,,,,
10406960,home,KRC Genk,Carlos Cuesta,carlos-cuesta,C. Cuesta,D,46,179,4437,M,839095,EUR,920937600,D,46,46,False,71.0,66.0,6.0,4.0,28.0,32.0,38.0,39.0,2.0,,,,90.0,79.0,7.0,5.0,0,,,,,1.0,2.0,4.0,,2.0,,,,1.0,,,2.0,3.0,1.0,,,,,,,,,,,,,,,
10406960,home,KRC Genk,Mark McKenzie,mark-mckenzie,M. McKenzie,D,3,183,647,M,922759,EUR,919900800,D,2,2,False,85.0,80.0,10.0,8.0,39.0,40.0,41.0,45.0,11.0,,,,90.0,96.0,7.1,5.0,0,,,,,2.0,2.0,2.0,,1.0,1.0,,,,,,1.0,7.0,1.0,,,,,,,,,,,,,,,
10406960,home,KRC Genk,Gerardo Arteaga,gerardo-arteaga,G. Arteaga,D,3,173,771,M,856129,EUR,905126400,D,5,5,False,52.0,45.0,2.0,2.0,19.0,22.0,27.0,31.0,5.0,,,,90.0,73.0,6.6,10.0,0,,,,1.0,,3.0,4.0,2.0,,,,,,,,2.0,3.0,2.0,1.0,1.0,2.0,2.0,1.0,,,,,,,,,,
10406960,home,KRC Genk,Bryan Heynen,heynen-bryan,B. Heynen,M,8,181,419,M,801025,EUR,855187200,M,8,8,False,37.0,32.0,5.0,2.0,10.0,11.0,22.0,26.0,5.0,,,,80.0,53.0,7.2,8.0,0,,,,,1.0,2.0,7.0,1.0,3.0,2.0,2.0,,,,,1.0,2.0,,,,3.0,3.0,1.0,True,,,,,,,,,
10406960,home,KRC Genk,Patrik Hrošovský,patrik-hrosovsky,P. Hrošovský,M,17,172,359,M,198282,EUR,703900800,M,17,17,False,53.0,44.0,6.0,4.0,24.0,26.0,20.0,28.0,10.0,,,,90.0,69.0,6.9,14.0,2,,,,1.0,,3.0,3.0,2.0,2.0,2.0,,1.0,,,,,1.0,2.0,,1.0,,,,,1.0,1.0,1.0,,,,,,
10406960,home,KRC Genk,Joseph Paintsil,joseph-paintsil,J. Paintsil,F,28,167,2679,M,901285,EUR,886291200,M,28,28,False,32.0,26.0,,,5.0,7.0,21.0,27.0,2.0,,,,79.0,43.0,7.1,12.0,1,,,,2.0,,1.0,3.0,,1.0,,4.0,2.0,,,2.0,,,,,1.0,,,2.0,,,,,1.0,1.0,1.0,,,
10406960,home,KRC Genk,Nicolás Castro,nicolas-castro,N. Castro,M,8,181,809,M,989877,EUR,973036800,M,10,10,False,41.0,36.0,5.0,2.0,14.0,15.0,22.0,26.0,4.0,,,,62.0,49.0,7.2,5.0,3,,,,,1.0,1.0,2.0,,1.0,,,1.0,,,1.0,,1.0,2.0,,,,,,,1.0,1.0,,,,1.0,,,
10406960,home,KRC Genk,Mike Trésor,mike-tresor,M. Trésor,M,31,175,1090,M,826183,EUR,927849600,M,11,11,False,48.0,41.0,1.0,,15.0,17.0,27.0,36.0,7.0,,,,90.0,65.0,7.3,17.0,1,,,,5.0,,4.0,2.0,1.0,1.0,,2.0,,,,3.0,,,1.0,1.0,,4.0,1.0,,,,1.0,,1.0,1.0,,,,
