match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,player_firstName,player_lastName,stat_duelLost,stat_duelWon,stat_challengeLost,stat_totalTackle,stat_wonTackle,captain,stat_aerialLost,stat_onTargetScoringAttempt,stat_outfielderBlock,stat_wasFouled,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_totalCross,stat_aerialWon,stat_dispossessed,stat_totalContest,stat_interceptionWon,stat_unsuccessfulTouch,stat_fouls,stat_keyPass,player_sofascoreId,stat_bigChanceCreated,stat_shotOffTarget,stat_accurateCross,stat_wonContest,stat_bigChanceMissed,stat_totalOffside,stat_goalAssist,stat_blockedScoringAttempt,stat_goals,stat_totalKeeperSweeper,stat_accurateKeeperSweeper
12181413,home,Lorient,Yvon Mvogo,yvon-mvogo,Y. Mvogo,G,38,190,548,M,149656,EUR,770860800,G,38,38,False,32.0,23.0,18.0,9.0,20.0,24.0,3.0,8.0,1.0,3.0,2.0,3.0,1.0,90.0,37.0,6.3,9.0,0.00098714,0,-1.0254,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12181413,home,Lorient,Nathaniel Adjei,nathaniel-adjei,N. Adjei,D,32,191,432,M,1103079,EUR,1029888000,D,32,32,False,29.0,22.0,3.0,,15.0,17.0,7.0,12.0,,4.0,,,,90.0,33.0,5.9,7.0,0.00174227,0,,Nathaniel Adjei,,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
12181413,home,Lorient,Julien Laporte,julien-laporte,J. Laporte,D,15,185,87,M,791048,EUR,752371200,D,15,15,False,39.0,34.0,7.0,6.0,23.0,26.0,11.0,13.0,5.0,3.0,,,,90.0,53.0,6.7,5.0,0.00820147,1,,,,3.0,4.0,2.0,3.0,1.0,True,1.0,1.0,2.0,1.0,0.0267,0.0672,,,,,,,,,,,,,,,,,,,,
12181413,home,Lorient,Souleymane Isaak Touré,souleymane-isaak-toure,S. I. Touré,D,95,206,1092,M,1012650,EUR,1048809600,D,95,95,False,50.0,45.0,3.0,3.0,25.0,27.0,20.0,24.0,2.0,2.0,,,,90.0,60.0,6.3,10.0,0.0390579,0,,,,4.0,1.0,,,,,,,,,,,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,
12181413,home,Lorient,Gedeon Kalulu,gedeon-kalulu,G. Kalulu,D,2,176,4314,M,991200,EUR,872812800,M,24,24,False,42.0,33.0,3.0,2.0,17.0,21.0,16.0,22.0,,2.0,,,,79.0,56.0,7.0,10.0,0.0728199,1,,,,1.0,2.0,,1.0,1.0,,1.0,,,1.0,0.0372,,1.0,,,,1.0,,,1.0,gedeon_K2,1.0,1.0,,,,,,,,,
12181413,home,Lorient,Imrân Louza,imran-louza,I. Louza,M,10,178,3377,M,965943,EUR,925516800,M,6,6,False,32.0,28.0,3.0,2.0,16.0,17.0,13.0,16.0,,6.0,,,,68.0,44.0,7.2,6.0,0.261174,1,,,,1.0,4.0,,,,,,,,3.0,0.034,,1.0,,1.0,1.0,2.0,,,2.0,,1.0,1.0,1.0,1.0,,,,,,,
12181413,home,Lorient,Tiemoué Bakayoko,tiemoue-bakayoko,T. Bakayoko,M,14,188,1233,M,149735,EUR,777081600,M,14,14,False,43.0,34.0,1.0,1.0,22.0,24.0,12.0,19.0,,8.0,,,,90.0,63.0,6.1,14.0,0.0198161,1,,,,10.0,7.0,3.0,4.0,2.0,,,1.0,,,0.2729,0.3546,,1.0,,5.0,3.0,2.0,4.0,,,,,,2.0,1.0,1.0,,,,,
12181413,home,Lorient,Darlin Yongwa,darlin-yongwa,D. Yongwa,D,44,177,1325,M,998241,EUR,969580800,M,12,12,False,25.0,16.0,,,5.0,8.0,12.0,19.0,,5.0,,,,61.0,51.0,7.0,15.0,0.0195122,0,,,,5.0,9.0,,2.0,1.0,,,,,,,,2.0,3.0,2.0,6.0,1.0,1.0,1.0,1.0,,1.0,,1.0,4.0,,,,,,,
12181413,home,Lorient,Ayman Kari,ayman-kari,A. Kari,F,,180,678,M,1142673,EUR,1100822400,F,44,44,False,22.0,21.0,1.0,,9.0,9.0,12.0,13.0,,3.0,,,,61.0,33.0,6.6,7.0,0.0306089,1,,,,3.0,1.0,,,,,,,,1.0,0.1883,,,,2.0,1.0,1.0,2.0,,,,,1.0,,,,,,,,,
12181413,home,Lorient,Julien Ponceau,julien-ponceau,J. Ponceau,M,21,170,165,M,942844,EUR,975369600,F,21,21,False,50.0,43.0,2.0,2.0,11.0,12.0,34.0,40.0,,6.0,,,,90.0,74.0,6.8,17.0,0.136026,1,,,,12.0,8.0,2.0,3.0,2.0,,2.0,1.0,,,0.1201,0.208,2.0,1.0,5.0,7.0,,2.0,,2.0,,,,2.0,4.0,1.0,,,,,,
