match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_sofascoreId,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_totalOppositionHalfPasses,stat_aerialWon,stat_duelWon,stat_totalClearance,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalBallCarriesDistance,stat_ballCarriesCount,stat_totalProgression,stat_bestBallCarryProgression,stat_keeperSaveValue,stat_totalShots,stat_goalsPrevented,stat_passValueNormalized,stat_dribbleValueNormalized,stat_defensiveValueNormalized,stat_goalkeeperValueNormalized,stat_accurateOppositionHalfPasses,stat_aerialLost,stat_duelLost,stat_dispossessed,stat_totalContest,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_wasFouled,stat_fouls,stat_keyPass,stat_challengeLost,captain,stat_wonContest,stat_bigChanceCreated,stat_totalOffside,stat_totalCross,stat_blockedScoringAttempt,stat_expectedGoals,stat_shotValueNormalized,stat_accurateCross,stat_shotOffTarget,stat_bigChanceMissed,stat_onTargetScoringAttempt,stat_expectedGoalsOnTarget,stat_lastManTackle,stat_hitWoodwork,stat_outfielderBlock,stat_errorLeadToAShot,stat_goals
14572986,home,Fiorentina,David De Gea,,,david-de-gea,D. De Gea,G,43,192,23571,M,d_degea,69378,EUR,657936000,G,43,43,False,32.0,29.0,7.0,4.0,0.0,29.0,29.0,3.0,1.0,1.0,2.0,8.0,2.0,3.0,2.0,90.0,42.0,6.8,3.0,0.00014272,67.743589955145,11.0,16.17,13.65,0.0847,0,0.3623,0.02,0.17,-0.03,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14572986,home,Fiorentina,Marin Pongračić,,,marin-pongracic,M. Pongračić,D,5,193,2512,M,,847467,EUR,873936000,D,5,5,False,68.0,66.0,4.0,4.0,0.0,38.0,38.0,30.0,,6.0,1.0,4.0,,,,90.0,84.0,7.0,6.0,0.0317807,395.6708376087,44.0,204.015,33.18,,0,,0.19,0.27,-0.12,,28.0,1.0,5.0,2.0,1.0,2.0,4.0,3.0,1.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,
14572986,home,Fiorentina,Pietro Comuzzo,Pietro Comuzzo,,comuzzo-pietro,P. Comuzzo,D,15,185,1337,M,,1210848,EUR,1108857600,D,15,15,False,45.0,44.0,4.0,3.0,0.0,33.0,33.0,12.0,3.0,6.0,6.0,1.0,,,,90.0,59.0,6.7,1.0,0.00303327,134.86525171127,20.0,35.49,15.54,,0,,0.11,0.07,-0.08,,11.0,3.0,5.0,,,3.0,3.0,2.0,,,1.0,,1.0,,,,,,,,,,,,,,,,,,
14572986,home,Fiorentina,Luca Ranieri,,,luca-ranieri,L. Ranieri,D,6,187,1093,M,,893998,EUR,924825600,D,6,6,False,52.0,44.0,9.0,5.0,0.0,20.0,23.0,29.0,2.0,3.0,2.0,1.0,,,,79.0,58.0,6.9,9.0,0.197525,187.7187504734,27.0,84.0,22.995,,0,,0.31,0.03,-0.16,,24.0,,2.0,,1.0,,,,,,2.0,1.0,,True,1.0,1.0,1.0,,,,,,,,,,,,,,
14572986,home,Fiorentina,Niccolò Fortini,Niccolò Fortini,,niccolo-fortini,N. Fortini,M,29,185,620,M,,1526934,EUR,1139788800,M,29,29,False,31.0,27.0,4.0,2.0,0.0,16.0,18.0,13.0,,2.0,1.0,6.0,,,,79.0,60.0,6.7,16.0,0.00823397,146.11685496997,19.0,66.99,22.785,,1,,0.06,0.12,-0.01,,9.0,,4.0,2.0,2.0,1.0,1.0,1.0,3.0,1.0,,,,,,,,2.0,1.0,0.0591,-0.11,,,,,,,,,,
14572986,home,Fiorentina,Rolando Mandragora,,,rolando-mandragora,R. Mandragora,M,8,183,2131,M,,548178,EUR,867542400,M,8,8,False,35.0,27.0,2.0,2.0,0.0,17.0,18.0,17.0,,7.0,,2.0,,,,90.0,55.0,6.7,15.0,0.312254,95.945992081732,18.0,45.885,11.025,,2,,0.52,0.11,-0.06,,6.0,,6.0,1.0,3.0,,2.0,2.0,,4.0,3.0,1.0,,,1.0,1.0,,6.0,1.0,0.1153,-0.35,2.0,1.0,,,,,,,,
14572986,home,Fiorentina,Hans Nicolussi Caviglia,,,hans-nicolussi-caviglia,H. N. Caviglia,M,41,184,1625,M,,876259,EUR,961286400,M,14,14,False,47.0,40.0,3.0,2.0,0.0,19.0,20.0,27.0,1.0,7.0,,2.0,,,,79.0,62.0,7.6,12.0,0.127138,173.3165533716,30.0,44.415,9.135,,1,,0.28,0.17,-0.04,,17.0,,1.0,,3.0,,2.0,1.0,,2.0,,1.0,,,2.0,1.0,,5.0,1.0,0.0318,-0.07,1.0,,,,,,,,,
14572986,home,Fiorentina,Cher Ndour,,,ndour-cher,C. Ndour,M,27,190,2165,M,,1114422,EUR,1090886400,M,27,27,False,22.0,19.0,,,0.0,8.0,9.0,13.0,2.0,3.0,1.0,,,,,63.0,31.0,6.5,4.0,0.110166,75.746063825738,14.0,-14.805,7.98,,1,,0.24,0.08,-0.09,,11.0,1.0,5.0,1.0,1.0,1.0,,,,,2.0,,1.0,,1.0,,,,,0.528,-0.63,,,1.0,1.0,0.4515,,,,,
14572986,home,Fiorentina,Fabiano Parisi,,,fabiano-parisi,F. Parisi,D,65,178,811,M,,972886,EUR,973728000,M,65,65,False,35.0,29.0,4.0,4.0,0.0,16.0,18.0,17.0,1.0,6.0,2.0,3.0,,,,63.0,55.0,8.0,12.0,0.451794,176.21257123933,21.0,9.345,22.89,,1,,0.61,0.0,0.67,,11.0,,1.0,,1.0,,1.0,,3.0,3.0,1.0,2.0,,,1.0,1.0,,3.0,1.0,0.0161,0.01,1.0,,,,,1.0,,,,
14572986,home,Fiorentina,Edin Džeko,,,edin-dzeko,E. Džeko,F,10,193,23278,M,EDzeko,14990,EUR,511401600,F,9,9,False,17.0,10.0,1.0,,0.0,3.0,3.0,14.0,5.0,7.0,1.0,3.0,,,,90.0,29.0,6.2,10.0,0.0377119,103.01423883993,12.0,-55.86,6.93,,4,,-0.4,0.12,-0.01,,7.0,1.0,2.0,1.0,1.0,,,,2.0,1.0,,1.0,,,1.0,,1.0,,2.0,0.682,-0.49,,,3.0,2.0,1.194,,1.0,,,
