match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_aerialLost,stat_duelLost,stat_totalClearance,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalBallCarriesDistance,stat_ballCarriesCount,stat_totalProgression,stat_bestBallCarryProgression,stat_keeperSaveValue,stat_totalShots,stat_goalsPrevented,stat_passValueNormalized,stat_dribbleValueNormalized,stat_defensiveValueNormalized,stat_goalkeeperValueNormalized,stat_aerialWon,stat_duelWon,stat_totalTackle,stat_wonTackle,stat_keyPass,captain,stat_bigChanceMissed,stat_shotOffTarget,stat_expectedGoals,stat_shotValueNormalized,stat_challengeLost,stat_totalContest,stat_wonContest,stat_unsuccessfulTouch,stat_fouls,stat_totalProgressiveBallCarriesDistance,stat_progressiveBallCarriesCount,stat_totalCross,stat_bigChanceCreated,stat_onTargetScoringAttempt,stat_goals,stat_interceptionWon,stat_expectedGoalsOnTarget,stat_dispossessed,stat_blockedScoringAttempt,stat_wasFouled,stat_penaltyWon,stat_accurateCross,stat_outfielderBlock,stat_errorLeadToAShot,stat_penaltyFaced,stat_penaltyConceded,stat_totalOffside,stat_hitWoodwork
14288938,home,FC Alverca,André Gomes,André Gomes,,andre-gomes,A. Gomes,G,13,182,794,M,1139990,EUR,1098230400,G,13,13,False,24.0,15.0,14.0,6.0,0.0,12.0,16.0,3.0,8.0,1.0,1.0,1.0,8.0,1.0,3.0,3.0,1.0,1.0,90.0,31.0,7.2,9.0,0.00159103,20.606266451889,4.0,-7.875,1.155,0.5243,0,0.2717,0.04,-0.05,0.16,0.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14288938,home,FC Alverca,Kaiky Naves,Kaiky Naves,,kaiky-naves,K. Naves,D,4,186,1824,M,1167068,EUR,1020816000,D,4,4,False,54.0,43.0,11.0,5.0,0.0,22.0,24.0,21.0,30.0,3.0,3.0,3.0,1.0,,,,,,90.0,61.0,6.7,11.0,0.0086641,152.50399183456,19.0,97.02,14.175,,0,,0.15,0.14,-0.07,,1.0,3.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14288938,home,FC Alverca,Sergi Gómez,,,sergi-gomez,S. Gómez,D,5,185,195,M,125625,EUR,701740800,D,5,5,False,35.0,32.0,4.0,1.0,0.0,27.0,27.0,5.0,8.0,,,3.0,3.0,,,,,,90.0,41.0,6.4,3.0,0.00429915,50.879138043245,7.0,-8.295,6.405,,1,,0.01,0.01,-0.11,,1.0,2.0,1.0,,,True,1.0,1.0,0.3401,-0.42,,,,,,,,,,,,,,,,,,,,,,,,
14288938,home,FC Alverca,Bastien Meupiyou,,,bastien-meupiyou,B. Meupiyou,D,33,191,529,M,1405973,EUR,1142726400,D,33,33,False,60.0,49.0,6.0,2.0,0.0,31.0,34.0,18.0,26.0,1.0,5.0,1.0,4.0,,,,,,90.0,69.0,6.7,13.0,0.13432,149.68479683116,16.0,54.495,28.35,,1,,0.19,0.3,-0.23,,2.0,5.0,2.0,1.0,1.0,,,1.0,0.0211,-0.1,2.0,2.0,1.0,1.0,1.0,58.485982384448,3.0,,,,,,,,,,,,,,,,,
14288938,home,FC Alverca,Nabil Touaizi,,,nabil-touaizi,N. Touaizi,F,2,183,485,M,904849,EUR,980985600,M,2,2,False,24.0,21.0,2.0,1.0,1.0,8.0,9.0,13.0,15.0,,3.0,,1.0,,,,,,89.0,45.0,7.8,13.0,0.297484,133.8909933796,16.0,93.975,18.9,,1,,0.36,0.06,-0.09,,,1.0,,,1.0,,,,0.7884,0.32,,4.0,1.0,,,19.667323152885,1.0,7.0,1.0,1.0,1.0,1.0,0.7428,,,,,,,,,,,
14288938,home,FC Alverca,Sabit Abdulai,,,sabit-abdulai,S. Abdulai,M,21,185,126,M,1031485,EUR,926380800,M,21,21,False,31.0,30.0,2.0,2.0,0.0,14.0,14.0,16.0,17.0,1.0,3.0,1.0,5.0,,,,,,85.0,38.0,6.7,3.0,0.0131423,181.66452308444,16.0,18.9,24.36,,0,,-0.09,0.25,-0.01,,,3.0,2.0,,,,,,,,,1.0,1.0,1.0,1.0,24.605621796655,1.0,,,,,,,1.0,,,,,,,,,,
14288938,home,FC Alverca,Alexsandro Amorim,,,amorim,Amorim,M,4,177,437,M,1511706,EUR,1116374400,M,8,8,False,34.0,27.0,5.0,2.0,0.0,10.0,11.0,17.0,23.0,,3.0,2.0,5.0,,,,,,89.0,52.0,7.4,10.0,0.0168194,191.35869900259,17.0,71.295,23.415,,3,,0.09,0.34,0.22,,,6.0,4.0,1.0,,,,2.0,0.0909,-0.3,,,,1.0,3.0,61.368296183419,3.0,2.0,,,,1.0,,,1.0,2.0,1.0,,,,,,,
14288938,home,FC Alverca,Francisco Chissumba,Francisco,Chissumba,francisco-chissumba,F. Chissumba,D,55,180,264,M,1158067,EUR,1117324800,M,55,55,False,26.0,22.0,4.0,2.0,0.0,8.0,10.0,14.0,16.0,2.0,5.0,6.0,5.0,,,,,,90.0,55.0,7.0,9.0,0.0687185,77.043239327032,7.0,28.455,30.765,,1,,0.25,0.2,-0.06,,3.0,7.0,2.0,2.0,,,1.0,,0.144,-0.09,,2.0,2.0,2.0,3.0,31.537173636837,1.0,1.0,,,,,,,1.0,,,1.0,1.0,1.0,,,,
14288938,home,FC Alverca,Lincoln,,,lincoln,Lincoln,M,18,177,840,M,794928,EUR,910396800,F,18,18,False,38.0,35.0,2.0,1.0,0.0,8.0,9.0,27.0,29.0,,1.0,,7.0,,,,,,74.0,57.0,7.6,8.0,0.196252,145.50384865731,16.0,7.56,27.825,,4,,0.38,0.26,-0.04,,,4.0,,,3.0,,1.0,3.0,0.6718,-0.67,1.0,1.0,1.0,,,31.000723362528,1.0,7.0,1.0,,,,,,1.0,3.0,,2.0,,,,,,
14288938,home,FC Alverca,Sandro Lima,,,sandro-lima,S. Lima,F,91,186,115,M,344023,EUR,657072000,F,91,91,False,13.0,12.0,1.0,,0.0,2.0,2.0,10.0,11.0,1.0,2.0,,1.0,,,,,,74.0,17.0,7.6,2.0,0.0636259,44.844038728475,5.0,20.475,8.505,,2,,0.06,0.16,0.0,,1.0,1.0,,,2.0,,,1.0,0.3064,0.48,,,,1.0,1.0,11.340326097604,1.0,,1.0,1.0,1.0,,0.8508,,,,,,,,,,,
14288938,home,FC Alverca,Figueiredo,Figueiredo,,figueiredo,Figueiredo,M,20,178,683,M,1105790,EUR,997747200,F,20,20,False,20.0,16.0,,,0.0,4.0,5.0,12.0,15.0,5.0,13.0,,2.0,,,,,,90.0,36.0,6.2,14.0,0.524715,102.09037853217,10.0,43.575,37.8,,2,,0.51,-0.05,-0.1,,1.0,2.0,1.0,1.0,3.0,,,,0.0699,-0.35,2.0,3.0,,4.0,3.0,38.199189310769,1.0,4.0,1.0,1.0,,,0.0125,,1.0,,,1.0,,,,,,
14288938,home,FC Alverca,Davy Gui,Davy,Gui,davy-jean-carl-kamon-gui-gui,D. Gui,M,6,185,95,M,2033832,EUR,1150329600,M,6,6,True,2.0,1.0,,,0.0,,,1.0,2.0,,4.0,1.0,,,,,,,16.0,6.0,6.3,4.0,0.00017957,,,,,,0,,-0.02,,-0.06,,,,,,,,,,,,1.0,,,3.0,3.0,,,,,,,,,,,,,,,,,,,
