match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,player_firstName,player_lastName,stat_goalAssist,stat_totalCross,stat_accurateCross,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_challengeLost,stat_dispossessed,stat_totalContest,stat_bigChanceCreated,stat_shotOffTarget,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_wasFouled,stat_expectedGoals,stat_keyPass,stat_outfielderBlock,stat_fouls,stat_totalOffside,stat_blockedScoringAttempt,captain,stat_wonContest,stat_onTargetScoringAttempt,stat_goals,stat_expectedGoalsOnTarget,player_sofascoreId,stat_bigChanceMissed,stat_goodHighClaim
11369875,home,Club Brugge KV,Simon Mignolet,simon-mignolet,S. Mignolet,G,22,193,1240,M,10406,EUR,573609600,G,22,22,False,29.0,18.0,23.0,12.0,9.0,14.0,9.0,15.0,1.0,5.0,1.0,1.0,1.0,1.0,90.0,34.0,6.8,11.0,0.00662409,0,0.0136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11369875,home,Club Brugge KV,Tajon Buchanan,tajon-buchanan,T. Buchanan,M,17,183,7500,M,973290,EUR,918432000,D,17,17,False,35.0,30.0,1.0,,17.0,19.0,15.0,19.0,1.0,4.0,,,,,90.0,59.0,7.0,11.0,0.365971,1,,,,1.0,3.0,2.0,1.0,1.0,4.0,6.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,3.0,0.0164,2.0,,,,,,,,,,,,
11369875,home,Club Brugge KV,Brandon Mechele,brandon-mechele,B. Mechele,D,44,188,823,M,248331,EUR,728179200,D,44,44,False,56.0,50.0,9.0,6.0,34.0,37.0,16.0,19.0,4.0,5.0,,,,,90.0,65.0,6.9,7.0,0.0110561,0,,,,,,,,,1.0,1.0,,,,,,,1.0,,,,,,1.0,1.0,,,,,,,,,,
11369875,home,Club Brugge KV,Jorne Spileers,jorne-spileers,J. Spileers,D,58,188,885,M,1104897,EUR,1106265600,D,58,58,False,40.0,32.0,7.0,2.0,20.0,24.0,12.0,16.0,2.0,6.0,,,,,90.0,45.0,6.5,8.0,0.00262135,0,,Jorne,Spileers,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
11369875,home,Club Brugge KV,Bjorn Meijer,bjorn-meijer,B. Meijer,D,14,190,695,M,1047509,EUR,1047945600,D,14,14,False,32.0,24.0,1.0,,9.0,10.0,15.0,24.0,1.0,7.0,,,,,79.0,52.0,6.5,14.0,0.0107475,0,,Bjorn Meijer,,,2.0,,2.0,2.0,6.0,2.0,,2.0,1.0,,,,,,1.0,,,,,1.0,1.0,,,,,,,,,
11369875,home,Club Brugge KV,Casper Nielsen,casper-nielsen,C. Nielsen,M,94,182,403,M,247471,EUR,767577600,M,27,27,False,22.0,19.0,6.0,4.0,8.0,9.0,11.0,13.0,,2.0,,,,,79.0,33.0,6.4,6.0,0.00784466,2,,,,,,,3.0,1.0,7.0,5.0,,2.0,,,1.0,,3.0,1.0,1.0,1.0,0.0465,,,2.0,,1.0,,,,,,,,
11369875,home,Club Brugge KV,Hans Vanaken,hans-vanaken,H. Vanaken,M,20,194,2941,M,118085,EUR,714614400,M,20,20,False,55.0,42.0,7.0,7.0,14.0,16.0,28.0,40.0,,4.0,,,,,90.0,69.0,7.9,17.0,0.0991539,2,,,,,1.0,,,8.0,2.0,10.0,,1.0,1.0,,,1.0,1.0,1.0,2.0,,0.1573,2.0,,1.0,,1.0,True,1.0,1.0,1.0,0.359,,,
11369875,home,Club Brugge KV,Raphael Onyedika,raphael-onyedika,R. Onyedika,M,15,184,6213,M,1129862,EUR,987638400,M,15,15,False,46.0,40.0,2.0,2.0,19.0,22.0,21.0,24.0,,4.0,,,,,90.0,48.0,7.0,6.0,0.0154305,0,,,,,,,1.0,1.0,3.0,3.0,,,1.0,,,,1.0,1.0,,,,,,2.0,,,,1.0,,,,,,
11369875,home,Club Brugge KV,Andreas Skov Olsen,andreas-skov-olsen,A. Skov Olsen,M,7,187,2523,M,888537,EUR,946425600,M,7,7,False,25.0,19.0,,,6.0,6.0,14.0,23.0,,7.0,,,,,89.0,43.0,7.0,15.0,0.139198,2,,,,,4.0,1.0,,,1.0,3.0,,,1.0,,1.0,,2.0,1.0,4.0,1.0,0.1446,3.0,,1.0,,1.0,,,,,,,,
11369875,home,Club Brugge KV,Ferran Jutglà,ferran-jutgla,F. Jutglà,F,9,175,3732,M,949962,EUR,917827200,F,9,9,False,10.0,8.0,,,2.0,2.0,6.0,8.0,,1.0,,,,,62.0,20.0,7.7,5.0,0.00438049,2,,,,,,,,,,4.0,,,2.0,,,,,,3.0,2.0,0.3272,,,,,,,2.0,2.0,1.0,0.3443,,,
