match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_duelWon,stat_ballRecovery,stat_wasFouled,stat_savedShotsFromInsideTheBox,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_totalCross,stat_accurateCross,stat_aerialWon,stat_duelLost,stat_challengeLost,stat_totalContest,stat_wonContest,stat_shotOffTarget,stat_totalClearance,stat_interceptionWon,stat_unsuccessfulTouch,stat_fouls,stat_keyPass,stat_aerialLost,stat_dispossessed,stat_totalTackle,stat_wonTackle,stat_blockedScoringAttempt,stat_outfielderBlock,stat_totalOffside,captain,stat_onTargetScoringAttempt,stat_goodHighClaim,player_sofascoreId,stat_goalAssist,stat_bigChanceCreated,stat_goals
10389915,home,Ajaccio,Benjamin Leroy,,,benjamin-leroy,B. Leroy,G,16,184,45,M,80392,EUR,607910400,G,1,1,False,20.0,13.0,11.0,5.0,8.0,11.0,5.0,9.0,1.0,9.0,1.0,2.0,3.0,1.0,1.0,90.0,27.0,6.8,7.0,0.0,0.0,0.00192238,0,-0.4763,,,,,,,,,,,,,,,,,,,,,,,,,,,
10389915,home,Ajaccio,Mohamed Youssouf,,,mohamed-youssouf,M. Youssouf,D,20,168,49,M,38081,EUR,575337600,D,20,20,False,49.0,44.0,4.0,3.0,20.0,20.0,29.0,43.0,4.0,6.0,1.0,,,,,90.0,86.0,7.5,19.0,0.0312,0.0,0.47769,1,,14.0,5.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,3.0,,,,,,,,,,,,,,
10389915,home,Ajaccio,Oumar Gonzalez,,,oumar-gonzalez,O. Gonzalez,D,21,186,314,M,842744,EUR,888364800,D,25,25,False,50.0,43.0,3.0,2.0,31.0,33.0,12.0,17.0,4.0,6.0,1.0,,,,,90.0,59.0,6.5,9.0,0.0,0.0,0.0677403,0,,,,,7.0,,1.0,,,3.0,,,2.0,1.0,3.0,1.0,3.0,1.0,,,,,,,,,,
10389915,home,Ajaccio,Clement Vidal,,,clement-vidal,C. Vidal,D,5,181,43,M,940993,EUR,961286400,D,15,15,False,57.0,48.0,10.0,6.0,37.0,42.0,11.0,15.0,7.0,4.0,,,,,,90.0,69.0,7.2,10.0,0.054,0.0,0.0125489,3,,,,6.0,7.0,1.0,,,1.0,1.0,4.0,1.0,1.0,,5.0,,1.0,1.0,2.0,1.0,1.0,,,,,,,
10389915,home,Ajaccio,Ismaël Diallo,,,ismael-diallo,I. Diallo,D,5,177,979,M,359208,EUR,854496000,D,3,3,False,29.0,18.0,6.0,,8.0,12.0,10.0,21.0,3.0,8.0,,,,,,79.0,50.0,6.3,20.0,0.0483,0.0,0.0136521,1,,4.0,,1.0,1.0,,1.0,1.0,,1.0,2.0,2.0,1.0,,,,1.0,1.0,1.0,,,,,,,,,
10389915,home,Ajaccio,Riad Nouri,,,riad-nouri,R. Nouri,M,,178,36,M,74061,EUR,486950400,M,5,5,False,13.0,10.0,1.0,,4.0,4.0,7.0,13.0,2.0,2.0,1.0,,,,,58.0,25.0,6.6,10.0,0.0,0.0,0.0581312,0,,4.0,1.0,,2.0,,1.0,1.0,,1.0,1.0,3.0,1.0,1.0,,1.0,,,,,,True,,,,,,
10389915,home,Ajaccio,Thomas Mangani,,,thomas-mangani,T. Mangani,M,,183,41,M,14142,EUR,546652800,M,23,23,False,87.0,69.0,18.0,15.0,25.0,26.0,46.0,65.0,6.0,8.0,1.0,,,,,90.0,102.0,8.0,21.0,0.078,0.0,0.177274,2,,4.0,2.0,4.0,4.0,1.0,,,1.0,1.0,2.0,,2.0,4.0,1.0,,1.0,1.0,1.0,,,,,,,,,
10389915,home,Ajaccio,Qazim Laci,,,qazim-laci,Q. Laci,M,20,173,1022,M,284395,EUR,822009600,M,10,10,False,38.0,27.0,6.0,1.0,9.0,9.0,19.0,31.0,5.0,9.0,1.0,,,,,70.0,51.0,6.8,12.0,0.0793,0.0,0.0292882,2,,2.0,1.0,1.0,4.0,2.0,1.0,1.0,1.0,1.0,1.0,,,,2.0,,2.0,1.0,1.0,,,,,,,,,
10389915,home,Ajaccio,Kevin Spadanuda,,,spadanuda-kevin,K. Spadanuda,M,7,177,69,M,993155,EUR,853372800,M,27,27,False,29.0,24.0,2.0,2.0,4.0,4.0,20.0,25.0,4.0,8.0,2.0,,,,,90.0,45.0,6.4,11.0,0.0557,0.0,0.0504478,2,,,,1.0,10.0,3.0,1.0,,2.0,,1.0,3.0,3.0,2.0,1.0,2.0,1.0,1.0,,,,,,,,,,
10389915,home,Ajaccio,Mounaim El Idrissy,,,mounaim-el-idrissy,M. El Idrissy,F,9,181,188,M,960007,EUR,918604800,F,7,7,False,15.0,13.0,,,3.0,3.0,10.0,12.0,3.0,,1.0,,,,,70.0,20.0,6.6,4.0,0.0,0.0,0.231789,0,,,,1.0,5.0,,,,,,,1.0,1.0,1.0,4.0,,1.0,,,,3.0,,,,,,,
