match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,captain,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_penaltySave,stat_penaltyFaced,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_totalShots,player_firstName,stat_totalCross,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_challengeLost,stat_dispossessed,stat_totalContest,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_penaltyConceded,stat_fouls,stat_wonContest,stat_bigChanceCreated,stat_keyPass,player_lastName,stat_bigChanceMissed,stat_shotOffTarget,stat_blockedScoringAttempt,stat_unsuccessfulTouch,stat_wasFouled,stat_onTargetScoringAttempt,stat_accurateCross,stat_goals,stat_outfielderBlock,stat_hitWoodwork,stat_penaltyMiss,stat_totalOffside,stat_penaltyWon
11453233,home,Al-Hazem,Ibrahim Zaied,ibrahim-zaied,I. Zaied,G,23,190.0,14,M,328745,EUR,632966400.0,G,23,23,False,True,29.0,20.0,21.0,12.0,0.0,11.0,13.0,9.0,16.0,1.0,18.0,1.0,4.0,1.0,1.0,5.0,1.0,1.0,90.0,45.0,8.9,9.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11453233,home,Al-Hazem,Ahmad Al Mhemaid,ahmad-al-mhemaid,A. A. Mhemaid,M,99,179.0,11,M,1085117,EUR,930787200.0,D,99,99,False,,50.0,44.0,10.0,8.0,0.0,26.0,29.0,18.0,22.0,1.0,3.0,,,,,,,,90.0,65.0,6.8,12.0,0,Ahmad Al Mhemaid,1.0,1.0,1.0,4.0,4.0,1.0,1.0,1.0,1.0,3.0,2.0,,,,,,,,,,,,,,,,,,,
11453233,home,Al-Hazem,Paulo Ricardo,paulo-ricardo,P. Ricardo,D,3,186.0,171,M,576008,EUR,771465600.0,D,2,2,False,,39.0,37.0,5.0,4.0,0.0,28.0,29.0,9.0,10.0,9.0,6.0,,,,,,,,90.0,51.0,6.7,2.0,0,,,2.0,3.0,3.0,4.0,,,,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,
11453233,home,Al-Hazem,Fahad Al-Obaid,al-obaid-fahad,F. Al-Obaid,D,24,178.0,2,M,1633347,EUR,720748800.0,D,22,22,False,,32.0,28.0,6.0,3.0,1.0,20.0,22.0,8.0,10.0,6.0,5.0,,,,,,,,90.0,49.0,7.1,7.0,0,,,2.0,1.0,6.0,4.0,,1.0,5.0,,,,,1.0,3.0,1.0,1.0,,,,,,,,,,,,,,
11453233,home,Al-Hazem,Majed Mohammed,majed-mohammed,M. Mohammed,D,50,169.0,71,M,1385284,EUR,1007337600.0,D,27,27,False,,28.0,24.0,1.0,,0.0,5.0,7.0,19.0,23.0,,3.0,,,,,,,,45.0,48.0,6.8,10.0,2,Majed Mohammed,2.0,2.0,1.0,4.0,5.0,,,3.0,,1.0,1.0,,1.0,2.0,,1.0,,1.0,1.0,1.0,1.0,1.0,,,,,,,,
11453233,home,Al-Hazem,Abdulaziz Al-Harbi,abdulaziz-al-harbi,A. Al-Harbi,D,82,,15,M,1216091,EUR,1060732800.0,M,82,82,False,,22.0,17.0,1.0,1.0,0.0,4.0,6.0,13.0,18.0,,2.0,,,,,,,,59.0,29.0,6.6,10.0,0,Abdulaziz Al-Harbi,2.0,,1.0,2.0,1.0,,2.0,,1.0,,,,,,,1.0,,,,,1.0,,,,,,,,,
11453233,home,Al-Hazem,Júnior Moreno,junior-moreno,J. Moreno,M,8,175.0,315,M,312026,EUR,743126400.0,M,93,93,False,,48.0,42.0,3.0,3.0,0.0,24.0,25.0,18.0,23.0,1.0,5.0,,,,,,,,90.0,59.0,7.2,8.0,0,,,1.0,,5.0,3.0,1.0,1.0,1.0,1.0,2.0,2.0,,2.0,1.0,,1.0,,,,,1.0,,,,,,,,,
11453233,home,Al-Hazem,Tozé,toze,Tozé,M,20,165.0,386,M,1089231,EUR,726969600.0,M,20,20,False,,77.0,70.0,12.0,8.0,0.0,34.0,35.0,36.0,46.0,1.0,11.0,,,,,,,,90.0,92.0,7.6,11.0,3,,4.0,,,,1.0,,,,2.0,,,,,,,,,,1.0,1.0,,1.0,1.0,,,,,,,
11453233,home,Al-Hazem,Nawaf Al-Habashi,nawaf-al-habashi,N. Al-Habashi,M,19,184.0,28,M,954528,EUR,898560000.0,M,19,19,False,,34.0,26.0,1.0,1.0,0.0,6.0,6.0,20.0,28.0,,2.0,,,,,,,,72.0,56.0,7.2,15.0,2,,,,,6.0,10.0,2.0,1.0,7.0,1.0,2.0,,,1.0,5.0,,2.0,,,1.0,1.0,4.0,3.0,,,,,,,,
11453233,home,Al-Hazem,Faïz Selemani,faiz-selemani,F. Selemani,F,7,178.0,359,M,842745,EUR,754617600.0,F,10,10,False,,49.0,38.0,4.0,2.0,1.0,9.0,10.0,30.0,43.0,,3.0,,,,,,,,90.0,71.0,8.3,20.0,5,,4.0,1.0,,4.0,5.0,,2.0,5.0,,,,,,4.0,2.0,4.0,,,3.0,2.0,3.0,1.0,,1.0,,,,,,
