match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,captain,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_crossNotClaimed,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_penaltySave,stat_penaltyFaced,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_keeperSaveValue,stat_totalShots,stat_goalsPrevented,stat_passValueNormalized,stat_dribbleValueNormalized,stat_defensiveValueNormalized,stat_goalkeeperValueNormalized,stat_aerialWon,stat_duelWon,stat_totalClearance,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_keyPass,stat_aerialLost,stat_duelLost,stat_challengeLost,stat_fouls,stat_dispossessed,stat_totalContest,stat_wonContest,stat_wasFouled,stat_totalCross,stat_accurateCross,stat_shotOffTarget,stat_onTargetScoringAttempt,stat_penaltyConceded,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_shotValueNormalized,stat_blockedScoringAttempt,stat_bigChanceMissed,stat_bigChanceCreated,stat_goals,stat_totalOffside,stat_penaltyWon,stat_punches,stat_outfielderBlock,stat_penaltyMiss
14131918,home,Santa Clara,Gabriel Batista,,,gabriel-batista,G. Batista,G,1,188,348,M,822526,EUR,896832000,G,1,1,False,True,24.0,19.0,11.0,6.0,0.0,14.0,16.0,5.0,8.0,10.0,1.0,3.0,1.0,1.0,1.0,3.0,3.0,3.0,90.0,37.0,6.6,5.0,0.00065057,0.5268,0,0.426,0.01,0.0,-0.12,0.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14131918,home,Santa Clara,Sidney Lima,Sidney,,sidney-lima,S. Lima,D,23,182,139,M,1131145,EUR,853459200,D,23,23,False,,24.0,20.0,3.0,2.0,0.0,16.0,19.0,4.0,5.0,,,,,,,,,,67.0,37.0,6.4,7.0,0.0533197,,0,,0.21,0.01,-0.32,,1.0,2.0,5.0,2.0,1.0,1.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
14131918,home,Santa Clara,Frederico Venâncio,,,frederico-venancio,F. Venâncio,D,21,186,71,M,254815,EUR,728784000,D,21,21,False,,45.0,36.0,8.0,3.0,0.0,26.0,27.0,10.0,18.0,,,,,,,,,,90.0,61.0,6.5,10.0,0.0112342,,0,,0.13,0.03,-0.35,,3.0,6.0,7.0,2.0,3.0,1.0,,,2.0,4.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,
14131918,home,Santa Clara,Matheus Araújo,Matheus,,matheus-araujo,M. Araújo,D,32,185,323,M,1105841,EUR,983404800,D,32,32,False,,60.0,48.0,12.0,3.0,0.0,32.0,36.0,16.0,24.0,4.0,,,,,,,,,90.0,77.0,6.4,15.0,0.0472622,,0,,0.34,0.1,-0.32,,1.0,5.0,4.0,1.0,,,,1.0,,2.0,,1.0,1.0,1.0,1.0,3.0,,,,,,,,,,,,,,,,,
14131918,home,Santa Clara,Lucas Soares,,,lucas-soares,L. Soares,M,42,176,85,M,991358,EUR,894240000,M,42,42,False,,24.0,19.0,3.0,1.0,0.0,8.0,11.0,11.0,13.0,9.0,,,,,,,,,90.0,62.0,6.2,20.0,0.0453334,,2,,0.05,0.23,-0.38,,1.0,4.0,1.0,,1.0,,5.0,,1.0,5.0,,2.0,1.0,2.0,1.0,1.0,7.0,2.0,1.0,1.0,1.0,0.0584,0.0349,-0.27,,,,,,,,,
14131918,home,Santa Clara,Serginho,,,serginho,Serginho,M,35,181,94,M,1019184,EUR,944006400,M,35,35,False,,24.0,20.0,3.0,1.0,0.0,10.0,11.0,10.0,13.0,4.0,,,,,,,,,67.0,37.0,7.0,4.0,0.00672736,,2,,0.12,0.05,-0.05,,,8.0,1.0,,2.0,2.0,,1.0,,3.0,,3.0,,1.0,1.0,5.0,,,,,,0.135,,-0.17,2.0,,,,,,,,
14131918,home,Santa Clara,Adriano Firmino,,,adriano-firmino,A. Firmino,M,6,187,127,M,989383,EUR,941673600,M,6,6,False,,57.0,47.0,2.0,,0.0,22.0,24.0,25.0,33.0,5.0,,,,,,,,,90.0,70.0,6.5,15.0,0.0225317,,0,,0.13,0.09,-0.08,,,1.0,2.0,,,,2.0,,2.0,5.0,,,,3.0,,1.0,,,,,,,,,,,,,,,,,
14131918,home,Santa Clara,Diogo Calila,,,diogo-calila,D. Calila,M,2,173,593,M,892083,EUR,907977600,M,2,2,False,,10.0,7.0,1.0,,0.0,7.0,8.0,,2.0,,,,,,,,,,41.0,16.0,6.4,6.0,0.00012961,,0,,-0.06,-0.05,-0.06,,,1.0,,,,,2.0,,,3.0,1.0,1.0,,1.0,,1.0,,,,,,,,,,,,,,,,,
14131918,home,Santa Clara,Luquinhas,,,luquinhas,Luquinhas,M,82,169,497,M,845787,EUR,843868800,F,28,28,False,,4.0,3.0,,,0.0,2.0,2.0,1.0,2.0,1.0,,,,,,,,,53.0,17.0,7.0,6.0,0.00522034,,1,,0.06,0.05,-0.03,,,7.0,,,3.0,2.0,2.0,,2.0,5.0,1.0,,2.0,,,4.0,1.0,,,1.0,,0.2942,0.6479,0.13,,1.0,,,,,,,
14131918,home,Santa Clara,Anthony Carter,,,anthony-carter,A. Carter,F,9,192,153,M,370010,EUR,778291200,F,9,9,False,,11.0,6.0,,,0.0,2.0,3.0,4.0,8.0,,,,,,,,,,41.0,16.0,6.2,9.0,0.00238801,,0,,-0.05,-0.31,-0.02,,3.0,3.0,,,,,1.0,,2.0,6.0,,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,
14131918,home,Santa Clara,Matheus Pereira,,,matheus-pereira,M. Pereira,M,3,172,198,M,1016898,EUR,977356800,F,3,3,False,,28.0,21.0,3.0,1.0,0.0,5.0,7.0,16.0,21.0,1.0,,,,,,,,,90.0,56.0,7.1,15.0,0.158495,,0,,0.28,-0.3,0.15,,1.0,8.0,2.0,2.0,1.0,1.0,1.0,2.0,,6.0,,3.0,,6.0,2.0,5.0,4.0,1.0,,,,,,,,,1.0,,,,,,
