match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_totalClearance,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_minutesPlayed,stat_touches,stat_rating,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_dispossessed,stat_totalContest,stat_outfielderBlock,stat_totalTackle,stat_unsuccessfulTouch,stat_wasFouled,stat_fouls,stat_possessionLostCtrl,stat_keyPass,stat_wonContest,stat_wonTackle,captain,stat_challengeLost,stat_onTargetScoringAttempt,stat_goals,player_sofascoreId,stat_totalCross,stat_accurateCross,stat_shotOffTarget,stat_blockedScoringAttempt,stat_totalOffside,stat_interceptionWon
11067297,home,Fluminense,Fábio,,,fabio,Fábio,G,1,188,4344,M,17785,EUR,339120000,G,1,1,False,21.0,21.0,1.0,1.0,21.0,21.0,1.0,8.0,1.0,3.0,6.0,1.0,90.0,36.0,8.3,0.0,0.0,6.813e-05,0,0.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11067297,home,Fluminense,Samuel Xavier,,,xavier-samuel,S. Xavier,D,2,166,1621,M,795773,EUR,644630400,D,2,2,False,32.0,27.0,3.0,2.0,18.0,20.0,2.0,1.0,,,,,90.0,56.0,7.2,0.0,0.0,0.0103471,0,,9.0,12.0,3.0,3.0,8.0,6.0,2.0,1.0,4.0,1.0,2.0,2.0,2.0,11.0,1.0,,,,,,,,,,,,,
11067297,home,Fluminense,David Braz,,,david-braz,D. Braz,D,33,187,246,M,46942,EUR,548553600,D,44,44,False,74.0,66.0,4.0,3.0,43.0,47.0,7.0,5.0,,,,,90.0,87.0,7.6,0.0,0.0,0.0131675,0,,23.0,27.0,3.0,3.0,3.0,5.0,,1.0,1.0,1.0,,,,9.0,1.0,1.0,1.0,,,,,,,,,,,
11067297,home,Fluminense,Felipe Melo,,,felipe-melo,F. Melo,D,,183,1013,M,4811,EUR,425433600,D,30,30,False,66.0,61.0,10.0,6.0,47.0,47.0,4.0,5.0,,,,,58.0,75.0,7.1,0.0,0.0,0.00662468,0,,14.0,19.0,1.0,,1.0,3.0,,1.0,1.0,1.0,,1.0,,5.0,,1.0,1.0,True,,,,,,,,,,
11067297,home,Fluminense,Diogo Barbosa,,,diogo-barbosa,D. Barbosa,D,16,180,555,M,243107,EUR,714009600,D,16,16,False,44.0,35.0,3.0,2.0,16.0,19.0,,5.0,,,,,90.0,57.0,7.5,0.079,0.1541,0.0196436,1,,19.0,25.0,,,3.0,5.0,1.0,2.0,,2.0,,1.0,1.0,11.0,,2.0,2.0,,1.0,1.0,1.0,,,,,,,
11067297,home,Fluminense,Jhon Arias,,,jhon-arias,J. Arias,M,21,170,30718,M,844096,EUR,874800000,M,21,21,False,38.0,31.0,,,9.0,12.0,2.0,4.0,,,,,90.0,80.0,6.8,0.1401,0.0,0.0835086,3,,23.0,34.0,2.0,2.0,10.0,14.0,2.0,12.0,,1.0,2.0,4.0,1.0,23.0,1.0,7.0,1.0,,,,,jhonariasa,8.0,1.0,1.0,2.0,1.0,
11067297,home,Fluminense,André,André,,andre,André,M,7,176,9120,M,1035996,EUR,995241600,M,7,7,False,81.0,78.0,3.0,3.0,51.0,52.0,2.0,14.0,,,,,90.0,96.0,7.0,0.0,0.0,0.0143702,0,,27.0,30.0,1.0,1.0,5.0,4.0,,2.0,1.0,1.0,4.0,1.0,3.0,9.0,,1.0,,,,,,Andre7,1.0,,,,,1.0
11067297,home,Fluminense,Alexsander,Alexsander,,alexsander,Alexsander,M,5,178,1981,M,1185617,EUR,1065571200,M,5,5,False,46.0,38.0,3.0,,23.0,24.0,,3.0,,,,,58.0,57.0,6.8,0.0,0.0,0.0577444,0,,15.0,22.0,2.0,,4.0,3.0,2.0,1.0,,1.0,3.0,1.0,,13.0,2.0,1.0,,,,,,,,,,,,1.0
11067297,home,Fluminense,Keno,,,keno,Keno,M,11,174,1898,M,787607,EUR,621388800,M,11,11,False,17.0,11.0,2.0,,,2.0,1.0,2.0,,,,,71.0,34.0,6.9,0.1314,0.0625,0.107646,3,,12.0,16.0,3.0,3.0,6.0,5.0,1.0,2.0,,1.0,2.0,1.0,1.0,12.0,2.0,1.0,1.0,,,2.0,,,1.0,1.0,1.0,,,1.0
11067297,home,Fluminense,John Kennedy,,,john-kennedy,John Kennedy,F,99,173,5275,M,1087399,EUR,1021680000,F,9,9,False,15.0,11.0,,,3.0,3.0,,2.0,,,,,78.0,24.0,6.6,0.0,0.0,0.0278907,0,,8.0,12.0,1.0,1.0,3.0,3.0,,2.0,,,5.0,1.0,1.0,10.0,2.0,1.0,,,,,,,,,,,1.0,1.0
