match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_aerialWon,stat_duelWon,stat_totalClearance,stat_ballRecovery,stat_errorLeadToAGoal,stat_savedShotsFromInsideTheBox,stat_penaltyFaced,stat_saves,stat_punches,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_totalShots,stat_totalCross,stat_accurateCross,stat_aerialLost,stat_duelLost,stat_challengeLost,stat_outfielderBlock,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_interceptionWon,captain,stat_shotOffTarget,stat_penaltyConceded,stat_fouls,stat_keyPass,stat_dispossessed,stat_totalContest,stat_wonContest,stat_blockedScoringAttempt,stat_wasFouled,stat_onTargetScoringAttempt,stat_totalOffside,player_sofascoreId,stat_goals,stat_goalAssist,stat_bigChanceCreated,stat_bigChanceMissed,stat_hitWoodwork,stat_penaltyWon
10382055,home,FC Groningen,Jan de Boer,,,jan-de-boer,J. d. Boer,G,12,202.0,63,M,978865,EUR,958780800,G,25,25,False,29.0,6.0,28.0,5.0,2.0,4.0,4.0,25.0,1.0,1.0,2.0,9.0,1.0,6.0,1.0,7.0,2.0,90.0,44.0,6.2,24.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10382055,home,FC Groningen,Jorg Schreuders,Jorg Schreuders,,jorg-schreuders,J. Schreuders,M,14,177.0,234,M,1424404,EUR,1094688000,D,39,39,False,26.0,14.0,4.0,1.0,9.0,13.0,6.0,16.0,,6.0,3.0,6.0,,,,,,90.0,53.0,6.4,16.0,0,3.0,1.0,2.0,3.0,1.0,1.0,6.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,
10382055,home,FC Groningen,Radinio Balker,,,balker-radinio,R. Balker,D,12,190.0,152,M,947049,EUR,904780800,D,12,12,False,19.0,13.0,1.0,1.0,8.0,10.0,5.0,9.0,1.0,1.0,5.0,3.0,,,,,,64.0,29.0,6.6,7.0,0,,,,,,1.0,,,1.0,2.0,,,,,,,,,,,,,,,,,,,
10382055,home,FC Groningen,Mads Bech Sørensen,,,mads-bech-sorensen,M. B. Sørensen,D,22,189.0,283,M,1006409,EUR,915667200,D,29,29,False,26.0,20.0,5.0,3.0,10.0,10.0,10.0,16.0,2.0,5.0,9.0,2.0,,,,,,90.0,43.0,6.3,7.0,1,,,1.0,4.0,1.0,2.0,3.0,2.0,1.0,,True,1.0,1.0,2.0,1.0,,,,,,,,,,,,,,
10382055,home,FC Groningen,Nordin Musampa,,,nordin-musampa,N. Musampa,D,,179.0,56,M,916944,EUR,1002931200,D,24,24,False,8.0,8.0,,,7.0,7.0,1.0,3.0,,1.0,,3.0,,,,,,24.0,16.0,4.6,3.0,0,2.0,,1.0,2.0,,,1.0,1.0,,,,,,1.0,,,,,,,,,,,,,,,
10382055,home,FC Groningen,Tomáš Suslov,,,tomas-suslov,T. Suslov,F,10,175.0,1255,M,964154,EUR,1023408000,M,7,7,False,25.0,20.0,3.0,3.0,5.0,8.0,17.0,20.0,1.0,8.0,2.0,3.0,,,,,,90.0,47.0,6.2,10.0,2,3.0,2.0,,9.0,4.0,,,,2.0,,,,,3.0,1.0,1.0,4.0,3.0,2.0,4.0,,,,,,,,,
10382055,home,FC Groningen,Laros Duarte,,,laros-duarte,L. M. D. Duarte,M,6,180.0,315,M,798177,EUR,857088000,M,6,6,False,26.0,24.0,1.0,,13.0,14.0,12.0,13.0,,4.0,1.0,6.0,,,,,,90.0,41.0,6.7,4.0,4,1.0,1.0,1.0,3.0,,,,,1.0,2.0,,1.0,,1.0,,1.0,2.0,2.0,2.0,2.0,1.0,,,,,,,,
10382055,home,FC Groningen,Oliver Antman,,,oliver-antman,O. Antman,M,18,185.0,1317,M,975743,EUR,997833600,M,21,21,False,15.0,13.0,,,3.0,5.0,10.0,10.0,,,,3.0,,,,,,64.0,21.0,6.4,3.0,0,,,1.0,2.0,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,
10382055,home,FC Groningen,Johan Hove,,,johan-hove,J. Hove,M,8,177.0,335,M,839953,EUR,968284800,M,8,8,False,23.0,18.0,3.0,2.0,7.0,9.0,11.0,15.0,2.0,6.0,2.0,7.0,,,,,,90.0,32.0,6.7,7.0,0,1.0,,,1.0,1.0,,1.0,,,,,,,,,,2.0,2.0,,1.0,,,,,,,,,
10382055,home,FC Groningen,Isak Dybvik Määttä,,,isak-dybvik-maatta,I. D. Määttä,F,25,188.0,289,M,980915,EUR,1000857600,M,18,18,False,12.0,11.0,,,7.0,7.0,4.0,5.0,,1.0,2.0,2.0,,,,,,64.0,22.0,6.5,2.0,0,,,,1.0,,1.0,,,1.0,,,,,1.0,,,1.0,1.0,,,,1.0,,,,,,,
