match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_outfielderBlock,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_wasFouled,stat_fouls,stat_onTargetScoringAttempt,stat_unsuccessfulTouch,captain,stat_totalCross,stat_accurateCross,stat_totalContest,stat_shotOffTarget,stat_keyPass,stat_challengeLost,stat_blockedScoringAttempt,stat_wonContest,stat_dispossessed,stat_hitWoodwork,stat_totalOffside,player_sofascoreId,stat_clearanceOffLine,stat_bigChanceCreated,stat_goalAssist,stat_bigChanceMissed,stat_goals
11630683,home,América Mineiro,Matheus Cavichioli,,,matheus-cavichioli,M. Cavichioli,G,1,195,104,M,243097,EUR,522806400,G,1,1,False,25.0,18.0,19.0,12.0,9.0,9.0,9.0,16.0,1.0,10.0,2.0,1.0,2.0,90.0,31.0,6.6,7.0,0.0,0.0,0.00213716,0,-0.0304,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11630683,home,América Mineiro,Ricardo Silva,,,ricardo-silva,R. Silva,D,45,190,76,M,599700,EUR,713664000,D,45,45,False,33.0,26.0,7.0,4.0,12.0,13.0,14.0,20.0,10.0,4.0,,,,90.0,52.0,7.4,7.0,0.0,0.0,0.00942569,0,,2.0,4.0,3.0,7.0,2.0,2.0,2.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,
11630683,home,América Mineiro,Iago Maidana,,,iago-maidana,I. Maidana,D,36,194,211,M,599686,EUR,823564800,D,3,3,False,17.0,15.0,4.0,3.0,11.0,11.0,4.0,6.0,2.0,3.0,,,,50.0,23.0,6.0,3.0,0.0419,0.0,0.0036124,1,,,1.0,1.0,2.0,,,1.0,1.0,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,
11630683,home,América Mineiro,Esteban Burgos,,,esteban-burgos,E. Burgos,D,20,188,57,M,594426,EUR,694915200,D,26,26,False,25.0,16.0,6.0,3.0,7.0,8.0,9.0,17.0,5.0,1.0,,,,90.0,31.0,6.6,9.0,0.0,0.0,0.0037778,0,,2.0,4.0,5.0,4.0,1.0,,,,,3.0,,,,,,,,,,,,,,,,,,,,
11630683,home,América Mineiro,Juninho,,,juninho,Juninho,M,28,173,218,M,330691,EUR,561945600,M,8,8,False,26.0,23.0,2.0,1.0,6.0,7.0,18.0,21.0,2.0,4.0,,,,90.0,43.0,6.9,8.0,0.0442,0.0,0.189704,1,,,,3.0,3.0,,,1.0,,2.0,2.0,,,True,2.0,1.0,1.0,1.0,2.0,,,,,,,,,,,,
11630683,home,América Mineiro,Breno Cascardo,Breno Cascardo,,breno-cascardo,Breno Cascardo,M,80,183,161,M,1469514,EUR,1064448000,M,28,28,False,31.0,24.0,2.0,2.0,10.0,13.0,14.0,18.0,,8.0,,,,75.0,38.0,6.9,8.0,0.0062,0.0,0.052751,1,,1.0,2.0,2.0,4.0,,,2.0,1.0,,,,1.0,,,,,,1.0,1.0,1.0,,,,,,,,,,
11630683,home,América Mineiro,Emmanuel Martínez,,,emmanuel-martinez,E. Martinez,M,6,177,616,M,794312,EUR,770688000,M,5,5,False,43.0,32.0,7.0,4.0,13.0,14.0,20.0,31.0,2.0,11.0,,,,90.0,69.0,7.9,14.0,0.4889,0.1503,0.123271,4,,,,2.0,9.0,,4.0,2.0,2.0,5.0,1.0,2.0,2.0,,2.0,1.0,2.0,2.0,1.0,1.0,,2.0,,,,,,,,,
11630683,home,América Mineiro,Nicolas,,,nicolas,Nicolas,D,30,180,238,M,841336,EUR,856742400,M,30,30,False,18.0,13.0,3.0,1.0,6.0,8.0,7.0,15.0,3.0,5.0,,,,77.0,44.0,6.8,11.0,0.0392,0.2358,0.00372106,1,,1.0,2.0,6.0,2.0,1.0,3.0,,,1.0,2.0,1.0,,,5.0,,1.0,,1.0,2.0,,,,,,,,,,,
11630683,home,América Mineiro,Rodrigo Varanda,Rodrigo Varanda,,rodrigo-varanda,Rodrigo Varanda,F,30,178,198,M,1105305,EUR,1047340800,F,65,65,False,18.0,15.0,,,3.0,3.0,12.0,16.0,1.0,3.0,,,,65.0,39.0,7.0,13.0,0.4819,0.0995,0.0239727,4,,,1.0,4.0,4.0,,,1.0,1.0,2.0,1.0,1.0,4.0,,1.0,,2.0,3.0,2.0,,,,1.0,1.0,,,,,,,
11630683,home,América Mineiro,Gonzalo Mastriani,,,gonzalo-mastriani,G. Mastriani,F,39,180,1585,M,345847,EUR,735955200,F,17,17,False,14.0,7.0,1.0,1.0,1.0,1.0,6.0,13.0,1.0,3.0,,,,75.0,21.0,7.1,7.0,0.1918,0.3436,0.0479999,2,,,3.0,2.0,4.0,1.0,,,,2.0,2.0,1.0,,,,,,1.0,1.0,,,,,,1.0,,,,,,
