match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_sofascoreId,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_errorLeadToAShot,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,player_firstName,player_lastName,captain,stat_totalCross,stat_accurateCross,stat_aerialWon,stat_duelLost,stat_duelWon,stat_challengeLost,stat_bigChanceCreated,stat_bigChanceMissed,stat_shotOffTarget,stat_fouls,stat_totalOffside,stat_expectedGoals,stat_keyPass,stat_aerialLost,stat_dispossessed,stat_blockedScoringAttempt,stat_outfielderBlock,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_totalContest,stat_wonContest,stat_unsuccessfulTouch,stat_wasFouled,stat_onTargetScoringAttempt,stat_expectedGoalsOnTarget,stat_goals,stat_hitWoodwork,stat_goodHighClaim,stat_totalKeeperSweeper,stat_accurateKeeperSweeper
12437527,home,Athletic Club,Unai Simón,unai-simon,U. Simón,G,1,189.0,6832,M,unai_simon,797291,EUR,865987200,G,1,1,False,16.0,11.0,8.0,3.0,0.0,10.0,12.0,1.0,4.0,1.0,5.0,1.0,2.0,2.0,90.0,24.0,7.0,6.0,0.00046716,0,0.5041,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12437527,home,Athletic Club,Óscar de Marcos,oscar-de-marcos,Ó. de Marcos,D,10,180.0,561,M,,52663,EUR,608515200,D,18,18,False,36.0,26.0,7.0,5.0,0.0,12.0,15.0,16.0,24.0,2.0,6.0,,,,90.0,56.0,7.0,11.0,0.392764,1,,,,True,3.0,2.0,1.0,4.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,0.1421,1.0,,,,,,,,,,,,,,,,,,
12437527,home,Athletic Club,Daniel Vivian,daniel-vivian,D. Vivian,D,3,183.0,3110,M,,910978,EUR,931132800,D,3,3,False,60.0,55.0,6.0,3.0,0.0,33.0,34.0,22.0,26.0,8.0,4.0,1.0,,,90.0,77.0,7.5,7.0,0.0138445,1,,,,,,,,4.0,1.0,,,1.0,,1.0,,0.0988,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,,,,,,,,,,,
12437527,home,Athletic Club,Yeray Álvarez,yeray-alvarez,Y. Álvarez,D,5,183.0,811,M,,807648,EUR,790905600,D,5,5,False,61.0,52.0,5.0,,0.0,44.0,46.0,8.0,15.0,8.0,5.0,,,,90.0,78.0,7.0,10.0,0.00779542,0,,,,,,,3.0,4.0,4.0,,,,,,,,,3.0,1.0,,1.0,1.0,,,1.0,1.0,,,,,,,,,
12437527,home,Athletic Club,Yuri Berchiche,yuri-berchiche,Y. Berchiche,D,17,181.0,1146,M,,84531,EUR,634608000,D,17,17,False,53.0,42.0,7.0,3.0,0.0,20.0,25.0,23.0,30.0,3.0,6.0,,,,90.0,81.0,7.8,16.0,0.0699084,0,,,,,2.0,1.0,4.0,1.0,9.0,,,,,1.0,,,,,,,1.0,3.0,4.0,2.0,,,1.0,1.0,,,,,,,
12437527,home,Athletic Club,Mikel Jauregizar,mikel-jauregizar,M. Jauregizar,M,18,177.0,1766,M,,1495844,EUR,1068681600,M,23,23,False,48.0,37.0,4.0,3.0,0.0,21.0,29.0,16.0,19.0,2.0,7.0,,,,90.0,55.0,6.8,12.0,0.00968658,0,,,,,,,1.0,1.0,3.0,1.0,,,,,,,,,,,,2.0,1.0,,,,1.0,1.0,,,,,,,
12437527,home,Athletic Club,Iñigo Ruiz de Galarreta,inigo-ruiz-de-galarreta,I. R. d. Galarreta,M,16,174.0,944,M,,96365,EUR,744595200,M,16,16,False,50.0,41.0,5.0,3.0,1.0,15.0,18.0,26.0,34.0,1.0,6.0,,,,84.0,68.0,7.7,17.0,0.221454,2,,,,,2.0,,1.0,6.0,4.0,1.0,1.0,,1.0,4.0,,0.0753,1.0,,,,1.0,1.0,3.0,,1.0,,3.0,,1.0,0.0203,,,,,
12437527,home,Athletic Club,Iñaki Williams,inaki-williams,I. Williams,M,9,186.0,20741,M,IñakiWill,783374,EUR,771638400,M,9,9,False,28.0,23.0,1.0,1.0,0.0,5.0,6.0,19.0,23.0,4.0,1.0,,,,90.0,47.0,8.2,10.0,0.255591,2,,,,,1.0,1.0,2.0,5.0,5.0,2.0,1.0,,,,2.0,0.7818,5.0,,2.0,,,,,,2.0,1.0,2.0,2.0,2.0,0.8469,1.0,,,,
12437527,home,Athletic Club,Oihan Sancet,oihan-sancet,O. Sancet,M,8,188.0,3356,M,,966801,EUR,956620800,M,8,8,False,5.0,3.0,,,0.0,,1.0,3.0,4.0,,1.0,,,,22.0,8.0,6.7,3.0,0.00060142,0,,,,,,,1.0,1.0,3.0,,,,,,,,,,1.0,,,,1.0,1.0,,,,1.0,,,,,,,
12437527,home,Athletic Club,Álex Berenguer,alex-berenguer,Á. Berenguer,M,7,175.0,1919,M,,592012,EUR,804816000,M,7,7,False,23.0,16.0,2.0,,0.0,4.0,5.0,13.0,24.0,1.0,3.0,,,,65.0,40.0,6.4,17.0,0.22352,2,,,,,6.0,1.0,,6.0,2.0,1.0,1.0,1.0,1.0,,,0.3786,1.0,1.0,2.0,1.0,,,,,2.0,,1.0,2.0,,,,1.0,,,
12437527,home,Athletic Club,Maroan Sannadi,maroan-sannadi,M. Sannadi,F,21,192.0,5419,M,,1520799,EUR,980985600,F,21,21,False,12.0,8.0,,,0.0,1.0,2.0,7.0,10.0,,3.0,,,,84.0,29.0,6.6,11.0,0.00508162,2,,,,,,,1.0,10.0,4.0,1.0,,,1.0,3.0,,0.2152,,2.0,1.0,,,,1.0,,5.0,2.0,3.0,,1.0,0.1624,,,,,
12437527,home,Athletic Club,Peio Canales,peio-canales,P. Canales,M,18,175.0,400,M,,1464648,EUR,1105920000,M,28,28,True,23.0,20.0,2.0,1.0,0.0,9.0,9.0,11.0,14.0,,6.0,,,,68.0,32.0,6.5,7.0,0.0218886,2,,Peio Canales,,,,,,4.0,1.0,,,,1.0,1.0,,0.1668,,,2.0,1.0,,,,,1.0,,1.0,1.0,,,,,,,
