match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_penaltyFaced,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,player_sofascoreId,stat_totalCross,stat_accurateCross,stat_duelLost,stat_duelWon,stat_totalContest,stat_totalTackle,stat_wonTackle,stat_wasFouled,stat_keyPass,captain,stat_aerialLost,stat_aerialWon,stat_outfielderBlock,stat_interceptionWon,stat_unsuccessfulTouch,stat_fouls,stat_shotOffTarget,stat_penaltyConceded,stat_blockedScoringAttempt,stat_dispossessed,stat_wonContest,stat_goalAssist,stat_bigChanceCreated,stat_totalOffside,stat_onTargetScoringAttempt,stat_goals,stat_challengeLost,stat_bigChanceMissed
10408482,home,Atlético Madrid,Ivo Grbić,,,ivo-grbic,I. Grbić,G,13,195,1121,M,283847,EUR,821923200,G,1,1,False,36.0,18.0,21.0,5.0,13.0,16.0,5.0,20.0,1.0,8.0,2.0,1.0,1.0,3.0,90.0,44.0,6.6,18.0,0.0,0.0,0.00100703,0,1.0073,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10408482,home,Atlético Madrid,Nahuel Molina,,,nahuel-molina,N. Molina,D,16,175,13426,M,831799,EUR,891820800,D,16,16,False,48.0,37.0,6.0,3.0,15.0,17.0,23.0,33.0,,3.0,,,,,90.0,68.0,6.8,17.0,0.0,0.0,0.0708067,0,,nahuelmolina_35,2.0,1.0,3.0,4.0,3.0,3.0,2.0,1.0,2.0,,,,,,,,,,,,,,,,,,,
10408482,home,Atlético Madrid,Stefan Savić,,,stefan-savic,S. Savić,D,15,186,1712,M,76265,EUR,663292800,D,15,15,False,66.0,56.0,6.0,3.0,44.0,48.0,12.0,18.0,1.0,9.0,,,,,90.0,78.0,7.0,11.0,0.0,0.0,0.00385071,0,,,,,4.0,4.0,,2.0,2.0,,,True,1.0,2.0,1.0,3.0,1.0,3.0,,,,,,,,,,,,
10408482,home,Atlético Madrid,José María Giménez,,,jose-maria-gimenez,J. M. Giménez,D,2,185,5874,M,325355,EUR,790560000,D,2,2,False,55.0,50.0,8.0,6.0,43.0,45.0,7.0,10.0,3.0,5.0,,,,,90.0,61.0,6.5,5.0,0.1077,0.0,0.00264316,1,,JoseMaGimenez13,,,3.0,,,,,,,,2.0,,1.0,,,2.0,1.0,1.0,,,,,,,,,,
10408482,home,Atlético Madrid,Reinildo Mandava,,,reinildo-mandava,R. Mandava,D,17,180,11835,M,831424,EUR,759110400,D,23,23,False,49.0,43.0,3.0,2.0,30.0,33.0,13.0,16.0,3.0,4.0,,,,,90.0,67.0,6.8,10.0,0.0383,0.0,0.018403,1,,ReinildoMandava,,,5.0,6.0,2.0,4.0,3.0,1.0,,,,1.0,,2.0,1.0,3.0,,,1.0,,,,,,,,,
10408482,home,Atlético Madrid,Rodrigo de Paul,,,rodrigo-de-paul,R. de Paul,M,7,180,54582,M,249399,EUR,769737600,M,5,5,False,47.0,40.0,4.0,2.0,18.0,20.0,23.0,30.0,1.0,5.0,,,,,76.0,72.0,6.7,17.0,0.0,0.0,0.0542949,0,,RodridePaul,3.0,1.0,6.0,4.0,,2.0,,2.0,,,3.0,,,1.0,3.0,,,,,3.0,,,,,,,,
10408482,home,Atlético Madrid,Axel Witsel,,,axel-witsel,A. Witsel,D,20,186,9808,M,35612,EUR,600566400,M,20,20,False,40.0,38.0,1.0,1.0,23.0,23.0,15.0,17.0,1.0,5.0,,,,,61.0,46.0,7.2,2.0,0.0301,0.0,0.00594503,1,,axelwitsel28,,,,4.0,,3.0,2.0,,,,,1.0,,1.0,,,1.0,,,,,,,,,,,
10408482,home,Atlético Madrid,Geoffrey Kondogbia,,,geoffrey-kondogbia,G. Kondogbia,M,19,188,2269,M,96544,EUR,729734400,M,4,4,False,65.0,60.0,6.0,5.0,36.0,37.0,24.0,28.0,3.0,6.0,,,,,90.0,80.0,7.7,5.0,0.2301,0.0,0.0268731,2,,,,,,6.0,,3.0,,2.0,1.0,,,1.0,,4.0,,,2.0,,,,,,,,,,,
10408482,home,Atlético Madrid,Thomas Lemar,,,thomas-lemar,T. Lemar,M,11,170,3300,M,191182,EUR,816134400,M,11,11,False,28.0,22.0,2.0,,13.0,13.0,9.0,16.0,,2.0,,,,,40.0,36.0,6.4,10.0,0.0386,0.0,0.0094579,1,,,1.0,,2.0,1.0,2.0,,,,,,,,,1.0,1.0,,,,1.0,1.0,1.0,,,,,,,
10408482,home,Atlético Madrid,Antoine Griezmann,,,antoine-griezmann,A. Griezmann,F,7,176,100258,M,85859,EUR,669513600,F,8,8,False,47.0,42.0,1.0,1.0,18.0,21.0,28.0,32.0,,9.0,,,,,90.0,70.0,8.4,11.0,0.0352,0.0,0.287762,1,,AGriez,6.0,4.0,4.0,8.0,2.0,4.0,1.0,1.0,7.0,,2.0,1.0,,,2.0,,1.0,,,2.0,2.0,1.0,1.0,2.0,,,,
