match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_duelWon,stat_ballRecovery,stat_wasFouled,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_totalShots,stat_aerialWon,stat_duelLost,stat_totalContest,stat_shotOffTarget,stat_blockedScoringAttempt,stat_totalClearance,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_challengeLost,stat_wonContest,stat_outfielderBlock,stat_unsuccessfulTouch,stat_fouls,stat_keyPass,player_firstName,player_lastName,player_sofascoreId,captain,stat_totalCross,stat_dispossessed,stat_onTargetScoringAttempt,stat_goals,stat_goalAssist,stat_bigChanceMissed,stat_hitWoodwork,stat_accurateCross,stat_aerialLost,stat_bigChanceCreated,stat_errorLeadToAGoal,stat_totalOffside
10382162,home,Feyenoord,Justin Bijlow,bijlow-justin,J. Bijlow,G,16,190,1386,M,556696,EUR,885427200,G,1,1,False,29.0,26.0,6.0,3.0,25.0,27.0,1.0,2.0,1.0,8.0,1.0,2.0,1.0,2.0,90.0,40.0,6.8,3.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10382162,home,Feyenoord,Lutsharel Geertruida,lutsharel-geertruida,L. Geertruida,D,6,185,2489,M,856739,EUR,963878400,D,4,4,False,37.0,25.0,2.0,,15.0,21.0,10.0,16.0,5.0,3.0,,,,,90.0,59.0,6.7,15.0,3,2.0,1.0,1.0,2.0,1.0,1.0,1.0,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,
10382162,home,Feyenoord,Gernot Trauner,gernot-trauner,G. Trauner,D,18,183,610,M,121588,EUR,701481600,D,18,18,False,66.0,61.0,4.0,3.0,45.0,46.0,16.0,20.0,4.0,5.0,,,,,90.0,73.0,6.8,5.0,1,4.0,1.0,,1.0,,3.0,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,
10382162,home,Feyenoord,Dávid Hancko,david-hancko,D. Hancko,D,17,188,4795,M,807771,EUR,881971200,D,33,33,False,77.0,67.0,15.0,10.0,52.0,54.0,15.0,23.0,4.0,11.0,,,,,90.0,89.0,7.4,11.0,1,1.0,1.0,1.0,,1.0,4.0,1.0,2.0,2.0,,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,
10382162,home,Feyenoord,Quilindschy Hartman,quilindschy-hartman,Q. Hartman,D,3,183,1253,M,1392044,EUR,1005696000,D,19,19,False,33.0,29.0,7.0,6.0,17.0,17.0,12.0,16.0,3.0,,,,,,61.0,47.0,6.7,5.0,0,2.0,3.0,,,,1.0,3.0,1.0,1.0,1.0,,,1.0,2.0,1.0,,,,,,,,,,,,,,,,
10382162,home,Feyenoord,Orkun Kökçü,orkun-kokcu,O. Kökçü,M,10,175,13499,M,907461,EUR,978048000,M,10,10,False,75.0,69.0,4.0,2.0,26.0,27.0,43.0,52.0,4.0,9.0,1.0,,,,90.0,98.0,8.9,18.0,4,,4.0,3.0,,,,,2.0,2.0,,1.0,,4.0,,2.0,,,orkunkokcu,True,4.0,2.0,4.0,2.0,,,,,,,,
10382162,home,Feyenoord,Javairô Dilrosun,javairo-dilrosun,J. Dilrosun,F,24,175,728,M,803028,EUR,898473600,M,11,11,False,38.0,32.0,2.0,1.0,7.0,8.0,25.0,31.0,3.0,5.0,2.0,,,,90.0,53.0,7.7,10.0,2,,3.0,2.0,1.0,,,1.0,,,1.0,1.0,,1.0,1.0,5.0,,,,,1.0,,1.0,,2.0,1.0,1.0,,,,,
10382162,home,Feyenoord,Quinten Timber,quinten-timber,Q. Timber,M,27,177,8611,M,959805,EUR,992736000,M,8,8,False,24.0,18.0,2.0,1.0,9.0,11.0,9.0,13.0,5.0,1.0,1.0,,,,69.0,36.0,6.6,10.0,0,1.0,3.0,5.0,,,,1.0,1.0,,,2.0,,1.0,,,,,,,,,,,,,,,,,,
10382162,home,Feyenoord,Sebastian Szymański,sebastian-szymanski,S. Szymański,M,17,174,10886,M,847983,EUR,926294400,M,17,17,False,15.0,9.0,2.0,,1.0,2.0,10.0,17.0,2.0,4.0,,,,,69.0,31.0,8.7,12.0,4,,2.0,,2.0,,,,2.0,2.0,,,,3.0,1.0,2.0,,,szymanski_11,,4.0,1.0,2.0,2.0,,,,2.0,,,,
10382162,home,Feyenoord,Igor Paixão,igor-paixao,I. Paixão,F,14,168,12525,M,981815,EUR,962150400,M,14,14,False,7.0,6.0,,,3.0,3.0,3.0,5.0,2.0,1.0,,,,,29.0,10.0,6.4,2.0,0,1.0,3.0,1.0,,,,,,,,1.0,,,2.0,,,,,,1.0,,,,,,,,1.0,,,
