match_id,side,team,player_name,player_firstName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_totalClearance,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_penaltyFaced,stat_saves,stat_punches,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_goalAssist,stat_totalCross,stat_accurateCross,stat_dispossessed,stat_totalContest,stat_wonContest,stat_bigChanceCreated,stat_outfielderBlock,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_wasFouled,stat_fouls,stat_keyPass,player_lastName,stat_challengeLost,captain,stat_shotOffTarget,stat_lastManTackle,stat_penaltyConceded,stat_expectedGoals,stat_blockedScoringAttempt,stat_bigChanceMissed,stat_onTargetScoringAttempt,stat_expectedGoalsOnTarget,stat_goals,player_sofascoreId,stat_penaltyWon
11067590,home,Coritiba,Pedro Morisco,Pedro Morisco,pedro-morisco,Pedro Morisco,G,1,191,1643,M,1507616,EUR,1073692800,G,72,72,False,34.0,16.0,25.0,8.0,12.0,14.0,4.0,20.0,1.0,2.0,1.0,2.0,2.0,13.0,4.0,3.0,1.0,5.0,2.0,90.0,54.0,7.6,18.0,0.00055301,0,0.7645,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11067590,home,Coritiba,Natanael,,natanael,Natanael,D,2,172,1029,M,1046805,EUR,1010188800,D,16,16,False,36.0,32.0,3.0,1.0,15.0,16.0,19.0,23.0,,3.0,5.0,8.0,2.0,7.0,,,,,,90.0,64.0,7.4,11.0,0.25153,0,,1.0,3.0,2.0,1.0,5.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,3.0,,,,,,,,,,,,,,
11067590,home,Coritiba,Thalisson Gabriel,Thalisson,thalisson-gabriel,Thalisson Gabriel,D,6,190,175,M,1109577,EUR,1011484800,D,14,14,False,20.0,19.0,3.0,3.0,13.0,14.0,6.0,6.0,,,2.0,,3.0,1.0,,,,,,45.0,24.0,6.4,1.0,0.00380446,0,,,,,,,,,,,,,,,1.0,,Gabriel,1.0,,,,,,,,,,,,
11067590,home,Coritiba,Benjamin Kuscevic,,benjamin-kuscevic,B. Kuscevic,D,13,185,1470,M,590324,EUR,830995200,D,13,13,False,38.0,32.0,5.0,3.0,22.0,26.0,10.0,12.0,3.0,4.0,5.0,7.0,11.0,3.0,,,,,,90.0,58.0,7.6,6.0,0.00425077,1,,,,,,1.0,1.0,,3.0,2.0,2.0,2.0,,,2.0,,,,True,1.0,1.0,1.0,0.0436,,,,,,,
11067590,home,Coritiba,Jamerson,,jamerson,Jamerson,D,83,177,408,M,972373,EUR,905299200,D,83,83,False,19.0,18.0,1.0,1.0,10.0,10.0,8.0,9.0,,,3.0,1.0,1.0,3.0,,,,,,49.0,27.0,5.5,5.0,0.0118846,0,,,,,1.0,1.0,,,,1.0,,,1.0,1.0,1.0,,,,,,,,,,,,,,,
11067590,home,Coritiba,Andrey,,andrey,Andrey,M,5,176,251,M,822513,EUR,887500800,M,7,7,False,45.0,42.0,3.0,3.0,9.0,10.0,34.0,38.0,2.0,2.0,6.0,6.0,1.0,5.0,,,,,,65.0,59.0,7.2,7.0,0.538233,1,,,3.0,1.0,,,,1.0,,2.0,2.0,2.0,2.0,2.0,3.0,1.0,,1.0,,,,,0.0127,1.0,,,,,,
11067590,home,Coritiba,Robson,,robson,Robson,F,11,179,708,M,850987,EUR,675561600,M,30,30,False,19.0,13.0,,,5.0,6.0,8.0,14.0,2.0,1.0,9.0,3.0,,4.0,,,,,,45.0,32.0,6.4,14.0,0.0343177,0,,,1.0,,3.0,2.0,1.0,1.0,,1.0,1.0,,3.0,,2.0,1.0,,1.0,,,,,,,,,,,,
11067590,home,Coritiba,Matheus Bianqui,,matheus-bianqui,M. Bianqui,M,17,187,122,M,981746,EUR,886204800,M,17,17,False,54.0,41.0,10.0,7.0,21.0,28.0,21.0,27.0,2.0,3.0,4.0,3.0,3.0,3.0,,,,,,90.0,67.0,7.0,15.0,0.174796,0,,,1.0,1.0,1.0,1.0,,,1.0,3.0,,,,,,2.0,,,,,,,,,,,,,,
11067590,home,Coritiba,Bruno Gomes,,bruno-gomes,B. Gomes,D,15,175,903,M,995071,EUR,986342400,M,6,6,False,32.0,30.0,2.0,2.0,10.0,11.0,20.0,21.0,,,1.0,4.0,,1.0,,,,,,58.0,42.0,6.9,7.0,0.0501447,0,,,,,,2.0,2.0,,,,,,4.0,2.0,,2.0,,1.0,,,,,,,,,,,,
11067590,home,Coritiba,Marcelino Moreno,,marcelino-moreno,M. Moreno,M,10,175,936,M,848472,EUR,804038400,M,10,10,False,47.0,44.0,1.0,1.0,11.0,12.0,35.0,39.0,,,6.0,3.0,,6.0,,,,,,90.0,72.0,7.0,13.0,0.18176,6,,,4.0,2.0,1.0,6.0,1.0,,,,,,2.0,2.0,,3.0,,,,3.0,,,0.2483,3.0,,,,,,
