match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_interceptionWon,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_totalCross,stat_accurateCross,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_totalContest,stat_totalClearance,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_wasFouled,stat_fouls,stat_keyPass,player_firstName,player_lastName,stat_dispossessed,stat_outfielderBlock,stat_lastManTackle,stat_shotOffTarget,stat_expectedGoals,stat_challengeLost,stat_blockedScoringAttempt,stat_bigChanceMissed,stat_onTargetScoringAttempt,stat_expectedGoalsOnTarget,stat_penaltyMiss,captain,stat_penaltyWon,stat_totalOffside,player_sofascoreId,stat_wonContest,stat_goodHighClaim,stat_penaltySave,stat_penaltyFaced,stat_punches,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_penaltyConceded
11407506,home,Cagliari,Simone Scuffet,simone-scuffet,S. Scuffet,G,22,193,684,M,284349,EUR,833500800,G,22,22,False,31.0,23.0,25.0,17.0,10.0,12.0,13.0,19.0,1.0,6.0,1.0,1.0,90.0,38.0,7.3,8.0,0.00479335,0,0.3269,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11407506,home,Cagliari,Gabriele Zappa,gabriele-zappa,G. Zappa,D,28,183,617,M,927304,EUR,945820800,D,28,28,False,36.0,21.0,10.0,2.0,12.0,17.0,10.0,21.0,1.0,2.0,,,90.0,59.0,6.7,20.0,0.0923822,0,,2.0,1.0,3.0,1.0,5.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
11407506,home,Cagliari,Edoardo Goldaniga,edoardo-goldaniga,E. Goldaniga,D,5,193,345,M,295133,EUR,752198400,D,3,3,False,37.0,29.0,9.0,6.0,20.0,24.0,9.0,13.0,1.0,5.0,,,90.0,44.0,7.0,10.0,0.00171733,0,,,,4.0,4.0,5.0,6.0,,,1.0,1.0,2.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,
11407506,home,Cagliari,Alberto Dossena,dossena-alberto,A. Dossena,D,4,195,511,M,870211,EUR,908236800,D,4,4,False,32.0,17.0,12.0,6.0,7.0,14.0,10.0,18.0,2.0,8.0,,,90.0,60.0,7.4,20.0,0.00954597,0,,,,7.0,5.0,11.0,10.0,2.0,4.0,1.0,1.0,2.0,4.0,1.0,1.0,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,
11407506,home,Cagliari,Paulo Azzi,paulo-azzi,P. Azzi,M,7,188,184,M,383314,EUR,774230400,D,37,37,False,38.0,24.0,8.0,3.0,10.0,15.0,15.0,29.0,3.0,4.0,,,89.0,72.0,7.3,27.0,0.0802353,1,,6.0,1.0,,1.0,2.0,6.0,1.0,4.0,5.0,1.0,1.0,,,1.0,,,1.0,,,1.0,0.0248,,,,,,,,,,,,,,,,,,
11407506,home,Cagliari,Ibrahim Sulemana,ibrahim-sulemana,I. Sulemana,M,25,180,1979,M,105905,EUR,1053561600,M,25,25,False,32.0,29.0,1.0,1.0,12.0,14.0,18.0,25.0,1.0,7.0,,,89.0,49.0,6.5,13.0,0.0328082,1,,7.0,1.0,,1.0,7.0,2.0,,,,,,1.0,2.0,,,,4.0,,,,0.0074,1.0,1.0,,,,,,,,,,,,,,,,
11407506,home,Cagliari,Matteo Prati,matteo-prati,M. Prati,M,4,182,705,M,1111640,EUR,1072569600,M,16,16,False,30.0,21.0,8.0,3.0,13.0,14.0,8.0,17.0,,8.0,,,90.0,39.0,7.0,11.0,0.00921084,3,,1.0,,,,1.0,3.0,,1.0,3.0,2.0,1.0,,1.0,,,,,,,3.0,0.2143,,,,,,,,,,,,,,,,,,
11407506,home,Cagliari,Alessandro Deiola,alessandro-deiola,A. Deiola,M,14,189,280,M,328109,EUR,807235200,M,14,14,False,25.0,21.0,4.0,3.0,9.0,9.0,12.0,18.0,,3.0,,,90.0,35.0,7.2,7.0,0.0228979,1,,2.0,,1.0,2.0,3.0,4.0,,,2.0,1.0,,,1.0,3.0,,,1.0,,,1.0,0.0613,,,,,,,,,,,,,,,,,,
11407506,home,Cagliari,Nicolas Viola,nicolas-viola,N. Viola,F,10,180,280,M,21608,EUR,624153600,M,10,10,False,27.0,19.0,,,4.0,5.0,20.0,35.0,,3.0,,,89.0,54.0,6.9,23.0,0.249537,2,,13.0,5.0,2.0,3.0,6.0,7.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,3.0,,,2.0,,,1.0,0.9768,,,1.0,1.0,0.9946,1.0,,,,,,,,,,,,
11407506,home,Cagliari,Leonardo Pavoletti,leonardo-pavoletti,L. Pavoletti,F,30,188,554,M,132704,EUR,596505600,F,30,30,False,18.0,10.0,,,,,10.0,18.0,,2.0,,,89.0,33.0,8.0,11.0,0.0105243,4,,,,6.0,12.0,8.0,16.0,,3.0,,,3.0,4.0,3.0,1.0,,,,,,3.0,0.3711,,,,1.0,0.2042,,True,1.0,1.0,,,,,,,,,
