match_id,side,team,player_name,player_slug,player_shortName,player_position,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_penaltyFaced,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,player_firstName,player_lastName,player_jerseyNumber,player_sofascoreId,stat_accurateOppositionHalfPasses,stat_totalCross,stat_duelLost,stat_duelWon,stat_dispossessed,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_penaltyConceded,stat_fouls,captain,stat_aerialWon,stat_totalContest,stat_wonContest,stat_totalClearance,stat_blockedScoringAttempt,stat_outfielderBlock,stat_accurateCross,stat_bigChanceCreated,stat_keyPass,stat_bigChanceMissed,stat_shotOffTarget,stat_hitWoodwork,stat_onTargetScoringAttempt,stat_wasFouled,stat_aerialLost,stat_challengeLost,stat_totalOffside,stat_goalAssist,stat_goals,stat_lastManTackle
10408522,home,Villarreal,Pepe Reina,pepe-reina,P. Reina,G,188,1240,M,26937,EUR,399600000,G,1,1,False,40.0,30.0,16.0,6.0,30.0,31.0,9.0,8.0,2.0,1.0,2.0,1.0,1.0,90.0,46.0,6.6,10.0,0.0,0.0,9.045e-05,0,0.4771,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10408522,home,Villarreal,Juan Foyth,juan-foyth,J. Foyth,D,187,6465,M,873189,EUR,884563200,D,8,8,False,34.0,30.0,3.0,2.0,11.0,12.0,23.0,4.0,,,,,,90.0,55.0,6.7,8.0,0.0,0.0,0.0510813,0,,,,8,juanfoyth,19.0,1.0,3.0,7.0,1.0,2.0,7.0,3.0,1.0,1.0,3.0,,,,,,,,,,,,,,,,,,,,,
10408522,home,Villarreal,Raúl Albiol,raul-albiol,R. Albiol,D,190,1235,M,3041,EUR,494640000,D,3,3,False,31.0,26.0,5.0,3.0,19.0,20.0,11.0,5.0,,,,,,90.0,44.0,6.8,6.0,0.0,0.0,0.00348346,0,,,,39,,7.0,,3.0,4.0,1.0,2.0,2.0,1.0,,,2.0,True,1.0,1.0,1.0,7.0,,,,,,,,,,,,,,,,
10408522,home,Villarreal,Pau Torres,pau-torres,P. Torres,D,192,4099,M,864169,EUR,853372800,D,4,4,False,67.0,58.0,9.0,7.0,36.0,38.0,29.0,6.0,,,,,,90.0,80.0,7.1,10.0,0.0601,0.0,0.0129302,1,,,,14,pauttorres,22.0,,1.0,2.0,,2.0,,,,,1.0,,1.0,1.0,1.0,7.0,1.0,1.0,,,,,,,,,,,,,,
10408522,home,Villarreal,Alberto Moreno,alberto-moreno,A. Moreno,D,171,850,M,229740,EUR,710294400,D,18,18,False,30.0,25.0,1.0,,13.0,15.0,19.0,2.0,,,,,,72.0,44.0,7.1,8.0,0.0224,0.0,0.123339,1,,,,18,,13.0,4.0,,1.0,,3.0,,,,,,,1.0,,,3.0,1.0,,1.0,1.0,1.0,,,,,,,,,,,
10408522,home,Villarreal,Francis Coquelin,francis-coquelin,F. Coquelin,M,178,472,M,40672,EUR,674092800,M,19,19,False,28.0,25.0,,,10.0,11.0,17.0,4.0,,,,,,89.0,38.0,6.2,8.0,0.3603,0.0,0.00731514,1,,,,13,,15.0,,4.0,1.0,2.0,1.0,1.0,1.0,3.0,,2.0,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,
10408522,home,Villarreal,Dani Parejo,dani-parejo,D. Parejo,M,180,1999,M,39182,EUR,608688000,M,10,10,False,72.0,68.0,4.0,3.0,25.0,25.0,53.0,4.0,,,,,,90.0,93.0,7.9,8.0,0.1082,0.0584,0.206962,2,,,,10,,46.0,6.0,2.0,7.0,,1.0,2.0,2.0,,,1.0,,,4.0,3.0,3.0,,1.0,3.0,,1.0,,1.0,,1.0,2.0,,,,,,
10408522,home,Villarreal,Alejandro Baena,alejandro-baena,A. Baena,M,174,9564,M,910031,EUR,995587200,M,16,16,False,43.0,39.0,1.0,1.0,20.0,21.0,22.0,6.0,,,,,,90.0,59.0,6.3,9.0,0.1657,0.0,0.0472026,4,,,,10,alexbaena,19.0,,11.0,4.0,2.0,1.0,1.0,1.0,,,3.0,,,3.0,,,1.0,,,,,,3.0,,,3.0,2.0,1.0,,,,
10408522,home,Villarreal,Samuel Chukwueze,samuel-chukwueze,S. Chukwueze,F,172,21963,M,822470,EUR,927331200,F,11,11,False,31.0,25.0,,,11.0,11.0,20.0,6.0,,,,,,90.0,52.0,7.5,11.0,0.2843,0.1416,0.072612,2,,,,19,chukwuezesamuel8,14.0,,3.0,6.0,,1.0,1.0,1.0,2.0,,,,,8.0,5.0,2.0,,,,1.0,3.0,,1.0,,1.0,,,,1.0,,,
10408522,home,Villarreal,Gerard Moreno,gerard-moreno,G. Moreno,F,180,4001,M,146866,EUR,702604800,F,7,7,False,39.0,28.0,,,7.0,8.0,32.0,1.0,,,,,,89.0,54.0,8.1,17.0,0.7884,0.9898,0.237508,1,,,,7,GerardMoreno9,22.0,1.0,4.0,1.0,1.0,1.0,,,3.0,,,,,2.0,1.0,1.0,,,1.0,1.0,3.0,,,,1.0,,2.0,,1.0,1.0,1.0,
10408522,home,Villarreal,Yéremy Pino,yeremy-pino,Y. Pino,M,172,6120,M,984624,EUR,1035072000,F,21,21,False,26.0,18.0,1.0,,6.0,7.0,19.0,2.0,,,,,,81.0,35.0,7.1,10.0,0.3551,0.4836,0.10639,1,,,,10,,12.0,,5.0,1.0,,1.0,1.0,,1.0,,1.0,,,1.0,,,,1.0,,,1.0,,,,1.0,,1.0,2.0,,,1.0,
10408522,home,Villarreal,Alfonso Pedraza,alfonso-pedraza,A. Pedraza,D,184,576,M,797290,EUR,829008000,M,24,24,True,8.0,7.0,1.0,1.0,2.0,2.0,6.0,1.0,,,,,,18.0,11.0,6.8,1.0,0.0,0.0,0.00736202,0,,,,24,,5.0,,,1.0,,,,,,,,,,1.0,1.0,,,,,,1.0,,,,,,,,,,,
10408522,home,Villarreal,José Luis Morales,jose-luis-morales,J. L. Morales,F,180,1811,M,344129,EUR,553996800,F,22,22,True,5.0,5.0,,,2.0,2.0,3.0,1.0,,,,,,9.0,8.0,6.6,,0.0,0.0,0.0600972,0,,,,11,,3.0,,2.0,,,,,,,,,,,,,1.0,,,,,1.0,,,,,,1.0,1.0,,,,
