match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_duelWon,stat_ballRecovery,stat_wasFouled,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_totalCross,stat_accurateCross,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_challengeLost,stat_dispossessed,stat_totalContest,stat_wonContest,stat_totalClearance,stat_totalTackle,stat_wonTackle,stat_fouls,stat_keyPass,stat_outfielderBlock,captain,stat_interceptionWon,stat_unsuccessfulTouch,player_firstName,player_lastName,stat_goalAssist,stat_bigChanceCreated,stat_onTargetScoringAttempt,stat_blockedScoringAttempt,stat_shotOffTarget,player_sofascoreId,stat_goals,stat_bigChanceMissed,stat_totalOffside
10408517,home,Mallorca,Leo Román,leo-roman,L. Román,G,1,189,1557,M,1131909,EUR,962841600,G,31,31,True,,,,,,,,,,,,,,,,,,,,0.0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10408517,home,Mallorca,Braian Cufré,braian-cufre,B. Cufré,D,24,179,169,M,818441,EUR,850608000,D,3,3,True,,,,,,,,,,,,,,,,,,,,0.0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10408517,home,Mallorca,Matija Nastasić,matija-nastasic,M. Nastasić,D,15,188,481,M,98440,EUR,733276800,D,2,2,True,,,,,,,,,,,,,,,,,,,,0.0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10408517,home,Mallorca,Tino Kadewere,tino-kadewere,T. Kadewere,M,9,180,935,M,810535,EUR,820800000,F,17,17,True,,,,,,,,,,,,,,,,,,,,0.0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10408517,home,Mallorca,Lago Júnior,lago-junior,L. Júnior,M,23,182,117,M,50730,EUR,662601600,F,11,11,True,,,,,,,,,,,,,,,,,,,,0.0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10408517,home,Mallorca,Ángel Rodríguez,angel-rodriguez,Á. Rodríguez,F,,172,145,M,52093,EUR,546393600,F,22,22,True,,,,,,,,,,,,,,,,,,,,0.0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10408517,away,Atlético Madrid,Jan Oblak,jan-oblak,J. Oblak,G,13,189,12131,M,69768,EUR,726364800,G,13,13,False,20.0,17.0,7.0,4.0,16.0,16.0,1.0,4.0,1.0,9.0,,,1.0,2.0,90.0,28.0,6.6,4.0,0.0,0.0,0.00033493,0,0.3347,,,,1.0,,,,,,1.0,,,,,,True,,,,,,,,,,oblakjan,,,
10408517,away,Atlético Madrid,Nahuel Molina,nahuel-molina,N. Molina,D,16,175,13426,M,831799,EUR,891820800,D,16,16,False,24.0,16.0,8.0,4.0,6.0,8.0,10.0,16.0,,3.0,,,,,30.0,30.0,6.4,10.0,0.0,0.0,0.110534,0,,,,,,2.0,,,1.0,,,,,1.0,1.0,,,1.0,,,,,,,,,nahuelmolina_35,,,
10408517,away,Atlético Madrid,Stefan Savić,stefan-savic,S. Savić,D,15,186,1712,M,76265,EUR,663292800,D,15,15,False,68.0,62.0,7.0,4.0,32.0,34.0,30.0,34.0,4.0,7.0,,,,,90.0,76.0,6.6,7.0,0.0,0.0,0.0200965,0,,,,4.0,2.0,8.0,1.0,,,,2.0,2.0,2.0,3.0,,,,1.0,,,,,,,,,,,,
10408517,away,Atlético Madrid,Felipe,felipe,Felipe,D,,191,773,M,242211,EUR,611280000,D,18,18,False,71.0,64.0,6.0,4.0,37.0,37.0,27.0,34.0,9.0,8.0,2.0,,,,90.0,85.0,7.2,8.0,0.0,0.0,0.0178747,0,,,,2.0,6.0,6.0,1.0,,,,4.0,1.0,1.0,3.0,1.0,2.0,,,,,,,,,,,,,,
